condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,26,26,0,26,578352.472,0.569,0.098,0.050,0.815,2906,2414,3037,2524,2299,2197,142,2059,40,0.000,1,VALID,97,1,1.705,0.032,-1.375,0.125,1.000,0.230,-0.047,0.969,0.031,-0.008,0.039,0.000,0.000,0.203,0.463,2,NULL,NULL,1041.000,0,0,0,7,255,0,250,0,0
baseline,31,31,0,31,578357.473,0.569,0.098,0.050,0.815,2908,2411,3039,2525,2311,2200,143,2059,40,0.000,1,VALID,97,1,1.512,0.032,0.250,0.813,1.250,0.215,-0.070,0.977,0.031,-0.008,0.012,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,578362.472,0.569,0.098,0.050,0.815,2907,2409,3043,2519,2301,2201,144,2066,40,0.000,1,VALID,97,1,1.795,0.082,-0.500,-1.188,-1.250,0.211,-0.070,0.984,-0.035,0.074,0.012,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,578367.473,0.569,0.098,0.050,0.815,2903,2345,3035,2521,2298,2200,143,2066,40,0.000,1,VALID,97,1,1.420,0.082,-1.375,-0.250,0.250,0.223,-0.055,0.969,-0.035,0.074,0.012,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,578372.472,0.569,0.098,0.050,0.815,2899,2411,3044,2521,2301,2199,146,2065,40,0.000,1,VALID,97,1,0.879,0.044,0.375,0.563,0.563,0.215,-0.066,0.973,-0.031,0.031,-0.020,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,578377.473,0.569,0.098,0.050,0.815,2905,2411,3045,2523,2300,2196,144,2061,40,0.000,1,VALID,97,1,1.279,0.025,-0.813,-0.813,-0.563,0.219,-0.066,0.977,-0.023,0.008,-0.020,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,56,56,0,56,578382.473,0.569,0.098,0.050,0.815,2904,2411,3033,2521,2300,2195,142,2065,40,0.000,1,VALID,97,1,0.990,0.025,0.438,0.688,0.563,0.219,-0.063,0.973,-0.023,0.008,-0.020,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,61,61,0,61,578387.473,0.569,0.098,0.050,0.815,2904,2411,3038,2523,2311,2197,145,2065,40,0.000,1,VALID,97,1,0.713,0.014,0.000,-0.563,-0.438,0.219,-0.066,0.977,-0.012,0.008,0.008,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,66,66,0,66,578392.472,0.569,0.098,0.050,0.815,2907,2409,3036,2519,2309,2200,147,2063,40,0.000,1,VALID,97,1,0.715,0.014,0.063,0.563,0.438,0.219,-0.063,0.973,-0.012,-0.008,-0.023,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,578397.473,0.569,0.098,0.050,0.815,2903,2411,3034,2524,2301,2195,140,2063,40,0.000,1,VALID,97,1,0.492,0.017,0.063,-0.313,-0.375,0.215,-0.059,0.980,0.008,0.016,0.016,0.000,0.000,0.203,0.463,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
