condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,54,54,0,54,76699.540,0.964,0.037,0.030,0.262,3157,867,1145,2445,2157,2794,155,2757,39,0.033,1,VALID,6,1,4.418,0.112,-1.500,-4.063,0.875,0.074,-0.094,1.008,0.039,-0.105,0.086,0.086,0.044,0.210,0.053,2,NULL,NULL,NULL,0,0,0,7,255,,250,0,0
stim,59,59,0,59,76704.540,0.964,0.037,0.030,0.262,3161,883,1175,2429,2185,2799,166,2771,39,0.033,1,VALID,6,1,4.096,0.112,-0.938,-3.938,0.625,0.070,-0.102,0.992,0.039,-0.105,0.086,0.088,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,64,64,0,64,76709.540,0.964,0.037,0.030,0.262,3159,884,1203,2429,2201,2795,169,2779,39,0.033,1,VALID,6,1,3.784,0.085,-0.250,-3.750,-0.438,0.066,-0.078,0.996,0.023,-0.082,-0.020,0.088,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,69,69,0,69,76714.540,0.964,0.038,0.030,0.262,3155,906,1223,2407,2216,2803,175,2784,39,0.033,1,VALID,6,1,4.236,0.070,-1.625,-3.813,-0.875,0.074,-0.070,1.012,0.023,0.066,-0.020,0.090,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,74,74,0,74,76719.540,0.964,0.038,0.030,0.262,3141,919,1244,2390,2233,2808,181,2791,39,0.033,1,VALID,6,1,4.185,0.075,-2.188,-3.563,0.188,0.078,-0.094,1.031,0.035,0.066,0.145,0.090,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,79,79,0,79,76724.540,0.964,0.038,0.031,0.262,3129,938,1263,2387,2253,2809,187,2797,39,0.033,1,VALID,6,1,3.604,0.156,-1.563,-3.188,-0.625,0.078,-0.070,1.008,0.121,0.098,0.145,0.090,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,84,84,0,84,76729.540,0.964,0.038,0.031,0.262,3128,965,1291,2361,2276,2811,210,2807,39,0.033,1,VALID,6,1,5.461,0.174,-4.000,-3.563,-1.063,0.074,-0.063,0.984,0.145,0.098,0.102,0.092,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,89,89,0,89,76734.540,0.964,0.038,0.031,0.262,3113,979,1316,2359,2295,2807,225,2813,39,0.033,1,VALID,6,1,4.796,0.174,-3.625,-3.125,-0.313,0.078,-0.121,1.023,0.145,0.098,0.102,0.092,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,94,94,0,94,76739.540,0.964,0.038,0.031,0.262,3108,997,1339,2345,2309,2813,245,2821,39,0.033,1,VALID,6,1,3.373,0.169,-1.938,-2.750,-0.250,0.090,-0.074,1.008,0.168,0.020,0.117,0.094,0.046,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,99,99,0,99,76744.540,0.964,0.039,0.031,0.262,3099,1002,1370,2332,2328,2821,260,2823,39,0.033,1,VALID,6,1,6.064,0.028,-5.125,-3.063,1.063,0.070,-0.082,0.977,0.020,0.020,0.117,0.094,0.048,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,104,104,0,104,76749.540,0.964,0.039,0.031,0.262,3097,1031,1395,2323,2345,2812,264,2829,39,0.033,1,VALID,6,1,5.273,0.028,-4.688,-2.250,-0.875,0.074,-0.105,1.020,0.020,0.020,0.117,0.096,0.048,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,109,109,0,109,76754.540,0.964,0.039,0.031,0.262,3087,1061,1429,2325,2359,2811,270,2831,39,0.033,1,VALID,6,1,5.951,0.142,-4.938,-3.250,0.688,0.086,-0.094,0.980,0.020,-0.141,-0.156,0.098,0.048,0.210,0.053,2,NULL,NULL,,0,0,0,7,255,,250,0,0
