condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,11,11,0,11,259239.540,-0.914,-0.242,-0.226,-0.235,0,0,0,0,0,0,0,2,0,0.000,0,WARMING_UP,117,0,116.617,5.501,81.125,82.875,-12.250,-0.141,-0.285,0.758,-4.926,2.449,-3.852,0.000,0.000,0.000,0.000,0,NULL,NULL,NULL,5,0,2,7,255,,250,0,0
stim,16,16,0,16,259244.540,-0.915,-0.238,-0.224,-0.236,0,0,0,0,0,0,0,7,0,0.000,0,WARMING_UP,117,0,117.682,5.334,78.875,86.813,-9.563,-0.078,-0.371,0.797,-4.738,2.449,-3.773,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,21,21,0,21,259249.540,-0.917,-0.234,-0.221,-0.236,0,0,0,0,0,0,0,8,0,0.000,0,WARMING_UP,117,0,120.734,5.283,78.688,91.500,-3.563,-0.121,-0.293,0.773,-4.707,2.398,-3.438,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,26,26,0,26,259254.540,-0.919,-0.229,-0.218,-0.237,0,0,0,0,0,0,0,11,0,0.000,0,WARMING_UP,117,0,126.061,5.032,80.313,96.438,-11.875,-0.074,-0.355,0.816,-4.641,1.945,-2.820,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,31,31,0,31,259259.540,-0.920,-0.225,-0.215,-0.238,0,0,0,0,0,0,0,18,0,0.000,0,WARMING_UP,117,0,127.482,5.032,77.500,101.125,-4.375,-0.039,-0.410,0.840,-4.641,1.945,-2.664,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,36,36,0,36,259264.540,-0.922,-0.221,-0.212,-0.238,0,0,0,0,0,0,0,22,0,0.000,0,WARMING_UP,117,0,132.322,5.061,78.188,106.750,-0.625,-0.113,-0.324,0.820,-4.672,1.945,-2.664,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,41,41,0,41,259269.540,-0.923,-0.216,-0.208,-0.239,0,0,0,0,0,0,0,24,0,0.000,0,WARMING_UP,117,0,136.283,5.070,77.500,111.750,-8.875,-0.066,-0.395,0.895,-4.742,1.793,-2.063,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,46,46,0,46,259274.540,-0.925,-0.212,-0.204,-0.240,0,0,0,0,0,0,0,28,0,0.000,0,WARMING_UP,117,0,137.018,5.143,73.688,115.500,-1.938,-0.035,-0.441,0.895,-4.820,1.793,-1.734,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,51,51,0,51,259279.540,-0.927,-0.208,-0.200,-0.240,0,0,0,0,0,0,0,33,0,0.000,0,WARMING_UP,117,0,140.302,5.213,73.188,119.688,1.750,-0.105,-0.363,0.887,-4.895,1.793,-1.734,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,56,56,0,56,259284.540,-0.928,-0.204,-0.196,-0.241,0,0,0,0,0,0,0,31,0,0.000,0,WARMING_UP,117,0,142.557,5.013,71.500,123.250,-4.438,-0.063,-0.406,0.887,-4.820,1.375,-1.598,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
