condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,8,8,0,8,441574.540,0.995,0.056,0.043,-0.071,0,0,0,0,0,0,0,281,0,0.000,1,VALID,226,0,136.811,2.286,-23.813,20.688,-133.125,-0.094,-0.359,1.020,-0.961,-2.074,-0.125,0.000,0.000,0.074,0.181,0,NULL,NULL,NULL,5,0,1,7,255,,250,0,0
stim,13,13,0,13,441579.540,0.995,0.058,0.042,-0.065,0,0,0,0,0,0,0,281,0,0.000,1,VALID,226,0,141.426,2.098,-26.875,21.813,-137.125,-0.082,-0.301,0.996,-1.293,-1.652,0.188,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,18,18,0,18,441584.540,0.996,0.059,0.042,-0.059,0,0,0,0,0,0,0,285,0,0.000,1,VALID,226,0,140.777,2.170,-29.813,23.500,-135.563,-0.102,-0.313,1.027,-1.324,-1.719,0.492,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,23,23,0,23,441589.540,0.996,0.060,0.041,-0.052,0,0,0,0,0,0,0,292,0,0.000,1,VALID,226,0,148.782,2.276,-29.375,25.750,-143.563,-0.121,-0.332,1.055,-1.492,-1.719,0.500,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,28,28,0,28,441594.540,0.996,0.062,0.040,-0.046,0,0,0,0,0,0,0,294,0,0.000,1,VALID,226,0,149.588,2.276,-37.563,28.625,-141.938,-0.070,-0.258,1.020,-1.492,-1.719,0.500,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,33,33,0,33,441599.540,0.996,0.063,0.039,-0.039,0,0,0,0,0,0,0,296,0,0.000,1,VALID,226,0,152.593,2.429,-35.250,30.438,-145.313,-0.105,-0.348,1.070,-1.590,-1.836,0.770,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,38,38,0,38,441604.540,0.997,0.065,0.039,-0.033,0,0,0,0,0,0,0,291,0,0.000,1,VALID,226,0,155.171,1.729,-42.125,32.563,-145.750,-0.078,-0.184,0.988,-1.352,-1.078,0.367,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,43,43,0,43,441609.540,0.997,0.067,0.038,-0.026,0,0,0,0,0,0,0,297,0,0.000,1,VALID,226,0,159.069,1.942,-40.813,34.000,-149.938,-0.070,-0.309,1.055,-1.352,-1.395,0.797,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,48,48,0,48,441614.540,0.997,0.069,0.037,-0.020,0,0,0,0,0,0,0,297,0,0.000,1,VALID,226,0,157.571,1.298,-46.188,35.375,-146.438,-0.055,-0.152,0.934,-1.258,-0.320,-0.027,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,53,53,0,53,441619.540,0.997,0.071,0.036,-0.013,0,0,0,0,0,0,0,297,0,0.000,1,VALID,226,0,161.858,1.511,-42.563,35.813,-152.000,-0.047,-0.273,0.996,-1.090,-1.047,0.203,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,58,58,0,58,441624.540,0.997,0.073,0.035,-0.006,0,0,0,0,0,0,0,297,0,0.000,1,VALID,226,0,157.091,1.039,-45.500,36.188,-145.938,-0.020,-0.137,0.914,-1.039,0.008,-0.602,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,63,63,0,63,441629.540,0.997,0.074,0.034,0.000,0,0,0,0,0,0,0,299,0,0.000,1,VALID,226,0,160.142,0.877,-42.188,36.188,-150.188,-0.031,-0.191,0.969,-0.855,-0.195,-0.199,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,68,68,0,68,441634.540,0.997,0.076,0.033,0.007,0,0,0,0,0,0,0,301,0,0.000,1,VALID,226,0,157.030,0.749,-45.438,36.000,-145.938,-0.020,-0.180,0.910,-0.738,-0.125,-0.754,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,73,73,0,73,441639.540,0.996,0.078,0.032,0.013,0,0,0,0,0,0,0,300,0,0.000,1,VALID,226,0,157.634,0.865,-40.938,35.875,-147.938,-0.039,-0.148,0.910,-0.855,-0.125,-0.754,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,78,78,0,78,441644.540,0.996,0.079,0.031,0.020,0,0,0,0,0,0,0,297,0,0.000,1,VALID,226,0,157.403,0.841,-41.438,35.313,-147.688,-0.031,-0.227,0.926,-0.832,-0.125,-0.754,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,83,83,0,83,441649.540,0.996,0.081,0.030,0.027,0,0,0,0,0,0,0,301,0,0.000,1,VALID,226,0,153.600,0.883,-40.125,35.313,-144.000,-0.090,-0.148,0.898,-0.863,0.188,-0.832,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,88,88,0,88,441654.540,0.996,0.082,0.029,0.033,0,0,0,0,0,0,0,299,0,0.000,1,VALID,226,0,160.848,1.186,-38.625,35.188,-152.125,-0.066,-0.207,0.914,-1.164,-0.227,-0.676,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,93,93,0,93,441659.540,0.995,0.084,0.027,0.040,0,0,0,0,0,0,0,298,0,0.000,1,VALID,226,0,155.504,1.274,-38.438,35.500,-146.438,-0.074,-0.223,0.934,-1.254,-0.227,-0.676,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,98,98,0,98,441664.540,0.995,0.085,0.026,0.047,0,0,0,0,0,0,0,304,0,0.000,1,VALID,226,0,158.395,1.274,-38.125,36.625,-149.313,-0.129,-0.125,0.945,-1.254,-0.227,-0.586,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,103,103,0,103,441669.540,0.994,0.087,0.025,0.053,0,0,0,0,0,0,0,309,0,0.000,1,VALID,226,0,165.840,1.276,-40.063,37.750,-156.438,-0.070,-0.184,0.973,-1.254,0.234,-0.480,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,108,108,0,108,441674.540,0.994,0.089,0.024,0.060,0,0,0,0,0,0,0,315,0,0.000,1,VALID,226,0,160.957,1.397,-42.375,39.438,-150.188,-0.094,-0.176,0.941,-1.359,0.320,-0.492,0.000,0.000,0.074,0.181,0,NULL,NULL,,5,0,1,7,255,,250,0,0
