condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,66,66,0,66,57317.588,-0.035,0.026,0.080,-0.996,2585,1597,2889,2829,2916,1707,2519,2378,50,0.949,1,VALID,7,1,3.715,0.499,1.313,-2.125,-2.750,-0.051,-0.223,0.926,-0.254,0.430,0.082,0.000,0.000,0.992,1.173,3,NULL,NULL,NULL,0,0,0,7,255,,250,0,0
stim,71,71,0,71,57322.588,-0.035,0.026,0.080,-0.996,2575,1607,2890,2813,2926,1707,2523,2385,50,0.949,1,VALID,7,1,3.583,0.264,1.688,-2.875,-1.313,-0.055,-0.184,1.047,-0.203,0.168,0.082,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,76,76,0,76,57327.588,-0.035,0.025,0.080,-0.996,2557,1623,2895,2806,2935,1705,2536,2391,50,0.949,1,VALID,7,1,3.070,0.235,-0.500,-2.813,-1.125,-0.047,-0.164,0.984,-0.203,-0.117,-0.059,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,81,81,0,81,57332.588,-0.035,0.025,0.080,-0.996,2549,1627,2902,2806,2933,1703,2543,2391,50,0.949,1,VALID,7,1,3.612,0.211,-1.875,-2.625,-1.625,-0.059,-0.227,1.027,-0.176,-0.117,0.469,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,86,86,0,86,57337.588,-0.035,0.025,0.080,-0.996,2542,1617,2905,2799,2939,1701,2551,2392,50,0.949,1,VALID,7,1,8.074,0.229,-7.500,-2.938,-0.563,-0.039,-0.172,0.957,-0.211,-0.090,-0.059,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,91,91,0,91,57342.588,-0.035,0.025,0.080,-0.996,2535,1657,2909,2797,2936,1699,2567,2395,50,0.949,1,VALID,7,1,4.464,0.404,3.125,-3.188,0.063,-0.047,-0.227,0.945,-0.246,0.320,-0.285,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,96,96,0,96,57347.588,-0.035,0.025,0.080,-0.996,2524,1671,2917,2796,2939,1699,2571,2397,50,0.949,1,VALID,7,1,3.847,0.250,-0.875,-3.375,1.625,-0.051,-0.191,1.031,-0.246,-0.043,-0.285,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,101,101,0,101,57352.588,-0.035,0.025,0.080,-0.996,2521,1681,2921,2795,2894,1693,2581,2397,0,0.949,1,VALID,7,1,5.249,0.223,-4.375,-2.875,0.375,-0.055,-0.180,1.023,-0.219,-0.043,0.348,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,106,106,0,106,57357.588,-0.035,0.025,0.080,-0.996,2515,1683,2926,2792,2941,1689,2591,2399,0,0.949,1,VALID,7,1,7.697,0.143,-7.000,-3.125,0.688,-0.063,-0.180,0.938,-0.137,-0.043,0.348,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,111,111,0,111,57362.588,-0.035,0.024,0.080,-0.996,2507,1703,2934,2791,2943,1687,2599,2405,0,0.949,1,VALID,7,1,4.931,0.137,-1.250,-4.438,1.750,-0.043,-0.211,1.043,-0.137,0.012,0.348,0.000,0.000,0.992,1.173,3,NULL,NULL,,0,0,0,7,255,,250,0,0
