condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,3,3,1,3,239937.588,0.993,0.073,-0.039,0.081,2095,153,1405,2227,1709,779,697,1107,0,0.000,0,WARMING_UP,117,1,1.125,0.061,-1.000,-0.125,-0.500,-0.090,-0.168,0.988,0.055,-0.027,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,NULL,6,1,3,7,255,,250,0,0
stim,8,8,1,8,239942.588,0.993,0.073,-0.039,0.081,2091,155,1400,2219,1708,758,695,1087,0,0.000,0,WARMING_UP,117,1,3.079,0.061,0.313,0.063,-3.063,-0.063,-0.211,0.965,0.055,-0.027,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,13,13,1,13,239947.588,0.993,0.073,-0.039,0.081,2078,152,1399,2207,1706,759,697,1083,0,0.000,0,WARMING_UP,117,1,1.875,0.190,1.375,-0.250,1.250,-0.078,-0.152,1.012,0.090,0.168,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,18,18,1,18,239952.588,0.993,0.073,-0.039,0.081,2075,153,1400,2204,1696,757,695,1078,0,0.000,0,WARMING_UP,117,1,2.939,0.295,-1.813,0.063,-2.313,-0.090,-0.211,0.969,0.090,-0.281,-0.105,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,23,23,1,23,239957.588,0.993,0.073,-0.039,0.081,2063,150,1395,2197,1691,751,693,1065,0,0.000,0,WARMING_UP,117,1,2.017,0.166,1.938,-0.250,-0.500,-0.063,-0.164,0.980,0.094,0.137,-0.086,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,28,28,1,28,239962.588,0.993,0.073,-0.039,0.081,2043,148,1388,2193,1693,747,695,1055,0,0.000,0,WARMING_UP,117,1,0.576,0.095,-0.375,0.000,-0.438,-0.086,-0.195,1.004,-0.059,-0.074,-0.086,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,33,33,1,33,239967.589,0.993,0.073,-0.039,0.081,2031,153,1388,2187,1691,747,693,1051,0,0.000,0,WARMING_UP,117,1,2.072,0.080,-0.188,-0.063,-2.063,-0.074,-0.172,0.965,0.039,0.070,-0.086,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,38,38,1,38,239972.588,0.993,0.073,-0.039,0.081,2025,147,1375,2187,1687,745,691,1041,0,0.000,0,WARMING_UP,117,1,1.876,0.067,1.063,-0.375,1.500,-0.074,-0.191,1.000,0.039,-0.055,0.180,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,43,43,1,43,239977.588,0.993,0.073,-0.039,0.081,1997,151,1375,2171,1682,731,681,1039,0,0.000,0,WARMING_UP,117,1,3.440,0.067,-1.063,0.375,-3.250,-0.082,-0.176,0.973,0.039,0.055,-0.109,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,48,48,1,48,239982.588,0.993,0.073,-0.039,0.081,1995,152,1369,2169,1681,727,680,1024,0,0.000,0,WARMING_UP,117,1,2.552,0.060,1.563,-0.563,1.938,-0.074,-0.188,0.988,0.031,-0.051,0.059,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
