condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,14,14,0,14,422347.588,0.971,0.055,-0.047,0.227,1839,149,1125,1859,1517,743,503,797,0,0.000,0,WARMING_UP,226,1,1.272,0.031,1.063,0.313,0.625,-0.074,-0.160,0.969,-0.023,-0.020,-0.191,0.000,0.000,0.000,0.000,2,NULL,NULL,NULL,5,0,1,7,255,,250,0,0
stim,19,19,0,19,422352.588,0.971,0.055,-0.047,0.227,1835,149,1124,1875,1515,741,507,799,0,0.000,0,WARMING_UP,226,1,2.356,0.021,0.688,-0.125,-2.250,-0.039,-0.207,0.977,0.008,-0.020,-0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,24,24,0,24,422357.588,0.971,0.055,-0.047,0.227,1831,153,1117,1851,1515,742,503,797,0,0.000,0,WARMING_UP,226,1,4.593,0.021,1.375,-0.250,4.375,-0.102,-0.117,1.008,0.008,-0.020,-0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,29,29,0,29,422362.588,0.971,0.055,-0.047,0.227,1827,147,1125,1851,1512,743,503,795,0,0.000,0,WARMING_UP,226,1,2.043,0.006,0.375,0.188,-2.000,-0.098,-0.172,0.973,0.004,0.004,-0.039,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,34,34,0,34,422367.588,0.971,0.055,-0.047,0.227,1829,145,1117,1849,1511,743,501,795,0,0.000,0,WARMING_UP,226,1,1.655,0.006,0.688,0.125,-1.500,-0.039,-0.156,1.000,0.004,0.004,0.105,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,39,39,0,39,422372.588,0.971,0.055,-0.047,0.227,1827,151,1115,1847,1513,745,501,797,0,0.000,0,WARMING_UP,226,1,3.912,0.215,0.313,-0.438,3.875,-0.121,-0.148,0.992,-0.215,0.004,0.082,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,44,44,0,44,422377.588,0.971,0.055,-0.047,0.227,1827,153,1115,1840,1509,743,493,793,0,0.000,0,WARMING_UP,226,1,4.765,0.179,-0.063,0.375,-4.750,-0.047,-0.188,0.961,0.145,-0.105,0.082,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,49,49,0,49,422382.588,0.971,0.055,-0.047,0.227,1824,149,1121,1839,1511,742,493,805,0,0.000,0,WARMING_UP,226,1,4.781,0.327,1.688,-0.563,4.438,-0.086,-0.137,1.023,0.082,0.316,0.082,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,54,54,0,54,422387.588,0.971,0.055,-0.047,0.227,1828,151,1113,1841,1510,742,491,793,0,0.000,0,WARMING_UP,226,1,3.258,0.108,-1.625,0.250,-2.813,-0.102,-0.180,0.957,0.082,-0.070,-0.234,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,59,59,0,59,422392.588,0.971,0.055,-0.047,0.227,1829,151,1113,1837,1515,743,489,793,0,0.000,0,WARMING_UP,226,1,2.386,0.084,2.375,-0.188,-0.125,-0.047,-0.148,1.004,0.082,-0.016,0.125,0.000,0.000,0.000,0.000,2,NULL,NULL,,5,0,1,7,255,,250,0,0
