condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,6,6,0,6,122320.547,0.287,0.211,-0.108,-0.928,2815,381,1377,3035,2105,1998,735,2696,50,1.131,1,VALID,26,1,63.249,0.808,-62.500,-9.625,1.250,-0.480,0.094,0.941,-0.777,-0.219,0.379,0.068,0.046,1.181,1.295,2,NULL,NULL,NULL,0,0,0,7,255,,250,0,0
stim,10,10,0,10,122325.545,0.287,0.211,-0.105,-0.929,2790,405,1417,3038,2119,2001,773,2711,50,1.131,1,VALID,26,1,67.512,0.338,-66.438,-11.875,-1.688,-0.516,0.102,0.926,-0.258,-0.219,0.578,0.068,0.044,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,15,15,0,15,122330.545,0.286,0.212,-0.103,-0.929,2749,405,1461,3019,2150,2004,812,2710,50,1.131,1,VALID,26,1,66.381,0.608,-64.688,-13.250,-6.813,-0.477,0.113,0.871,-0.176,-0.582,0.578,0.070,0.044,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,20,20,0,20,122335.545,0.286,0.212,-0.100,-0.929,2711,410,1511,2989,2190,2005,855,2709,50,1.131,1,VALID,26,1,65.676,0.587,-64.250,-13.250,-3.125,-0.449,0.078,0.836,-0.074,-0.582,-0.047,0.070,0.042,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,25,25,0,25,122340.545,0.285,0.212,-0.097,-0.930,2663,421,1551,2985,2219,1991,903,2725,50,1.131,1,VALID,26,1,60.929,0.425,-58.938,-14.438,-5.500,-0.500,0.020,0.879,-0.074,-0.418,-0.047,0.070,0.042,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,30,30,0,30,122345.545,0.286,0.212,-0.095,-0.930,2617,413,1605,2969,2251,1981,938,2745,50,1.131,1,VALID,26,1,57.642,0.234,-53.500,-17.438,-12.500,-0.469,0.020,0.875,0.207,-0.109,-0.070,0.070,0.040,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,35,35,0,35,122350.545,0.285,0.212,-0.092,-0.930,2573,411,1645,2944,2285,1973,987,2743,50,1.131,1,VALID,26,1,55.271,0.208,-51.875,-17.375,-7.875,-0.445,0.012,0.859,0.207,-0.020,-0.070,0.068,0.040,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,40,40,0,40,122355.545,0.285,0.212,-0.090,-0.930,2503,408,1677,2933,2311,1965,1032,2763,50,1.131,1,VALID,26,1,53.495,0.224,-49.188,-18.000,-10.875,-0.469,-0.016,0.910,0.207,0.086,-0.070,0.068,0.038,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,45,45,0,45,122360.545,0.286,0.212,-0.088,-0.930,2452,379,1720,2904,2347,1956,1065,2765,50,1.131,1,VALID,26,1,55.953,0.250,-49.625,-16.063,-20.250,-0.512,0.051,0.898,0.234,0.086,0.211,0.066,0.036,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,50,50,0,50,122365.545,0.287,0.212,-0.085,-0.930,2389,367,1767,2864,2359,1955,1099,2771,50,1.131,1,VALID,26,1,62.638,0.405,-48.500,-18.250,-35.188,-0.500,0.016,0.879,0.258,-0.313,0.211,0.066,0.036,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,56,56,0,56,122370.547,0.288,0.212,-0.083,-0.930,2317,355,1819,2845,2379,1945,1125,2785,50,1.131,1,VALID,26,1,62.685,0.391,-44.938,-18.438,-39.625,-0.426,0.027,0.863,0.234,-0.313,0.086,0.066,0.034,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,61,61,0,61,122375.548,0.289,0.212,-0.080,-0.930,2246,346,1850,2799,2410,1937,1166,2791,50,1.131,1,VALID,26,1,62.587,0.145,-42.438,-18.625,-42.063,-0.434,-0.023,0.891,0.059,-0.133,-0.117,0.064,0.034,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,65,65,0,65,122380.545,0.291,0.212,-0.078,-0.930,2158,339,1881,2767,2427,1933,1211,2791,50,1.131,1,VALID,26,1,57.883,0.199,-39.313,-19.125,-37.938,-0.395,0.043,0.859,-0.148,-0.133,-0.363,0.064,0.034,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,70,70,0,70,122385.545,0.292,0.211,-0.076,-0.930,2077,335,1927,2724,2451,1919,1247,2797,50,1.131,1,VALID,26,1,56.009,0.121,-37.000,-19.625,-37.188,-0.465,-0.016,0.871,0.059,-0.105,-0.121,0.064,0.032,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,75,75,0,75,122390.545,0.293,0.211,-0.074,-0.930,2007,331,1968,2697,2473,1917,1305,2809,50,1.131,1,VALID,26,1,55.052,0.537,-34.500,-21.500,-37.125,-0.422,0.082,0.875,-0.488,-0.223,-0.289,0.066,0.032,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,80,80,0,80,122395.545,0.294,0.211,-0.072,-0.929,1925,310,2010,2632,2488,1903,1333,2812,50,1.131,1,VALID,26,1,53.153,0.284,-31.000,-22.563,-36.813,-0.453,-0.004,0.863,0.148,-0.242,-0.262,0.066,0.030,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,85,85,0,85,122400.545,0.296,0.210,-0.070,-0.929,1848,319,2065,2607,2519,1903,1363,2829,50,1.131,1,VALID,26,1,53.381,0.869,-28.625,-23.813,-38.250,-0.422,0.070,0.887,-0.570,-0.656,-0.262,0.066,0.030,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,90,90,0,90,122405.545,0.297,0.209,-0.069,-0.929,1747,315,2089,2569,2541,1897,1379,2831,50,1.131,1,VALID,26,1,53.337,0.278,-25.313,-24.375,-40.125,-0.418,0.004,0.863,-0.137,-0.242,-0.262,0.066,0.028,1.181,1.295,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,95,95,0,95,122410.545,0.298,0.209,-0.067,-0.929,1661,328,2127,2521,2577,1877,1401,2845,50,1.131,1,VALID,26,1,54.199,0.477,-22.313,-25.063,-42.563,-0.402,0.016,0.891,-0.426,-0.215,-0.230,0.068,0.028,1.181,1.295,2,NULL,NULL,,5,0,1,7,255,,250,0,0
