condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,34,34,0,34,304800.545,0.969,0.064,-0.232,-0.053,550,0,588,1644,0,0,307,0,0,0.000,1,VALID,144,1,2.289,0.505,-0.250,-0.813,2.125,-0.418,-0.082,0.883,0.320,0.391,-0.230,0.000,0.000,0.054,0.067,3,NULL,NULL,NULL,5,0,2,7,255,,250,0,0
stim,39,39,0,39,304805.545,0.969,0.064,-0.232,-0.053,551,0,582,1647,0,0,308,0,0,0.000,1,VALID,144,1,1.128,0.354,0.188,0.688,-0.875,-0.496,-0.141,0.883,-0.250,-0.250,0.199,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,44,44,0,44,304810.546,0.969,0.064,-0.232,-0.054,549,0,585,1651,0,0,311,0,0,0.000,1,VALID,144,1,4.565,0.192,-1.625,-0.375,4.250,-0.445,-0.102,0.879,0.094,0.168,-0.121,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,49,49,0,49,304815.545,0.969,0.064,-0.232,-0.054,544,0,582,1647,0,0,311,0,0,0.000,1,VALID,144,1,2.914,0.156,0.438,0.188,-2.875,-0.473,-0.125,0.867,-0.133,-0.082,-0.078,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,54,54,0,54,304820.545,0.969,0.064,-0.232,-0.054,544,0,585,1643,0,0,312,0,0,0.000,1,VALID,144,1,2.273,0.103,0.938,-0.188,2.063,-0.457,-0.117,0.902,0.094,0.043,-0.078,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,59,59,0,59,304825.545,0.969,0.064,-0.232,-0.054,541,0,584,1641,0,0,314,0,0,0.000,1,VALID,144,1,3.993,0.113,-3.375,0.188,2.125,-0.461,-0.125,0.859,-0.078,-0.082,-0.078,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,64,64,0,64,304830.545,0.969,0.064,-0.232,-0.054,541,0,585,1641,0,0,312,0,0,0.000,1,VALID,144,1,3.232,0.040,3.000,-0.188,-1.188,-0.465,-0.125,0.887,0.008,-0.039,0.074,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,69,69,0,69,304835.545,0.969,0.064,-0.232,-0.054,541,0,583,1643,0,0,312,0,0,0.000,1,VALID,144,1,3.099,0.040,-2.063,-0.063,2.313,-0.449,-0.109,0.883,0.008,-0.039,-0.039,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,74,74,0,74,304840.545,0.969,0.064,-0.232,-0.054,543,0,588,1611,0,0,313,0,0,0.000,1,VALID,144,1,0.508,0.040,0.063,0.063,0.500,-0.469,-0.125,0.871,0.008,-0.039,-0.035,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,79,79,0,79,304845.545,0.969,0.064,-0.232,-0.054,542,0,586,1641,0,0,313,0,0,0.000,1,VALID,144,1,2.072,0.096,0.188,-0.063,2.063,-0.457,-0.109,0.883,0.035,0.090,-0.035,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,84,84,0,84,304850.547,0.969,0.064,-0.232,-0.054,549,0,581,1643,0,0,313,0,0,0.000,1,VALID,144,1,2.757,0.038,0.563,0.250,-2.688,-0.453,-0.117,0.883,0.035,0.016,-0.035,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,89,89,0,89,304855.545,0.969,0.064,-0.232,-0.054,547,0,575,1649,0,0,313,0,0,0.000,1,VALID,144,1,1.417,0.091,0.188,0.500,1.313,-0.453,-0.129,0.902,0.090,0.016,-0.016,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,94,94,0,94,304860.546,0.969,0.064,-0.232,-0.054,549,0,571,1644,0,0,312,0,0,0.000,1,VALID,144,1,5.779,0.091,-3.625,0.750,4.438,-0.453,-0.113,0.867,0.090,0.016,-0.043,0.000,0.000,0.054,0.067,3,NULL,NULL,,5,0,2,7,255,,250,0,0
