condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,32,32,1,32,487155.545,0.759,-0.126,-0.171,0.616,0,3,809,0,593,1,77,373,0,0.000,0,WARMING_UP,270,0,29.383,1.731,-1.313,-19.000,-22.375,-0.367,0.215,0.930,1.730,0.016,-0.121,0.000,0.000,0.000,0.000,3,NULL,NULL,NULL,6,1,3,7,255,,250,0,0
stim,37,37,1,37,487160.545,0.758,-0.125,-0.170,0.617,0,0,885,0,660,2,81,395,0,0.000,0,WARMING_UP,270,0,37.975,2.559,4.813,-18.500,-32.813,-0.320,0.270,0.957,2.559,0.016,-0.063,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,42,42,1,42,487165.547,0.757,-0.125,-0.170,0.618,0,0,935,0,713,2,81,427,0,0.000,0,WARMING_UP,270,0,40.245,2.953,2.625,-19.125,-35.313,-0.277,0.227,0.992,2.930,-0.371,-0.063,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,47,47,1,47,487170.545,0.757,-0.124,-0.169,0.619,0,0,985,0,799,4,85,458,0,0.000,0,WARMING_UP,270,0,32.116,3.092,-0.438,-20.000,-25.125,-0.219,0.195,1.031,2.930,-0.988,0.074,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,52,52,1,52,487175.545,0.757,-0.123,-0.169,0.619,0,5,1035,0,869,3,89,475,0,0.000,0,WARMING_UP,270,0,23.558,3.262,-8.500,-21.438,4.813,-0.238,0.137,1.082,2.789,-1.691,0.184,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,57,57,1,57,487180.545,0.759,-0.122,-0.168,0.618,0,7,1095,0,937,19,101,543,0,0.000,0,WARMING_UP,270,0,55.099,2.812,-19.500,-24.313,45.438,-0.324,0.113,1.070,2.246,-1.691,0.754,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,62,62,1,62,487185.545,0.761,-0.121,-0.168,0.615,0,3,1114,0,1003,31,101,638,0,0.000,0,WARMING_UP,270,0,73.168,2.126,-35.313,-22.000,60.188,-0.422,0.047,0.910,1.848,-1.051,0.754,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,67,67,1,67,487190.545,0.762,-0.120,-0.168,0.614,0,2,1141,0,1067,31,101,730,0,0.000,0,WARMING_UP,270,0,59.469,0.888,-28.313,-23.063,46.938,-0.543,-0.086,0.797,0.828,0.320,0.008,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,72,72,1,72,487195.545,0.763,-0.119,-0.167,0.612,0,3,1177,0,1117,51,93,807,0,0.000,0,WARMING_UP,270,0,47.842,1.739,-12.563,-25.938,38.188,-0.563,-0.152,0.777,-0.816,1.535,-0.449,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,77,77,1,77,487200.545,0.765,-0.119,-0.166,0.611,0,1,1195,0,1175,58,92,914,0,0.000,0,WARMING_UP,270,0,57.438,2.227,7.625,-29.813,48.500,-0.680,-0.293,0.895,-1.523,1.625,-0.449,0.000,0.000,0.000,0.000,4,NULL,NULL,,6,1,3,7,255,,250,0,0
