condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,5,5,0,5,246107.555,-0.990,-0.045,-0.003,0.134,2840,909,1469,2681,1416,1047,1991,1160,0,0.000,1,VALID,43,1,1.329,0.020,1.250,0.375,0.250,-0.023,-0.125,0.996,-0.016,0.012,0.012,0.000,0.000,0.842,1.109,2,NULL,NULL,NULL,0,0,0,7,255,,250,0,0
stim,10,10,0,10,246112.555,-0.990,-0.045,-0.003,0.134,2840,910,1468,2675,1415,1047,1989,1160,0,0.000,1,VALID,43,1,3.165,0.086,-1.875,0.750,-2.438,-0.016,-0.129,0.984,-0.008,-0.086,0.012,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,15,15,0,15,246117.556,-0.990,-0.045,-0.003,0.134,2841,915,1469,2682,1415,1048,1990,1161,0,0.000,1,VALID,43,1,3.262,0.087,2.000,-0.625,2.500,-0.008,-0.082,1.016,-0.016,-0.086,0.012,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,20,20,0,20,246122.555,-0.990,-0.045,-0.003,0.134,2843,917,1471,2683,1415,1049,1990,1161,0,0.000,1,VALID,43,1,1.035,0.126,0.750,0.188,-0.688,-0.027,-0.141,0.977,-0.016,-0.125,-0.074,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,25,25,0,25,246127.555,-0.990,-0.045,-0.003,0.134,2842,919,1481,2620,1416,1047,1991,1161,0,0.000,1,VALID,43,1,2.343,0.153,-0.375,0.750,-2.188,-0.020,-0.133,1.004,-0.016,-0.152,0.105,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,30,30,0,30,246132.555,-0.990,-0.045,-0.003,0.134,2846,921,1471,2685,1419,1049,2011,1169,0,0.000,1,VALID,43,1,0.773,0.152,0.000,-0.188,0.750,0.000,-0.094,1.000,-0.004,-0.152,0.027,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,35,35,0,35,246137.556,-0.990,-0.045,-0.003,0.134,2843,924,1471,2686,1419,1049,1989,1161,0,0.000,1,VALID,43,1,2.892,0.043,2.625,-0.250,1.188,-0.020,-0.121,0.996,-0.004,-0.043,0.027,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,40,40,0,40,246142.555,-0.990,-0.045,-0.003,0.134,2843,927,1470,2687,1418,1051,1991,1163,0,0.000,1,VALID,43,1,3.126,0.058,-2.188,0.688,-2.125,-0.023,-0.137,0.988,-0.039,-0.043,0.016,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,45,45,0,45,246147.555,-0.990,-0.045,-0.003,0.134,2845,927,1477,2687,1419,1051,1991,1163,0,0.000,1,VALID,43,1,3.301,0.058,2.813,-0.375,1.688,-0.008,-0.090,1.008,-0.039,-0.043,0.016,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,50,50,0,50,246152.555,-0.990,-0.045,-0.003,0.134,2845,927,1479,2693,1420,1053,1991,1163,0,0.000,1,VALID,43,1,2.074,0.157,-1.813,0.125,-1.000,-0.023,-0.129,0.992,-0.039,-0.152,-0.016,0.000,0.000,0.842,1.109,2,NULL,NULL,,0,0,0,7,255,,250,0,0
