condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,5,5,0,5,428622.555,0.986,0.023,-0.013,0.165,3225,1373,1646,3064,1847,2227,2100,2247,0,0.000,1,VALID,157,1,12.327,0.378,11.500,-3.625,2.563,-0.008,-0.023,0.996,0.355,0.129,-0.070,0.000,0.000,0.846,1.065,2,NULL,NULL,NULL,5,0,1,7,255,,250,0,0
stim,10,10,0,10,428627.555,0.986,0.022,-0.012,0.165,3227,1367,1631,3064,1885,2251,2107,2280,0,0.000,1,VALID,157,1,13.364,0.555,12.375,-3.750,3.375,-0.035,-0.035,1.055,0.355,0.426,0.500,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,15,15,0,15,428632.555,0.986,0.022,-0.012,0.165,3229,1367,1647,3065,1909,2271,2109,2309,0,0.000,1,VALID,157,1,9.776,0.459,9.188,-3.188,1.000,-0.027,-0.031,1.027,0.172,0.426,0.234,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,20,20,0,20,428637.555,0.986,0.022,-0.012,0.165,3217,1363,1640,3065,1926,2287,2109,2328,0,0.000,1,VALID,157,1,10.459,0.459,10.000,-2.938,0.875,0.000,-0.070,1.023,0.172,0.426,0.234,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,25,25,0,25,428642.555,0.986,0.021,-0.012,0.165,3231,1365,1629,3067,1940,2309,2109,2350,0,0.000,1,VALID,157,1,9.826,0.267,8.813,-2.813,3.313,-0.012,-0.055,1.051,0.211,0.164,0.234,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,30,30,0,30,428647.555,0.986,0.021,-0.012,0.164,3229,1363,1625,3067,1949,2334,2111,2375,0,0.000,1,VALID,157,1,10.172,0.267,8.188,-3.188,5.125,-0.055,-0.059,1.031,0.211,0.164,0.309,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,35,35,0,35,428652.556,0.986,0.020,-0.011,0.164,3230,1354,1621,3067,1959,2357,2109,2392,0,0.000,1,VALID,157,1,9.025,0.332,8.063,-3.688,1.688,-0.066,-0.063,1.031,-0.199,0.266,0.309,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,40,40,0,40,428657.556,0.986,0.020,-0.011,0.164,3229,1335,1618,3067,1973,2365,2109,2409,0,0.000,1,VALID,157,1,10.313,0.332,9.063,-4.625,1.688,-0.047,-0.078,1.023,-0.199,0.266,0.305,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,45,45,0,45,428662.555,0.986,0.020,-0.011,0.164,3231,1332,1613,3066,1983,2388,2107,2425,0,0.000,1,VALID,157,1,9.670,0.333,8.000,-5.000,2.125,-0.059,-0.094,1.023,-0.332,0.023,0.254,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,50,50,0,50,428667.555,0.986,0.020,-0.011,0.164,3227,1334,1612,3064,2001,2398,2108,2447,0,0.000,1,VALID,157,1,10.100,0.339,8.438,-5.500,0.750,-0.051,-0.098,0.973,-0.332,-0.066,0.234,0.000,0.000,0.846,1.065,2,NULL,NULL,,5,0,1,7,255,,250,0,0
