condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,5,5,0,5,611047.555,0.964,0.072,0.018,-0.254,1903,488,811,1847,1113,381,1881,380,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,52.243,5.315,52.000,2.688,4.250,-0.926,-0.609,0.934,-4.824,-2.230,0.305,0.000,0.000,0.000,0.000,2,NULL,NULL,NULL,6,0,3,7,255,,250,0,0
stim,10,10,0,10,611052.555,0.965,0.069,0.017,-0.252,1957,533,836,1869,1175,457,1897,461,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,68.582,5.315,53.375,0.438,-43.063,-0.207,0.441,1.227,-4.824,-2.230,0.305,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,15,15,0,15,611057.555,0.965,0.067,0.017,-0.251,1983,544,841,1876,1195,487,1912,589,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,44.343,6.518,42.375,0.063,-13.063,-0.008,0.348,1.578,-4.723,4.492,1.320,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,20,20,0,20,611062.556,0.965,0.068,0.017,-0.251,2003,563,909,1871,1253,507,1931,680,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,11.820,5.743,-5.125,0.750,-10.625,-0.145,0.293,1.363,-3.578,4.492,2.891,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,25,25,0,25,611067.556,0.966,0.067,0.017,-0.250,2008,597,947,1867,1295,535,1949,775,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,17.766,4.675,8.063,-5.063,-15.000,-0.113,0.191,1.004,-2.813,3.734,2.891,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,30,30,0,30,611072.556,0.966,0.067,0.017,-0.250,2008,611,1069,1865,1369,569,1989,860,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,18.859,3.575,9.313,-8.938,-13.750,-0.023,-0.055,1.246,-2.563,2.492,2.328,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,35,35,0,35,611077.556,0.966,0.066,0.018,-0.250,2006,647,1189,1853,1431,588,2019,953,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,11.827,1.933,-1.188,-11.563,2.188,-0.031,0.027,1.078,-1.148,1.555,0.547,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,40,40,0,40,611082.556,0.966,0.066,0.018,-0.250,2009,697,1321,1844,1557,635,2059,1049,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,13.915,1.641,0.063,-13.813,1.688,-0.164,-0.012,1.055,-1.148,1.172,0.547,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,45,45,0,45,611087.555,0.966,0.066,0.019,-0.250,2009,750,1447,1835,1592,675,2095,1149,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,0,19.117,1.541,-2.563,-14.125,-12.625,-0.125,-0.082,1.012,-1.430,0.574,0.383,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,50,50,0,50,611092.555,0.966,0.066,0.019,-0.249,2011,775,1567,1831,1677,715,2132,1253,0,0.000,0,INTERVAL_OUT_OF_RANGE,285,1,20.812,1.434,-4.813,-13.938,-14.688,-0.047,-0.172,0.965,-1.430,0.109,0.102,0.000,0.000,0.000,0.000,2,NULL,NULL,,6,0,3,7,255,,250,0,0
