condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,41,41,0,41,81009.408,0.799,0.142,0.027,-0.584,2983,1433,1093,3135,2203,2045,1041,2468,0,0.000,0,RECOVERING,17,1,3.118,0.263,-1.375,1.125,-2.563,-0.125,-0.215,0.984,-0.262,0.023,0.148,0.000,0.000,0.000,0.000,3,NULL,NULL,NULL,0,0,0,7,255,,250,0,0
stim,46,46,0,46,81014.409,0.799,0.142,0.027,-0.583,2985,1434,1095,3145,2221,2066,1042,2473,0,0.000,0,RECOVERING,17,1,4.500,0.262,-2.313,1.875,-3.375,-0.121,-0.227,0.969,-0.262,0.016,0.109,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,51,51,0,51,81019.408,0.799,0.142,0.027,-0.583,2985,1444,1096,3143,2217,2075,1044,2475,0,0.000,0,RECOVERING,17,1,3.564,0.243,-2.563,1.688,-1.813,-0.125,-0.215,0.988,-0.242,0.016,0.109,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,56,56,0,56,81024.408,0.799,0.142,0.027,-0.583,2998,1444,1103,3143,2229,2085,1043,2476,0,0.000,0,RECOVERING,17,1,3.408,0.244,-2.063,1.313,-2.375,-0.129,-0.191,0.992,-0.242,0.027,0.129,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,60,60,0,60,81029.407,0.799,0.142,0.027,-0.583,2992,1452,1114,3145,2235,2105,1047,2477,0,0.000,0,RECOVERING,17,1,6.535,0.244,-3.563,1.938,-5.125,-0.137,-0.223,0.969,-0.242,0.027,0.129,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,66,66,0,66,81034.409,0.800,0.142,0.027,-0.583,2997,1465,1131,3143,2251,2123,1069,2489,0,0.000,0,RECOVERING,17,1,8.173,0.214,-5.125,1.500,-6.188,-0.133,-0.223,0.988,-0.203,-0.066,0.129,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,71,71,0,71,81039.408,0.800,0.142,0.027,-0.583,2988,1477,1163,3133,2277,2147,1087,2504,0,0.000,0,RECOVERING,17,1,7.242,0.214,-4.375,0.500,-5.750,-0.125,-0.199,0.984,-0.203,-0.066,0.090,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,76,76,0,76,81044.408,0.800,0.142,0.027,-0.583,2990,1480,1210,3133,2317,2169,1109,2525,0,0.000,0,RECOVERING,17,1,9.648,0.408,-6.750,0.500,-6.875,-0.172,-0.191,1.004,-0.402,-0.066,0.180,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,81,81,0,81,81049.408,0.800,0.143,0.027,-0.582,2975,1485,1257,3127,2339,2193,1126,2535,0,0.000,0,RECOVERING,17,1,11.223,0.507,-6.438,-0.313,-9.188,-0.125,-0.191,1.000,-0.504,0.059,0.207,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,86,86,0,86,81054.408,0.800,0.143,0.028,-0.582,2967,1499,1295,3124,2361,2207,1169,2549,0,0.000,0,RECOVERING,17,1,10.841,0.505,-7.500,0.500,-7.813,-0.105,-0.254,0.941,-0.504,0.027,0.207,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,91,91,0,91,81059.408,0.800,0.143,0.028,-0.582,2963,1506,1339,3109,2388,2228,1195,2557,0,0.000,0,RECOVERING,17,1,7.610,0.078,-6.313,0.000,-4.250,-0.117,-0.242,1.000,-0.051,0.059,0.207,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,96,96,0,96,81064.408,0.800,0.143,0.028,-0.582,2955,1513,1389,3112,2395,2231,1210,2577,0,0.000,0,RECOVERING,17,1,9.089,0.063,-6.563,-0.688,-6.250,-0.086,-0.223,0.953,-0.023,0.059,-0.211,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,101,101,0,101,81069.408,0.800,0.143,0.028,-0.581,2950,1529,1427,3107,2403,2245,1227,2584,0,0.000,0,RECOVERING,17,1,5.203,0.100,-4.375,-0.125,-2.813,-0.098,-0.262,0.953,-0.023,0.098,-0.074,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,105,105,0,105,81074.407,0.801,0.143,0.028,-0.581,2941,1543,1455,3100,2419,2259,1241,2591,0,0.000,0,RECOVERING,17,1,8.149,0.194,-5.688,1.000,-5.750,-0.121,-0.254,0.938,0.168,0.098,-0.211,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,111,111,1,111,81079.408,0.801,0.143,0.028,-0.581,2936,1545,1471,3103,2425,2262,1252,2600,0,0.000,0,RECOVERING,17,1,3.869,0.194,-1.375,-0.625,-3.563,-0.074,-0.246,0.977,0.168,0.098,-0.074,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,1,0,7,255,,250,0,0
stim,116,116,1,116,81084.408,0.801,0.143,0.029,-0.581,2916,1555,1487,3110,2440,2279,1261,2608,0,0.000,0,RECOVERING,17,1,3.858,0.219,-3.563,0.688,-1.313,-0.117,-0.270,0.922,0.168,-0.141,-0.238,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,1,0,7,255,,250,0,0
stim,121,121,1,121,81089.408,0.801,0.143,0.029,-0.581,2927,1547,1509,3093,2449,2286,1254,2603,0,0.000,0,RECOVERING,17,1,2.451,0.203,0.813,-0.750,-2.188,-0.121,-0.207,1.000,0.160,0.125,0.070,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,1,0,7,255,,250,0,0
stim,126,126,1,126,81094.408,0.801,0.143,0.029,-0.581,2924,1550,1514,3091,2456,2293,1257,2604,0,0.000,0,RECOVERING,17,1,4.819,0.257,-2.938,0.250,-3.813,-0.109,-0.258,0.930,0.246,-0.074,-0.277,0.000,0.000,0.000,0.000,3,NULL,NULL,,0,1,0,7,255,,250,0,0
stim,131,131,1,131,81099.408,0.801,0.143,0.029,-0.581,2910,1562,1515,3087,2452,2309,1256,2631,0,0.000,0,RECOVERING,17,1,1.154,0.182,0.250,-1.063,-0.375,-0.094,-0.227,1.004,-0.133,0.125,0.250,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,136,136,1,136,81104.408,0.801,0.143,0.029,-0.581,2918,1560,1525,3089,2473,2329,1259,2613,0,0.000,0,RECOVERING,17,1,1.311,0.086,-1.125,-0.625,0.250,-0.121,-0.227,0.938,-0.066,-0.055,-0.277,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,141,141,1,141,81109.408,0.801,0.143,0.029,-0.581,2894,1559,1523,3055,2471,2326,1253,2619,0,0.000,0,RECOVERING,17,1,0.400,0.086,-0.250,-0.313,0.000,-0.113,-0.270,0.961,-0.066,-0.055,0.047,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
stim,146,146,1,146,81114.409,0.801,0.143,0.029,-0.581,2889,1559,1522,3053,2479,2339,1253,2635,0,0.000,0,RECOVERING,17,1,3.572,0.086,0.688,-2.250,2.688,-0.109,-0.211,0.988,-0.066,-0.055,0.047,0.000,0.000,0.000,0.000,3,NULL,NULL,,6,1,3,7,255,,250,0,0
