condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,0,0,366344.408,-0.923,-0.073,-0.075,-0.371,0,27,0,0,283,0,53,33,41,0.837,1,VALID,139,0,265.597,4.701,-16.813,249.250,-90.188,0.250,0.277,1.520,2.000,4.254,4.895,2.454,2.750,0.919,1.226,0,NULL,NULL,NULL,5,0,1,7,255,,250,0,0
stim,4,4,0,4,366349.407,-0.922,-0.069,-0.065,-0.376,0,33,0,0,271,0,46,39,41,0.837,1,VALID,139,0,262.018,4.343,-9.750,247.375,-85.813,0.191,0.316,1.488,2.523,3.535,4.520,2.468,2.766,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,10,10,0,10,366354.408,-0.921,-0.065,-0.056,-0.380,0,27,0,0,269,0,26,31,41,0.837,1,VALID,139,0,260.658,4.128,-7.250,244.313,-90.563,0.250,0.320,1.496,2.633,3.180,4.680,2.482,2.782,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,15,15,0,15,366359.408,-0.920,-0.061,-0.046,-0.385,0,27,0,0,266,0,22,25,41,0.837,1,VALID,139,0,257.360,4.367,2.000,242.313,-86.688,0.246,0.289,1.547,3.242,2.926,4.680,2.494,2.796,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,20,20,0,20,366364.408,-0.919,-0.056,-0.037,-0.389,0,27,0,0,263,0,24,7,41,0.837,1,VALID,139,0,256.361,4.275,8.688,239.438,-91.188,0.289,0.402,1.535,3.289,2.730,5.063,2.504,2.810,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,25,25,0,25,366369.408,-0.918,-0.051,-0.028,-0.393,0,28,0,0,251,0,18,13,41,0.837,1,VALID,139,0,251.301,5.055,15.688,236.438,-83.688,0.293,0.340,1.652,4.355,2.566,5.219,2.514,2.822,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,30,30,0,30,366374.408,-0.916,-0.047,-0.019,-0.397,0,24,0,0,236,0,9,10,41,0.837,1,VALID,139,0,249.199,5.074,19.875,231.938,-88.938,0.336,0.414,1.613,4.582,2.180,5.813,2.522,2.830,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,35,35,0,35,366379.408,-0.915,-0.041,-0.011,-0.401,0,18,0,0,225,0,0,3,41,0.837,1,VALID,139,0,245.314,5.749,28.875,229.438,-81.875,0.422,0.457,1.676,5.387,2.008,6.234,2.528,2.838,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,40,40,0,40,366384.408,-0.914,-0.036,-0.003,-0.404,0,18,0,0,221,0,0,6,41,0.837,1,VALID,139,0,238.308,6.282,31.375,223.375,-76.875,0.371,0.430,1.668,6.117,1.430,6.262,2.532,2.846,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
stim,45,45,0,45,366389.408,-0.913,-0.031,0.005,-0.408,0,20,0,0,217,0,0,0,41,0.837,1,VALID,139,0,234.532,6.607,39.875,218.438,-75.500,0.559,0.445,1.648,6.477,1.305,6.262,2.534,2.848,0.919,1.226,0,NULL,NULL,,5,0,1,7,255,,250,0,0
