condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,4,4,0,4,611534.408,0.761,0.364,0.137,0.519,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,187.693,8.646,142.188,108.813,-56.313,-0.590,-0.234,0.742,-3.391,7.953,-7.238,0.000,0.000,0.000,0.000,0,NULL,NULL,NULL,5,0,2,7,255,,250,0,0
stim,9,9,0,9,611539.408,0.763,0.356,0.138,0.522,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,202.422,8.587,154.063,114.750,-63.813,-0.352,-0.359,0.820,-3.238,7.953,-6.383,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,13,13,0,13,611544.407,0.764,0.348,0.138,0.525,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,198.411,9.222,143.875,120.875,-63.688,-0.527,-0.258,0.895,-3.223,8.641,-5.559,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,19,19,0,19,611549.408,0.766,0.340,0.138,0.529,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,208.487,8.096,147.813,127.125,-73.875,-0.359,-0.313,0.855,-2.980,7.527,-4.770,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,24,24,0,24,611554.409,0.767,0.331,0.138,0.532,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,212.369,8.096,147.063,134.188,-73.938,-0.273,-0.387,0.977,-2.980,7.527,-4.586,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,28,28,0,28,611559.407,0.768,0.323,0.138,0.536,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,212.754,8.060,142.375,141.875,-69.750,-0.355,-0.230,0.949,-2.883,7.527,-4.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,34,34,0,34,611564.408,0.769,0.314,0.137,0.540,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,220.510,8.050,142.625,149.188,-77.625,-0.203,-0.379,0.895,-2.984,7.477,-2.992,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,38,38,0,38,611569.407,0.770,0.305,0.137,0.543,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,223.698,6.954,146.750,155.188,-66.500,-0.063,-0.457,0.910,-2.984,6.281,-2.992,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,43,43,0,43,611574.407,0.772,0.296,0.136,0.546,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,227.628,6.803,150.188,160.438,-59.313,-0.180,-0.219,0.875,-2.984,6.113,-2.992,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,49,49,0,49,611579.408,0.773,0.286,0.135,0.550,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,289,0,237.709,5.695,159.625,164.750,-62.313,0.031,-0.414,0.934,-2.602,5.066,-1.816,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
