condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,66,66,0,66,820459.407,-0.896,-0.214,-0.353,0.162,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,255.328,6.404,14.313,214.063,-138.438,0.367,0.297,0.711,-2.844,5.738,-5.141,0.000,0.000,0.000,0.000,0,NULL,NULL,NULL,5,0,2,7,255,,250,0,0
stim,71,71,0,71,820464.408,-0.901,-0.212,-0.346,0.155,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,256.825,6.548,22.313,218.188,-133.625,0.344,0.305,0.777,-2.844,5.898,-4.734,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,76,76,0,76,820469.408,-0.905,-0.210,-0.338,0.148,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,257.305,6.728,29.750,222.750,-125.313,0.281,0.285,0.875,-3.156,5.941,-4.352,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,81,81,0,81,820474.408,-0.910,-0.209,-0.330,0.142,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,257.884,7.208,34.938,224.938,-121.188,0.324,0.270,0.930,-3.898,6.063,-3.875,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,86,86,0,86,820479.408,-0.914,-0.207,-0.322,0.135,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,259.985,7.280,34.188,226.313,-123.313,0.379,0.277,0.980,-3.898,6.148,-3.109,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,91,91,0,91,820484.408,-0.918,-0.205,-0.314,0.129,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,259.108,7.643,32.625,228.875,-117.000,0.270,0.285,1.098,-3.898,6.574,-2.387,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,96,96,0,96,820489.408,-0.922,-0.204,-0.306,0.122,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,256.253,8.150,31.688,228.750,-111.063,0.285,0.277,1.125,-4.773,6.605,-2.098,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,101,101,0,101,820494.408,-0.926,-0.202,-0.298,0.116,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,256.910,8.178,25.500,228.063,-115.500,0.336,0.250,1.113,-4.773,6.641,-1.656,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,106,106,0,106,820499.408,-0.929,-0.201,-0.289,0.110,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,255.911,8.160,22.875,228.500,-112.938,0.273,0.238,1.188,-4.742,6.641,-1.258,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,111,111,0,111,820504.408,-0.933,-0.200,-0.281,0.103,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,253.325,7.779,17.313,225.688,-113.750,0.371,0.273,1.164,-4.051,6.641,-0.863,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,116,116,0,116,820509.408,-0.936,-0.199,-0.273,0.097,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,251.406,8.169,13.125,225.500,-110.375,0.234,0.250,1.211,-4.703,6.680,-0.715,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,121,121,0,121,820514.408,-0.939,-0.198,-0.265,0.090,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,253.204,7.598,12.188,224.188,-117.063,0.410,0.211,1.141,-3.621,6.680,-0.605,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,126,126,0,126,820519.408,-0.943,-0.197,-0.257,0.083,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,251.848,7.909,5.000,223.875,-115.250,0.223,0.285,1.191,-4.234,6.680,-0.715,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,131,131,0,131,820524.408,-0.945,-0.196,-0.248,0.077,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,252.294,7.203,13.750,222.938,-117.313,0.359,0.191,1.199,-2.855,6.613,-0.160,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,136,136,0,136,820529.407,-0.948,-0.195,-0.240,0.069,0,0,0,0,0,0,0,0,0,0.000,0,RECOVERING,406,0,257.290,7.535,1.188,223.438,-127.563,0.324,0.289,1.164,-2.855,6.973,-0.457,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
