condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,5,5,0,5,1002974.408,-0.920,-0.090,0.005,-0.381,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,88.111,2.812,-10.875,-16.125,-85.938,0.078,0.188,0.590,2.223,1.723,-4.449,0.000,0.000,0.000,0.000,0,NULL,NULL,NULL,6,0,3,7,255,,250,0,0
stim,10,10,0,10,1002979.408,-0.919,-0.091,0.003,-0.384,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,83.515,3.280,2.313,-21.188,-80.750,0.000,0.195,0.680,2.160,2.469,-4.449,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,15,15,0,15,1002984.408,-0.918,-0.090,0.002,-0.387,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,82.859,3.047,21.250,-24.688,-76.188,0.094,0.219,0.730,2.250,2.055,-3.652,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,20,20,0,20,1002989.408,-0.917,-0.090,-0.000,-0.390,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,80.638,3.070,25.813,-27.563,-71.250,-0.086,0.230,0.867,1.824,2.469,-3.137,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,25,25,0,25,1002994.408,-0.916,-0.089,-0.002,-0.392,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,82.873,3.002,34.313,-29.625,-69.375,0.035,0.156,0.895,1.910,2.316,-1.918,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,30,30,0,30,1002999.408,-0.915,-0.088,-0.004,-0.395,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,78.008,3.932,36.313,-30.375,-62.000,-0.043,0.219,1.020,1.887,3.449,-1.445,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,35,35,0,35,1003004.408,-0.914,-0.087,-0.006,-0.397,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,74.624,3.932,34.875,-30.500,-58.500,-0.078,0.207,1.055,1.887,3.449,-0.406,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,40,40,0,40,1003009.408,-0.913,-0.086,-0.008,-0.399,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,71.103,4.006,32.250,-30.125,-55.750,-0.125,0.199,1.094,1.566,3.688,-0.055,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,45,45,0,45,1003014.408,-0.912,-0.086,-0.010,-0.401,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,68.938,3.918,30.250,-29.563,-54.438,-0.012,0.117,1.145,1.324,3.688,0.281,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,50,50,0,50,1003019.408,-0.911,-0.085,-0.012,-0.402,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,57.111,4.220,23.250,-28.313,-43.813,-0.160,0.230,1.148,1.168,4.055,0.754,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,55,55,0,55,1003024.408,-0.911,-0.085,-0.014,-0.404,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,59.462,4.172,20.875,-28.000,-48.125,-0.137,0.188,1.066,1.133,4.016,0.754,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,60,60,0,60,1003029.408,-0.910,-0.084,-0.015,-0.406,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,53.219,4.119,20.938,-26.313,-41.250,-0.063,0.082,1.102,0.918,4.016,0.609,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,65,65,0,65,1003034.408,-0.909,-0.084,-0.017,-0.407,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,46.186,4.088,16.188,-24.625,-35.563,-0.191,0.219,1.070,0.766,4.016,0.059,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,70,70,0,70,1003039.408,-0.909,-0.084,-0.018,-0.408,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,47.972,3.472,18.875,-23.313,-37.438,-0.102,0.141,1.023,0.746,3.391,-0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,75,75,0,75,1003044.408,-0.908,-0.083,-0.019,-0.409,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,40.230,3.512,18.625,-20.750,-29.000,-0.102,0.148,1.008,0.754,3.430,-0.250,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,79,79,0,79,1003049.407,-0.908,-0.083,-0.021,-0.410,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,39.084,3.510,21.750,-18.500,-26.688,-0.137,0.172,0.977,0.746,3.430,-0.434,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,85,85,0,85,1003054.408,-0.908,-0.082,-0.022,-0.411,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,38.457,3.489,26.250,-16.063,-23.063,-0.098,0.105,0.984,0.641,3.430,-0.578,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,89,89,0,89,1003059.407,-0.907,-0.081,-0.023,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,36.536,3.694,29.188,-13.375,-17.438,-0.137,0.160,0.965,0.527,3.656,-0.805,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,95,95,0,95,1003064.408,-0.907,-0.080,-0.024,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,40.049,3.238,35.000,-10.813,-16.188,-0.105,0.125,0.965,0.445,3.207,-0.805,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,99,99,0,99,1003069.407,-0.907,-0.079,-0.025,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,41.588,3.238,39.375,-7.625,-11.000,-0.078,0.098,0.988,0.445,3.207,-0.805,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,105,105,0,105,1003074.408,-0.907,-0.077,-0.026,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,43.944,3.233,43.250,-4.875,-6.063,-0.121,0.141,0.992,0.406,3.207,-0.543,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,109,109,0,109,1003079.407,-0.907,-0.075,-0.027,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,47.855,3.372,47.625,-2.438,-4.000,-0.141,0.113,0.984,0.402,3.348,-0.543,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,115,115,0,115,1003084.408,-0.907,-0.073,-0.028,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,52.030,3.348,52.000,0.500,-1.688,-0.121,0.078,1.004,0.066,3.348,-0.543,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,120,120,0,120,1003089.408,-0.908,-0.071,-0.029,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,55.577,3.041,55.438,3.813,1.000,-0.121,0.082,1.055,-0.102,3.039,-0.359,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,125,125,0,125,1003094.408,-0.908,-0.068,-0.030,-0.413,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,56.689,3.041,56.125,7.313,3.188,-0.137,0.078,1.078,-0.121,3.039,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,130,130,0,130,1003099.408,-0.908,-0.066,-0.030,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,57.822,3.049,56.688,10.500,4.438,-0.148,0.051,1.074,-0.250,3.039,0.387,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,135,135,0,135,1003104.408,-0.908,-0.063,-0.031,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,60.159,3.048,58.375,13.563,5.250,-0.152,0.031,1.090,-0.578,2.992,0.395,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,140,140,0,140,1003109.408,-0.909,-0.061,-0.031,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,61.190,3.088,58.625,16.625,5.563,-0.160,0.043,1.109,-0.762,2.992,0.527,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,145,145,0,145,1003114.408,-0.909,-0.058,-0.031,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,61.302,3.093,57.813,19.750,5.063,-0.172,0.035,1.117,-0.785,2.992,0.730,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,150,150,0,150,1003119.408,-0.909,-0.055,-0.031,-0.412,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,61.650,3.133,57.125,22.813,4.125,-0.172,0.012,1.117,-0.930,2.992,0.820,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
stim,155,155,0,155,1003124.408,-0.909,-0.053,-0.031,-0.411,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,530,0,62.536,3.023,56.938,25.688,3.000,-0.176,-0.008,1.121,-1.148,2.797,0.836,0.000,0.000,0.000,0.000,0,NULL,NULL,,6,0,3,7,255,,250,0,0
