condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,22,22,0,22,1185384.408,0.874,0.109,0.021,0.474,0,0,0,0,0,0,23,0,0,0.000,0,RECOVERING,642,0,68.751,4.348,-2.125,-24.375,64.250,0.066,0.234,1.215,3.184,2.961,1.566,0.000,0.000,0.000,0.000,0,NULL,NULL,NULL,5,0,2,7,255,,250,0,0
stim,27,27,0,27,1185389.408,0.875,0.109,0.021,0.472,0,0,0,0,0,0,25,0,0,0.000,0,RECOVERING,642,0,64.678,4.290,-11.438,-17.125,61.313,-0.168,0.246,1.305,2.730,3.309,1.570,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,32,32,0,32,1185394.408,0.876,0.110,0.021,0.470,0,0,0,0,0,0,26,0,0,0.000,0,RECOVERING,642,0,55.577,4.145,-17.125,-13.000,51.250,0.043,0.164,1.207,2.496,3.309,1.449,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,37,37,0,37,1185399.408,0.877,0.112,0.021,0.468,0,0,0,0,0,0,35,0,0,0.000,0,RECOVERING,642,0,58.955,5.865,-28.125,-7.625,51.250,-0.262,0.270,1.230,2.078,5.484,1.449,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,42,42,0,42,1185404.408,0.877,0.113,0.020,0.466,0,0,0,0,0,0,31,0,0,0.000,0,RECOVERING,642,0,47.851,4.303,-27.500,-6.063,38.688,-0.086,0.137,1.137,1.727,3.941,1.027,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,47,47,0,47,1185409.408,0.878,0.114,0.019,0.465,0,0,0,0,0,0,35,0,0,0.000,0,RECOVERING,642,0,52.128,5.582,-35.000,-4.438,38.375,-0.180,0.270,1.078,1.727,5.309,0.629,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,52,52,0,52,1185414.408,0.878,0.116,0.019,0.463,0,0,0,0,0,0,33,0,0,0.000,0,RECOVERING,642,0,45.975,5.525,-32.813,-4.125,31.938,-0.281,0.199,0.957,1.531,5.309,-0.324,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,57,57,0,57,1185419.408,0.879,0.117,0.018,0.463,0,0,0,0,0,0,31,1,0,0.000,0,RECOVERING,642,0,36.125,5.422,-26.625,-6.625,23.500,-0.121,0.133,0.809,1.102,5.309,-1.488,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,62,62,0,62,1185424.408,0.879,0.118,0.018,0.461,0,0,0,0,0,0,29,1,0,0.000,0,RECOVERING,642,0,33.888,5.390,-16.813,-8.438,28.188,-0.293,0.223,0.777,0.863,5.320,-2.570,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
stim,67,67,0,67,1185429.409,0.879,0.118,0.018,0.461,0,0,0,0,0,0,21,6,0,0.000,0,RECOVERING,642,0,20.961,3.961,-4.250,-12.375,16.375,-0.223,0.117,0.641,0.840,3.871,-3.301,0.000,0.000,0.000,0.000,0,NULL,NULL,,5,0,2,7,255,,250,0,0
