condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,863908.409,0.845,-0.361,-0.008,-0.395,133,0,0,0,0,0,0,13,43,0.000,209,0,10.492,0.522,1.800,-10.320,0.580,0.016,0.364,0.960,-0.214,-0.476,0.080,0.000,0.000,0.336,0.433,2,NULL,NULL,1130.000,1,0,2,7,255,,250,0,0
stim,15,15,0,863913.409,0.845,-0.362,-0.008,-0.395,124,0,0,0,0,0,0,18,43,0.000,209,0,10.700,0.276,3.280,-9.520,3.620,0.016,0.340,0.952,-0.214,-0.174,0.124,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,52,52,0,863918.409,0.845,-0.362,-0.007,-0.395,135,0,0,0,0,0,0,18,43,0.000,209,0,8.018,0.276,0.760,-7.940,0.820,-0.021,0.289,0.951,-0.214,-0.174,0.124,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,52,52,0,863923.409,0.845,-0.362,-0.007,-0.395,133,0,0,0,0,0,0,14,43,0.000,209,0,7.890,0.276,-0.340,-7.880,-0.220,0.014,0.361,0.963,-0.214,-0.174,0.124,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863928.409,0.844,-0.362,-0.007,-0.395,134,0,0,0,0,0,0,16,43,0.000,209,0,8.800,0.405,2.160,-7.260,4.480,0.007,0.357,0.955,-0.366,-0.174,0.206,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863933.409,0.844,-0.362,-0.006,-0.395,139,0,0,0,0,0,0,12,43,0.000,209,0,7.108,0.405,3.140,-6.360,-0.460,-0.026,0.276,0.959,-0.366,-0.174,0.206,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863938.409,0.844,-0.362,-0.006,-0.395,137,0,0,0,0,0,0,14,43,0.000,209,0,5.433,0.438,-1.380,-5.200,0.760,0.025,0.383,0.949,-0.402,-0.174,0.206,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863943.409,0.844,-0.362,-0.006,-0.395,139,0,0,0,0,0,0,12,43,0.000,209,0,7.088,0.521,3.520,-4.280,4.420,-0.005,0.333,0.972,-0.270,-0.446,0.244,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863948.409,0.844,-0.362,-0.006,-0.395,141,0,0,0,0,0,0,13,43,0.000,209,0,4.783,0.521,0.400,-4.460,-1.680,-0.022,0.283,0.946,-0.270,-0.446,0.244,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863953.410,0.844,-0.362,-0.006,-0.395,137,0,0,0,0,0,0,11,43,0.000,209,0,3.401,0.521,1.680,-2.140,2.040,0.029,0.415,0.970,-0.270,-0.446,0.278,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863958.410,0.844,-0.362,-0.006,-0.395,138,0,0,0,0,0,0,13,43,0.000,209,0,4.685,0.801,1.740,-2.500,3.560,-0.029,0.258,0.941,-0.070,-0.798,-0.130,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,863963.409,0.844,-0.362,-0.006,-0.395,136,0,0,0,0,0,0,14,43,0.000,209,0,3.967,0.563,1.000,-0.380,-3.820,0.012,0.389,0.980,-0.562,-0.026,0.546,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,79,79,0,863968.409,0.844,-0.362,-0.005,-0.395,135,0,0,0,0,0,0,19,43,0.000,209,0,8.391,0.515,2.340,-1.860,7.840,-0.003,0.308,0.933,-0.170,-0.486,-0.162,0.000,0.000,0.336,0.433,2,NULL,NULL,,1,0,2,7,255,,250,0,0
