condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,30,30,0,197309.420,-0.833,0.148,0.034,0.532,3429,0,0,0,0,40,0,115,37,0.000,46,1,4.494,0.117,-2.700,2.120,-2.900,-0.197,-0.057,1.002,-0.044,-0.108,0.104,0.000,0.000,2.882,1.422,2,NULL,NULL,656.000,0,0,0,7,255,,250,0,0
stim,30,30,0,197314.420,-0.833,0.149,0.034,0.532,3417,0,0,0,0,43,0,112,37,0.000,46,1,4.317,0.117,1.280,-3.680,1.860,-0.125,0.026,0.992,-0.044,-0.108,-0.018,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197319.420,-0.833,0.148,0.034,0.532,3415,0,0,0,0,41,0,115,37,0.000,46,1,4.059,0.265,0.720,3.660,1.600,-0.250,-0.077,0.943,0.148,-0.220,-0.018,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197324.420,-0.833,0.148,0.034,0.532,3416,0,0,0,0,39,0,111,37,0.000,46,1,5.117,0.479,-2.280,-0.860,-4.500,-0.139,-0.027,1.035,0.148,0.456,-0.018,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197329.420,-0.833,0.149,0.034,0.532,3419,0,0,0,0,42,0,109,37,0.000,46,1,6.000,0.265,2.060,-2.520,5.040,-0.168,0.019,0.946,0.148,0.220,-0.244,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,46,46,0,197334.422,-0.833,0.148,0.034,0.532,3427,0,0,0,0,40,0,115,37,0.000,46,1,5.542,0.274,-0.860,5.120,-1.940,-0.233,-0.096,0.978,0.164,0.220,0.068,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,78,78,0,197339.420,-0.833,0.148,0.034,0.532,3411,0,0,0,0,43,0,115,37,0.000,46,1,5.053,0.317,-0.500,-4.780,-1.560,-0.117,0.026,1.026,-0.228,0.220,0.068,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,78,78,0,197344.420,-0.833,0.148,0.034,0.532,3417,0,0,0,0,41,0,119,37,0.000,46,1,5.176,0.644,1.200,2.620,4.300,-0.229,-0.057,0.925,0.044,-0.642,0.068,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,78,78,0,197349.422,-0.833,0.148,0.034,0.532,3420,0,0,0,0,40,0,112,37,0.000,46,1,5.102,0.351,-1.300,0.360,-4.920,-0.151,-0.022,1.027,0.044,0.348,0.298,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,78,78,0,197354.420,-0.833,0.148,0.034,0.532,3418,0,0,0,0,43,0,117,37,0.000,46,1,5.273,0.117,1.020,-1.660,4.900,-0.189,-0.024,0.959,0.044,-0.108,-0.206,0.000,0.000,2.882,1.422,2,NULL,NULL,,0,0,0,7,255,,250,0,0
