condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,48,48,0,1824354.422,-0.025,-0.022,-0.309,-0.950,0,0,0,0,0,0,0,6,33,0.000,251,0,95.675,1.194,-86.360,-41.100,-2.540,-0.181,0.424,0.899,0.000,-1.194,0.104,0.000,0.000,0.911,1.065,2,NULL,NULL,1089.000,1,0,1,7,255,,250,0,0
stim,48,48,0,1824359.420,-0.026,-0.024,-0.306,-0.951,0,0,0,0,0,0,0,9,33,0.000,251,0,91.072,1.216,-80.180,-43.060,-3.320,-0.193,0.415,0.901,0.230,-1.194,0.042,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824364.421,-0.026,-0.026,-0.303,-0.952,0,0,0,0,0,0,0,9,33,0.000,251,0,88.984,1.216,-76.760,-44.940,-2.540,-0.161,0.433,0.914,0.230,-1.194,0.042,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824369.421,-0.027,-0.029,-0.300,-0.953,0,0,0,0,0,0,0,8,33,0.000,251,0,87.867,1.398,-74.520,-46.540,1.180,-0.144,0.458,0.901,0.108,-1.394,0.062,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824374.420,-0.028,-0.031,-0.297,-0.954,0,0,0,0,0,0,0,7,33,0.000,251,0,81.989,1.504,-67.060,-47.140,1.740,-0.189,0.431,0.893,0.108,-1.500,0.062,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824379.420,-0.029,-0.033,-0.295,-0.954,0,0,0,0,0,0,0,19,33,0.000,251,0,77.644,1.555,-60.840,-48.240,0.080,-0.177,0.423,0.912,0.410,-1.500,0.062,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824384.421,-0.030,-0.036,-0.293,-0.955,0,0,0,0,0,0,0,10,33,0.000,251,0,77.706,1.555,-60.300,-48.760,4.960,-0.140,0.471,0.895,0.410,-1.500,-0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824389.420,-0.030,-0.038,-0.291,-0.956,0,0,0,0,0,0,0,9,33,0.000,251,0,69.894,1.727,-50.340,-48.200,5.280,-0.203,0.438,0.893,0.410,-1.678,-0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824394.420,-0.031,-0.040,-0.289,-0.956,0,0,0,0,0,0,0,11,33,0.000,251,0,66.102,1.757,-44.480,-48.820,2.760,-0.174,0.419,0.914,0.520,-1.678,-0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,72,72,0,1824399.422,-0.032,-0.042,-0.288,-0.956,0,0,0,0,0,0,0,7,33,0.000,251,0,65.123,1.768,-44.360,-47.100,7.400,-0.163,0.476,0.892,0.556,-1.678,-0.006,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,1,7,255,,250,0,0
