condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,0,0,0,3270976.818,0.572,-0.039,-0.108,-0.812,43,68,82,63,11,0,45,45,0,0.000,0,0,0.115,0.006,0.080,0.020,-0.080,0.003,0.025,1.003,0.002,-0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,1070.000,1,0,3,7,255,,250,0,0
stim,0,0,0,3270981.816,0.572,-0.039,-0.108,-0.812,75,67,61,69,17,0,46,43,0,0.000,0,0,0.085,0.006,0.080,0.020,-0.020,0.003,0.026,1.003,-0.002,-0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,28,28,0,3270986.816,0.572,-0.039,-0.108,-0.812,73,63,62,69,17,0,45,43,0,0.000,0,0,0.115,0.006,0.080,0.020,-0.080,0.003,0.024,1.002,-0.002,-0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,28,28,0,3270991.816,0.572,-0.039,-0.108,-0.812,84,71,83,69,19,0,45,43,0,0.000,0,0,0.115,0.008,0.080,0.020,-0.080,0.002,0.025,1.003,0.000,-0.008,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,31,31,0,3270996.816,0.572,-0.039,-0.108,-0.812,57,90,55,39,31,0,61,17,0,0.000,0,0,0.085,0.002,0.080,0.020,-0.020,0.003,0.025,1.003,0.000,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,31,31,0,3271001.816,0.572,-0.039,-0.108,-0.812,83,87,77,68,20,0,39,42,0,0.000,0,0,0.092,0.002,0.080,-0.040,-0.020,0.004,0.024,1.002,0.000,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,31,31,0,3271006.816,0.572,-0.039,-0.108,-0.812,83,89,50,69,18,0,40,23,0,0.000,0,0,0.085,0.007,0.080,0.020,-0.020,0.004,0.026,1.002,-0.004,0.006,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,31,31,0,3271011.816,0.572,-0.039,-0.108,-0.812,73,67,83,69,16,0,45,44,0,0.000,0,0,0.085,0.007,0.080,0.020,-0.020,0.003,0.024,1.002,0.004,0.006,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,79,79,0,3271016.816,0.572,-0.039,-0.108,-0.812,78,91,53,57,33,0,39,12,0,0.000,0,0,0.115,0.007,0.080,0.080,-0.020,0.002,0.026,1.002,-0.006,-0.004,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,79,79,0,3271021.816,0.572,-0.039,-0.108,-0.812,51,59,84,55,24,0,70,36,0,0.000,0,0,0.085,0.007,0.080,0.020,-0.020,0.004,0.025,1.002,-0.006,-0.004,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,79,79,0,3271026.816,0.572,-0.039,-0.108,-0.812,54,61,81,60,13,0,43,43,0,0.000,0,0,0.092,0.006,0.080,-0.040,-0.020,0.004,0.026,1.002,-0.006,0.000,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,79,79,0,3271031.818,0.572,-0.039,-0.108,-0.812,83,89,75,69,16,0,37,43,0,0.000,0,0,0.085,0.006,0.080,0.020,-0.020,0.004,0.025,1.003,-0.006,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,3,7,255,,250,0,0
