condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,53,53,0,391904.420,0.822,-0.212,-0.041,0.527,3076,0,0,0,0,230,0,145,20,0.031,96,0,15.581,2.856,1.780,15.020,3.740,-0.242,0.033,0.938,0.838,-2.730,-0.764,0.000,0.000,1.592,0.030,2,NULL,NULL,656.000,1,0,3,7,255,,250,0,0
stim,53,53,0,391909.420,0.822,-0.213,-0.041,0.527,3064,0,0,0,0,233,0,145,20,0.031,96,0,19.263,2.856,4.900,18.620,0.580,-0.333,-0.055,0.953,0.838,-2.730,-0.764,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,53,53,0,391914.422,0.822,-0.212,-0.041,0.527,3087,0,0,0,0,216,0,137,20,0.031,96,0,15.870,2.831,0.080,14.780,-5.780,-0.272,-0.023,0.991,0.748,-2.730,-0.618,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391919.420,0.822,-0.213,-0.041,0.527,3045,0,0,0,0,222,0,138,20,0.031,96,0,16.319,2.715,4.340,15.080,4.480,-0.244,0.040,0.921,0.748,-2.610,-0.618,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391924.420,0.822,-0.213,-0.042,0.527,3047,0,0,0,0,231,0,138,20,0.031,96,0,19.968,2.848,2.820,19.720,-1.380,-0.327,-0.064,0.968,0.748,-2.748,-0.618,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391929.420,0.822,-0.213,-0.041,0.527,3079,0,0,0,0,233,0,141,20,0.031,96,0,13.042,2.938,1.180,12.700,-2.720,-0.256,0.006,0.983,1.040,-2.748,-0.764,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391934.420,0.822,-0.213,-0.042,0.527,3066,0,0,0,0,232,0,141,20,0.031,96,0,18.722,2.846,4.460,17.960,2.840,-0.277,0.000,0.917,0.742,-2.748,-0.764,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391939.420,0.822,-0.213,-0.042,0.527,3087,0,0,0,0,224,0,147,20,0.031,96,0,17.549,3.013,1.240,17.400,-1.920,-0.300,-0.041,0.987,0.742,-2.920,-0.764,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391944.422,0.822,-0.213,-0.042,0.527,3069,0,0,0,0,231,0,151,20,0.031,96,0,13.816,2.868,3.360,13.380,-0.760,-0.259,0.014,0.950,0.742,-2.770,-1.028,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
stim,63,63,0,391949.420,0.822,-0.213,-0.042,0.527,3069,0,0,0,0,228,0,136,20,0.031,96,0,20.209,2.810,2.640,19.980,1.500,-0.298,-0.030,0.944,0.470,-2.770,-0.876,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,3,7,255,,250,0,0
