condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,14,14,0,1697539.424,0.748,-0.315,-0.177,-0.557,0,0,0,0,0,0,0,21,36,0.000,250,0,7.948,0.090,0.060,-7.400,2.900,-0.132,0.435,0.905,-0.090,0.008,0.082,0.000,0.000,0.911,1.065,2,NULL,NULL,1089.000,1,0,2,7,255,,250,0,0
stim,14,14,0,1697544.422,0.748,-0.315,-0.177,-0.557,0,0,0,0,0,0,0,21,36,0.000,250,0,8.409,0.090,2.140,-7.340,3.500,-0.180,0.376,0.911,-0.090,0.008,0.072,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,14,14,0,1697549.420,0.748,-0.315,-0.176,-0.557,0,0,0,0,0,0,0,19,36,0.000,250,0,7.551,0.425,-1.940,-7.220,-1.060,-0.190,0.369,0.907,0.126,-0.406,0.018,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,14,14,0,1697554.420,0.748,-0.316,-0.176,-0.557,0,0,0,0,0,0,0,23,36,0.000,250,0,6.794,0.425,1.100,-6.620,1.060,-0.127,0.471,0.905,0.126,-0.406,0.018,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,46,46,0,1697559.420,0.748,-0.316,-0.176,-0.557,0,0,0,0,0,0,0,23,36,0.000,250,0,8.766,0.437,3.000,-6.560,4.980,-0.176,0.368,0.911,0.150,-0.410,-0.020,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,46,46,0,1697564.424,0.748,-0.316,-0.176,-0.557,0,0,0,0,0,0,0,20,36,0.000,250,0,6.998,0.417,-2.800,-6.060,-2.100,-0.178,0.377,0.906,0.088,-0.408,-0.018,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,62,62,0,1697569.420,0.748,-0.316,-0.176,-0.557,0,0,0,0,0,0,0,12,36,0.000,250,0,7.434,0.417,2.260,-5.760,4.120,-0.140,0.473,0.912,0.088,-0.408,-0.018,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,62,62,0,1697574.420,0.748,-0.316,-0.175,-0.557,0,0,0,0,0,0,0,17,36,0.000,250,0,5.938,0.417,2.140,-5.520,0.460,-0.204,0.326,0.903,0.088,-0.408,-0.018,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,62,62,0,1697579.420,0.748,-0.317,-0.175,-0.557,0,0,0,0,0,0,0,17,36,0.000,250,0,4.879,0.605,-1.100,-4.660,0.940,-0.129,0.469,0.917,-0.586,0.152,0.352,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,62,62,0,1697584.420,0.747,-0.317,-0.175,-0.557,0,0,0,0,0,0,0,21,36,0.000,250,0,6.967,0.723,2.380,-5.040,4.180,-0.202,0.361,0.907,0.196,-0.696,-0.042,0.000,0.000,0.911,1.065,2,NULL,NULL,,1,0,2,7,255,,250,0,0
