condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,7823,7823,0,901856.816,0.859,-0.081,-0.082,-0.499,97,85,63,71,51,0,42,51,0,0.000,0,0,0.045,0.004,0.000,0.020,-0.040,0.003,0.026,1.002,0.004,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1070.000,0,0,0,7,255,0,250,0,0
baseline,7823,7823,0,901861.816,0.859,-0.081,-0.082,-0.499,59,64,79,59,28,0,62,51,0,0.000,0,0,0.057,0.004,0.000,-0.040,-0.040,0.002,0.027,1.003,-0.004,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901866.816,0.859,-0.081,-0.082,-0.499,85,88,59,42,52,1,61,21,0,0.000,0,0,0.098,0.003,0.080,-0.040,-0.040,0.003,0.027,1.003,-0.002,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901871.818,0.859,-0.081,-0.082,-0.499,79,77,83,74,21,0,54,53,0,0.000,0,0,0.092,0.003,0.080,0.020,-0.040,0.004,0.026,1.003,-0.002,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901876.816,0.859,-0.081,-0.082,-0.499,61,61,91,55,22,0,45,42,0,0.000,0,0,0.092,0.008,0.080,0.020,-0.040,0.004,0.026,1.002,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901881.816,0.859,-0.081,-0.082,-0.499,88,94,57,47,45,0,43,28,0,0.000,0,0,0.045,0.010,0.000,0.020,-0.040,0.004,0.028,1.003,0.006,0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901886.816,0.859,-0.081,-0.082,-0.499,55,73,89,73,23,0,73,47,0,0.000,0,0,0.115,0.008,0.080,0.080,0.020,0.003,0.026,1.003,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7856,7856,0,901891.816,0.859,-0.081,-0.082,-0.499,52,93,52,45,43,0,61,10,0,0.000,0,0,0.092,0.006,0.080,0.020,-0.040,0.004,0.026,1.004,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7873,7873,0,901896.816,0.859,-0.081,-0.082,-0.499,59,73,91,45,49,0,75,41,0,0.000,0,0,0.120,0.006,0.080,0.080,-0.040,0.003,0.026,1.002,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7873,7873,0,901901.816,0.859,-0.081,-0.082,-0.499,95,101,49,61,16,0,35,22,0,0.000,0,0,0.120,0.006,0.080,0.080,-0.040,0.002,0.027,1.002,0.006,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7873,7873,0,901906.816,0.859,-0.081,-0.082,-0.499,65,77,78,40,41,3,72,24,0,0.000,0,0,0.092,0.002,0.080,0.020,-0.040,0.003,0.027,1.002,0.000,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7873,7873,0,901911.817,0.859,-0.081,-0.082,-0.499,81,73,85,72,23,0,81,53,0,0.000,0,0,0.057,0.003,0.000,-0.040,-0.040,0.002,0.026,1.003,-0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7888,7888,0,901916.816,0.859,-0.081,-0.082,-0.499,84,99,53,64,38,0,43,33,0,0.000,0,0,0.045,0.003,0.000,0.020,-0.040,0.002,0.027,1.002,-0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7888,7888,0,901921.816,0.859,-0.081,-0.082,-0.499,91,95,58,74,22,0,51,51,0,0.000,0,0,0.085,0.003,0.080,0.020,0.020,0.003,0.026,1.002,-0.002,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,7906,7906,0,901926.816,0.859,-0.081,-0.082,-0.499,51,72,77,45,21,0,71,43,0,0.000,0,0,0.092,0.000,0.080,0.020,-0.040,0.004,0.026,1.003,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
