condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,3530241.816,0.985,-0.114,-0.049,-0.122,55,59,75,45,24,0,71,45,0,0.000,0,0,0.089,0.014,0.000,-0.040,-0.080,-0.006,0.039,1.001,-0.014,-0.002,-0.014,0.000,0.000,0.000,0.000,0,NULL,NULL,1070.000,1,0,1,7,255,,250,0,0
stim,15,15,0,3530246.816,0.985,-0.114,-0.049,-0.122,85,91,55,47,38,0,40,24,0,0.000,0,0,0.236,0.014,-0.060,-0.180,-0.140,-0.001,0.038,1.004,-0.014,-0.002,-0.014,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,15,15,0,3530251.816,0.985,-0.114,-0.049,-0.122,53,61,82,45,18,0,61,43,0,0.000,0,0,0.224,0.006,0.060,0.200,-0.080,-0.003,0.037,1.001,0.000,-0.006,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,15,15,0,3530256.816,0.985,-0.114,-0.049,-0.122,84,89,45,72,19,0,39,47,0,0.000,0,0,0.172,0.006,0.060,0.080,-0.140,-0.005,0.039,1.001,0.000,-0.006,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,31,31,0,3530261.816,0.985,-0.114,-0.049,-0.122,77,89,53,41,38,0,57,12,0,0.000,0,0,0.278,0.002,0.000,-0.240,-0.140,-0.002,0.039,1.003,0.000,0.002,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,31,31,0,3530266.816,0.985,-0.114,-0.049,-0.122,46,61,84,23,8,0,53,31,0,0.000,0,0,0.141,0.002,0.000,0.020,-0.140,0.000,0.036,1.003,0.000,0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,3530271.816,0.985,-0.114,-0.049,-0.122,85,93,51,71,18,0,42,45,0,0.000,0,0,0.251,0.012,0.060,0.200,-0.140,-0.005,0.038,1.001,0.000,-0.012,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,3530276.816,0.985,-0.114,-0.049,-0.122,82,91,55,45,37,1,39,21,0,0.000,0,0,0.156,0.017,-0.060,-0.120,-0.080,-0.003,0.040,1.001,-0.012,-0.012,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,3530281.816,0.985,-0.114,-0.049,-0.122,51,68,83,59,18,0,45,43,0,0.000,0,0,0.188,0.013,-0.120,-0.120,-0.080,0.001,0.038,1.004,-0.012,0.006,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,47,47,0,3530286.816,0.985,-0.114,-0.049,-0.122,77,85,55,39,37,0,40,17,0,0.000,0,0,0.251,0.006,0.060,0.200,-0.140,-0.003,0.038,1.002,-0.002,0.006,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,79,79,0,3530291.816,0.985,-0.114,-0.049,-0.122,47,84,78,37,39,0,69,17,0,0.000,0,0,0.108,0.006,0.060,-0.040,-0.080,-0.004,0.040,1.001,-0.002,0.006,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,79,79,0,3530296.818,0.985,-0.114,-0.049,-0.122,84,91,53,69,19,0,37,43,0,0.000,0,0,0.269,0.003,-0.120,-0.240,-0.020,-0.002,0.038,1.003,-0.002,-0.002,-0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,79,79,0,3530301.816,0.985,-0.114,-0.049,-0.122,56,89,53,37,35,0,55,12,0,0.000,0,0,0.161,0.006,0.000,0.080,-0.140,-0.001,0.037,1.003,0.006,-0.002,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
