condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,25,25,0,180617.401,0.726,-0.174,0.126,0.653,3889,0,0,0,0,1268,691,541,47,0.000,90,1,25.172,0.644,12.980,16.020,14.440,-0.254,0.006,0.957,0.418,-0.490,-0.160,0.000,0.000,1.648,0.697,2,NULL,NULL,1210.000,0,0,0,7,255,,250,0,0
stim,25,25,0,180622.398,0.726,-0.175,0.126,0.653,3888,0,0,0,0,1305,684,541,47,0.000,90,1,26.203,0.739,13.740,16.220,15.320,-0.257,0.003,0.969,0.472,-0.568,-0.160,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,26,26,0,180627.398,0.727,-0.175,0.125,0.653,3893,0,0,0,0,1323,693,540,47,0.000,90,1,26.052,0.752,12.920,16.440,15.540,-0.257,-0.009,0.963,0.472,-0.586,-0.178,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,26,26,0,180632.398,0.727,-0.175,0.125,0.652,3901,0,0,0,0,1285,685,547,47,0.000,90,1,26.721,0.708,12.600,16.900,16.420,-0.260,-0.004,0.958,0.398,-0.586,-0.178,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,31,31,0,180637.398,0.727,-0.176,0.125,0.652,3909,0,0,0,0,1301,681,540,47,0.000,90,1,26.869,0.676,13.780,17.100,15.480,-0.268,0.005,0.968,0.398,-0.546,-0.178,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,31,31,0,180642.398,0.728,-0.176,0.125,0.651,3914,0,0,0,0,1308,678,531,47,0.000,90,1,26.907,0.711,12.420,17.380,16.360,-0.251,0.035,0.966,0.456,-0.546,-0.118,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,31,31,0,180647.398,0.728,-0.177,0.124,0.651,3913,0,0,0,0,1287,671,537,47,0.000,90,1,28.534,0.853,13.240,17.520,18.220,-0.280,0.036,0.990,0.692,-0.498,-0.084,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,31,31,0,180652.398,0.728,-0.177,0.124,0.650,3892,0,0,0,0,1309,661,529,47,0.000,90,1,25.105,0.817,12.540,17.300,13.180,-0.276,0.001,0.965,0.692,-0.434,-0.092,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,180657.398,0.729,-0.178,0.124,0.650,3945,0,0,0,0,1335,660,536,47,0.000,90,1,26.741,0.817,10.700,18.120,16.500,-0.243,0.033,0.962,0.692,-0.434,-0.092,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,180662.398,0.729,-0.178,0.123,0.649,3943,0,0,0,0,1327,659,533,47,0.000,90,1,27.177,0.634,13.420,17.840,15.500,-0.277,-0.014,0.980,0.382,-0.506,-0.092,0.000,0.000,1.648,0.697,2,NULL,NULL,,0,0,0,7,255,,250,0,0
