condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,14,14,0,533059.421,0.870,-0.318,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.161,2.782,5.560,14.960,-2.540,-0.076,0.298,0.948,1.808,-2.114,-0.884,0.000,0.000,1.592,0.030,2,NULL,NULL,656.000,1,0,1,7,255,,250,0,0
stim,14,14,0,533064.420,0.870,-0.318,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,15.297,2.841,2.640,14.900,-2.240,-0.045,0.329,0.940,1.808,-2.192,-0.898,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533069.421,0.870,-0.318,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,15.993,2.845,3.860,15.520,-0.100,-0.058,0.340,0.941,1.814,-2.192,-0.848,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533074.420,0.870,-0.318,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.061,2.845,7.220,14.180,-2.180,-0.076,0.289,0.949,1.814,-2.192,-0.866,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533079.420,0.870,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.138,2.753,2.940,15.700,-2.300,-0.053,0.326,0.930,1.752,-2.124,-0.866,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,14,14,0,533084.420,0.870,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.163,2.801,5.760,15.080,0.820,-0.048,0.346,0.965,1.752,-2.186,-0.866,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,52,52,0,533089.420,0.870,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,15.342,2.801,6.120,13.920,-2.040,-0.092,0.251,0.927,1.752,-2.186,-0.990,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,52,52,0,533094.422,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,17.669,2.915,5.020,16.680,-2.960,-0.033,0.386,0.962,1.928,-2.186,-0.640,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,52,52,0,533099.420,0.870,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,15.022,2.645,6.060,13.260,3.620,-0.080,0.256,0.943,1.102,-2.404,-1.018,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,0,0,0,533104.420,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,19.332,2.764,5.380,16.860,-7.780,-0.061,0.341,0.954,1.792,-2.104,-0.710,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,0,0,0,533109.422,0.869,-0.319,0.074,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.254,2.845,6.240,13.440,6.680,-0.057,0.310,0.954,1.624,-2.336,-0.820,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,25,25,0,533114.420,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,19.886,2.820,4.220,17.160,-9.120,-0.079,0.294,0.950,1.624,-2.306,-0.820,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533119.420,0.869,-0.319,0.074,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.455,2.820,6.980,13.320,6.680,-0.054,0.333,0.958,1.624,-2.306,-0.820,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533124.420,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,19.954,2.694,2.700,17.840,-8.520,-0.073,0.293,0.950,1.392,-2.306,-0.834,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533129.422,0.869,-0.320,0.074,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.118,2.765,7.220,13.500,5.040,-0.065,0.316,0.956,1.596,-2.258,-0.758,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533134.420,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,18.575,2.803,1.360,17.520,-6.020,-0.056,0.313,0.949,1.596,-2.304,-0.856,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533139.420,0.869,-0.320,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.604,2.803,7.160,14.900,1.560,-0.075,0.294,0.950,1.596,-2.304,-0.850,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533144.422,0.869,-0.319,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.586,2.829,1.060,16.440,-1.920,-0.055,0.323,0.944,1.642,-2.304,-0.862,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533149.420,0.869,-0.320,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,17.482,2.724,6.360,16.240,-1.200,-0.069,0.292,0.951,1.412,-2.330,-0.864,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,45,45,0,533154.420,0.869,-0.320,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.491,2.757,1.840,16.360,-0.960,-0.067,0.326,0.938,1.638,-2.218,-0.866,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,58,58,0,533159.420,0.869,-0.320,0.073,0.370,0,0,0,0,0,0,0,0,20,0.031,96,0,16.329,2.771,4.460,15.700,0.520,-0.059,0.281,0.949,1.416,-2.382,-0.866,0.000,0.000,1.592,0.030,2,NULL,NULL,,1,0,2,7,255,,250,0,0
