condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,32,32,0,1454054.420,0.984,-0.122,-0.037,-0.124,345,0,0,0,0,16,331,139,44,0.000,209,0,0.869,0.060,0.340,0.800,0.000,-0.293,-0.052,0.963,-0.038,0.046,-0.006,0.000,0.000,0.911,1.065,2,NULL,NULL,1089.000,0,0,0,7,255,,250,0,0
stim,32,32,0,1454059.420,0.984,-0.122,-0.037,-0.124,363,0,0,0,0,20,337,138,44,0.000,209,0,1.647,0.060,-0.460,-0.060,1.580,-0.310,-0.064,0.954,0.014,0.058,0.060,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454064.421,0.984,-0.122,-0.037,-0.124,366,0,0,0,0,11,332,141,44,0.000,209,0,1.200,0.060,1.180,0.180,-0.120,-0.343,-0.086,0.929,0.014,0.058,0.060,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454069.420,0.984,-0.122,-0.037,-0.124,332,0,0,0,0,10,329,140,44,0.000,209,0,4.171,0.065,3.080,1.400,-2.440,-0.311,-0.055,0.948,-0.030,0.058,0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454074.420,0.984,-0.122,-0.037,-0.124,347,0,0,0,0,10,327,138,44,0.000,209,0,1.707,0.139,0.140,-0.060,1.700,-0.277,-0.044,0.966,-0.030,0.136,0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454079.420,0.984,-0.122,-0.037,-0.124,361,0,0,0,0,16,343,148,44,0.000,209,0,2.858,0.139,-2.180,-0.180,1.840,-0.339,-0.093,0.932,-0.030,0.136,0.002,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454084.423,0.984,-0.122,-0.037,-0.124,341,0,0,0,0,21,332,146,44,0.000,209,0,5.029,0.137,2.960,1.640,-3.720,-0.325,-0.062,0.952,-0.130,0.042,0.056,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,47,47,0,1454089.420,0.984,-0.122,-0.037,-0.124,359,0,0,0,0,9,329,141,44,0.000,209,0,2.207,0.137,1.180,-1.160,1.460,-0.284,-0.047,0.965,-0.130,0.042,0.074,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,63,63,0,1454094.422,0.984,-0.122,-0.037,-0.124,342,0,0,0,0,13,327,143,44,0.000,209,0,2.008,0.137,-1.560,0.800,0.980,-0.336,-0.082,0.926,-0.130,0.042,0.074,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
stim,63,63,0,1454099.420,0.984,-0.122,-0.037,-0.124,347,0,0,0,0,12,328,141,44,0.000,209,0,3.480,0.104,2.700,0.860,-2.020,-0.314,-0.062,0.972,0.018,0.102,0.074,0.000,0.000,0.911,1.065,2,NULL,NULL,,0,0,0,7,255,,250,0,0
