condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,3406481.816,0.982,-0.127,-0.055,-0.131,47,85,77,38,35,0,62,13,0,0.000,0,0,50.518,0.847,45.180,0.200,-22.600,-0.024,-0.011,1.007,0.440,-0.724,0.066,0.000,0.000,0.000,0.000,0,NULL,NULL,1070.000,1,0,2,7,255,,250,0,0
stim,15,15,0,3406486.816,0.981,-0.129,-0.055,-0.130,60,92,57,38,17,0,44,17,0,0.000,0,0,47.274,0.725,45.040,-0.060,-14.360,-0.028,0.045,1.010,0.032,-0.724,0.066,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,15,15,0,3406491.816,0.981,-0.131,-0.055,-0.130,51,69,77,39,37,0,68,17,0,0.000,0,0,41.311,0.260,41.260,1.720,-1.120,-0.021,0.056,1.006,-0.096,-0.242,0.078,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,15,15,0,3406496.816,0.981,-0.132,-0.056,-0.131,72,61,85,61,20,0,45,44,0,0.000,0,0,30.358,0.260,25.280,2.760,16.580,-0.012,0.012,0.992,-0.096,-0.242,0.078,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,3406501.816,0.981,-0.132,-0.056,-0.133,52,61,83,61,18,0,63,44,0,0.000,0,0,32.635,0.472,1.780,4.160,32.320,-0.022,0.024,1.001,-0.010,-0.472,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,31,31,0,3406506.816,0.981,-0.131,-0.056,-0.134,47,67,76,39,37,0,67,17,0,0.000,0,0,45.560,0.559,-22.160,3.420,39.660,-0.028,-0.025,1.007,0.062,-0.556,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,64,64,0,3406511.816,0.981,-0.129,-0.056,-0.136,54,63,83,61,13,0,43,45,0,0.000,0,0,56.680,0.810,-45.280,7.580,33.240,-0.079,-0.002,0.996,-0.010,-0.810,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,64,64,0,3406516.816,0.981,-0.127,-0.057,-0.137,59,89,53,41,40,0,57,13,0,0.000,0,0,50.446,0.944,-40.940,10.760,27.440,-0.103,0.096,1.046,-0.484,-0.810,0.024,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,64,64,0,3406521.818,0.981,-0.125,-0.057,-0.138,73,83,56,68,13,0,37,43,0,0.000,0,0,40.086,0.487,-32.280,10.940,21.100,-0.040,0.116,1.051,-0.484,0.056,0.500,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,64,64,0,3406526.816,0.981,-0.124,-0.058,-0.138,55,61,82,63,19,0,69,45,0,0.000,0,0,36.132,0.604,-30.080,17.840,9.080,0.002,0.151,1.040,-0.418,0.436,0.500,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,3406531.816,0.981,-0.123,-0.058,-0.138,57,72,59,37,40,1,68,17,0,0.000,0,0,36.323,0.905,-28.320,22.480,3.460,0.000,0.146,1.019,-0.116,0.898,0.458,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,3406536.816,0.981,-0.122,-0.059,-0.138,54,63,83,59,19,0,63,40,0,0.000,0,0,35.073,0.905,-27.340,21.860,2.180,-0.035,0.121,1.011,-0.116,0.898,0.248,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,80,80,0,3406541.816,0.981,-0.120,-0.060,-0.138,77,89,53,41,33,0,37,13,0,0.000,0,0,37.278,0.611,-29.600,22.660,-0.080,-0.024,0.063,1.049,-0.116,0.600,0.248,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,2,7,255,,250,0,0
