condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,15,15,0,517196.810,-0.822,-0.075,0.056,0.562,2617,278,1972,2726,981,1531,1497,619,59,0.218,76,1,5.877,0.403,-2.920,2.680,-4.340,-0.281,-0.049,0.964,-0.390,-0.102,-0.072,0.000,0.000,0.049,0.163,2,NULL,NULL,909.000,1,0,2,7,255,,250,0,0
stim,15,15,0,517201.811,-0.822,-0.075,0.057,0.562,2612,345,1943,2735,957,1517,1489,615,59,0.218,76,1,7.688,0.386,-1.340,2.680,-7.080,-0.264,-0.042,0.968,-0.372,-0.102,-0.138,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517206.811,-0.822,-0.075,0.057,0.562,2605,356,1907,2711,1015,1515,1511,569,59,0.218,76,1,10.560,0.371,-0.420,2.200,-10.320,-0.254,-0.055,0.969,-0.368,-0.044,-0.144,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517211.810,-0.822,-0.075,0.057,0.561,2615,347,1903,2708,1032,1487,1549,587,59,0.218,76,1,9.800,0.256,-0.180,2.320,-9.520,-0.231,-0.041,0.975,-0.256,-0.004,-0.146,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517216.810,-0.822,-0.075,0.057,0.561,2609,307,1927,2713,1003,1510,1553,597,59,0.218,76,1,5.913,0.313,-0.980,0.600,-5.800,-0.228,-0.056,0.970,-0.216,0.226,-0.152,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517221.810,-0.822,-0.075,0.057,0.561,2585,329,1897,2700,989,1500,1619,613,59,0.218,76,1,1.191,0.300,0.120,-0.240,-1.160,-0.229,-0.046,0.964,-0.198,0.226,-0.190,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517226.811,-0.822,-0.074,0.057,0.561,2568,389,1890,2680,1032,1481,1614,604,59,0.218,76,1,4.176,0.300,1.460,-1.900,3.420,-0.245,-0.045,0.959,-0.198,0.226,-0.244,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517231.810,-0.822,-0.074,0.057,0.561,2539,365,1895,2673,1035,1495,1609,587,59,0.218,76,1,5.946,0.273,5.560,-1.460,1.520,-0.255,-0.036,0.962,-0.262,0.076,-0.244,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517236.810,-0.822,-0.074,0.057,0.561,2501,270,1877,2661,1054,1481,1593,603,59,0.000,76,1,7.570,0.263,7.320,-1.780,-0.740,-0.261,-0.063,0.972,-0.262,0.022,-0.210,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,63,63,0,517241.810,-0.822,-0.074,0.058,0.561,2464,329,1893,2637,1067,1472,1609,609,59,0.000,76,1,9.412,0.135,8.920,-0.620,-2.940,-0.250,-0.078,0.981,-0.130,-0.038,-0.086,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,79,79,0,517246.811,-0.823,-0.073,0.058,0.561,2429,333,1873,2600,1053,1499,1628,610,59,0.000,76,1,8.892,0.064,8.260,-1.700,-2.820,-0.243,-0.077,0.990,0.052,-0.038,-0.008,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
stim,79,79,0,517251.810,-0.823,-0.073,0.058,0.561,2377,381,1887,2578,1071,1491,1637,613,59,0.000,76,1,6.310,0.072,6.000,-1.460,-1.300,-0.236,-0.060,1.001,0.052,0.050,0.056,0.000,0.000,0.049,0.163,2,NULL,NULL,,1,0,2,7,255,,250,0,0
