condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,64,64,0,3051476.816,0.575,-0.040,-0.109,-0.810,52,86,75,37,35,0,62,13,0,0.000,0,0,0.049,0.006,-0.040,0.020,-0.020,0.004,0.026,1.003,0.002,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,1070.000,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051481.816,0.575,-0.040,-0.109,-0.810,76,87,76,69,18,0,40,41,0,0.000,0,0,0.035,0.006,0.020,0.020,-0.020,0.005,0.026,1.002,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051486.816,0.575,-0.040,-0.109,-0.810,57,89,54,36,40,0,57,14,0,0.000,0,0,0.085,0.015,0.020,0.020,-0.080,0.005,0.026,1.002,0.004,0.014,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051491.818,0.575,-0.040,-0.109,-0.810,48,63,76,36,37,0,63,13,0,0.000,0,0,0.035,0.015,0.020,0.020,-0.020,0.003,0.027,1.003,0.004,0.014,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051496.816,0.575,-0.040,-0.109,-0.810,47,61,85,40,23,0,68,35,0,0.000,0,0,0.049,0.002,0.020,0.020,0.040,0.004,0.027,1.003,-0.002,0.000,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051501.816,0.575,-0.040,-0.109,-0.810,83,70,75,69,19,0,39,43,0,0.000,0,0,0.035,0.002,0.020,0.020,-0.020,0.003,0.026,1.003,-0.002,0.000,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051506.816,0.575,-0.040,-0.109,-0.810,83,87,53,63,17,0,39,23,0,0.000,0,0,0.035,0.002,0.020,0.020,-0.020,0.004,0.027,1.002,-0.002,0.000,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051511.816,0.575,-0.040,-0.109,-0.810,57,91,53,43,35,0,39,16,0,0.000,0,0,0.035,0.002,0.020,0.020,-0.020,0.003,0.028,1.002,-0.002,0.000,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051516.816,0.575,-0.040,-0.109,-0.810,47,63,83,37,21,0,67,31,0,0.000,0,0,0.035,0.003,0.020,0.020,-0.020,0.004,0.026,1.001,-0.002,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,64,64,0,3051521.816,0.575,-0.040,-0.109,-0.810,51,87,51,35,29,0,53,12,0,0.000,0,0,0.049,0.003,-0.040,0.020,-0.020,0.004,0.027,1.004,-0.002,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
