condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,15,15,0,391106.810,0.391,0.072,-0.005,0.918,3789,739,1285,3361,825,1894,953,997,65,0.000,59,1,2.590,0.046,0.180,1.660,-1.980,0.071,-0.073,0.999,0.046,0.004,0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,909.000,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391111.812,0.391,0.072,-0.005,0.918,3789,773,1280,3357,865,1900,965,1005,65,0.000,59,1,3.007,0.046,0.180,1.600,-2.540,0.073,-0.074,0.998,0.046,-0.006,0.000,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391116.811,0.391,0.072,-0.005,0.918,3799,765,1275,3364,868,1894,955,1003,65,0.000,59,1,3.558,0.033,0.040,1.780,-3.080,0.075,-0.080,1.000,0.032,-0.006,0.000,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391121.810,0.391,0.072,-0.005,0.918,3823,778,1271,3344,861,1903,953,1011,65,0.000,59,1,3.320,0.016,0.040,1.720,-2.840,0.078,-0.081,0.999,-0.016,0.004,0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391126.810,0.391,0.072,-0.005,0.918,3801,778,1267,3363,851,1895,943,995,65,0.000,59,1,2.729,0.038,0.160,1.660,-2.160,0.078,-0.080,0.998,-0.038,0.004,0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391131.810,0.391,0.072,-0.005,0.918,3816,783,1270,3355,844,1901,939,997,65,0.000,59,1,2.767,0.038,0.280,1.780,-2.100,0.075,-0.082,0.995,-0.038,0.004,-0.006,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,391136.810,0.390,0.072,-0.005,0.918,3811,777,1261,3355,837,1912,888,995,65,0.000,59,1,3.292,0.039,0.160,1.960,-2.640,0.075,-0.081,1.000,-0.032,0.022,-0.006,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391141.810,0.390,0.072,-0.005,0.918,3815,767,1259,3363,840,1915,883,987,65,0.000,59,1,3.448,0.031,-0.520,2.080,-2.700,0.082,-0.075,1.001,-0.022,0.022,0.012,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391146.810,0.390,0.072,-0.005,0.918,3817,764,1267,3367,839,1906,877,987,65,0.000,59,1,2.770,0.071,-0.520,2.140,-1.680,0.082,-0.074,0.998,-0.022,-0.068,0.012,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391151.810,0.390,0.072,-0.005,0.918,3793,759,1259,3339,829,1917,870,988,65,0.000,59,1,2.371,0.071,0.400,1.900,-1.360,0.072,-0.085,1.000,-0.022,-0.068,0.018,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391156.810,0.390,0.072,-0.005,0.918,3799,777,1255,3365,839,1909,871,987,65,0.000,59,1,3.388,0.041,-0.140,2.260,-2.520,0.069,-0.078,0.998,-0.020,0.036,-0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391161.810,0.390,0.072,-0.005,0.918,3817,777,1244,3349,852,1904,857,983,65,0.000,59,1,3.232,0.037,-1.120,2.440,-1.800,0.078,-0.074,1.001,0.010,0.036,0.018,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391166.811,0.390,0.072,-0.005,0.918,3795,787,1240,3340,795,1892,839,972,65,0.000,59,1,2.577,0.034,0.040,1.900,-1.740,0.073,-0.081,0.998,0.010,0.032,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391171.810,0.390,0.072,-0.005,0.918,3795,775,1242,3341,789,1890,837,983,65,0.000,59,1,3.073,0.033,0.000,2.280,-2.060,0.071,-0.084,0.998,-0.008,0.032,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,391176.810,0.390,0.072,-0.005,0.918,3814,775,1254,3349,781,1901,842,991,65,0.000,59,1,2.383,0.033,-0.360,1.800,-1.520,0.075,-0.069,1.000,-0.008,0.032,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,391181.810,0.390,0.072,-0.005,0.918,3819,778,1243,3341,804,1886,823,971,65,0.000,59,1,1.833,0.065,0.320,1.740,-0.480,0.070,-0.070,0.999,0.060,-0.024,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,391186.810,0.390,0.072,-0.005,0.918,3815,779,1246,3367,767,1902,813,981,65,0.000,59,1,2.335,0.065,0.560,1.500,-1.700,0.064,-0.082,0.999,0.060,-0.024,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,391191.810,0.390,0.072,-0.006,0.918,3815,784,1253,3359,755,1885,816,958,65,0.000,59,1,2.538,0.065,0.320,1.740,-1.820,0.070,-0.081,0.997,0.044,0.048,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,391196.810,0.390,0.072,-0.006,0.918,3798,777,1244,3341,749,1884,819,947,65,0.000,59,1,3.112,0.050,0.800,1.240,-2.740,0.070,-0.081,1.001,0.014,0.048,-0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,391201.810,0.390,0.072,-0.006,0.918,3820,782,1256,3353,752,1896,819,949,65,0.000,59,1,3.317,0.041,0.000,1.680,-2.860,0.077,-0.075,0.997,0.010,0.040,-0.014,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,94,94,0,391206.810,0.390,0.072,-0.006,0.918,3797,776,1251,3345,779,1897,824,917,65,0.000,59,1,2.786,0.009,0.440,1.380,-2.380,0.074,-0.080,1.000,0.004,0.008,0.016,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,94,94,0,391211.810,0.389,0.072,-0.006,0.918,3783,789,1255,3365,782,1897,835,967,65,0.000,59,1,3.088,0.010,0.320,1.500,-2.680,0.075,-0.080,0.996,-0.010,-0.002,-0.014,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,94,94,0,391216.811,0.389,0.072,-0.006,0.918,3809,790,1255,3369,783,1900,856,931,65,0.000,59,1,2.389,0.018,0.440,1.680,-1.640,0.075,-0.082,1.000,-0.016,0.008,0.016,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391221.810,0.389,0.072,-0.006,0.918,3801,793,1254,3363,776,1901,861,933,65,0.000,59,1,2.983,0.016,0.540,1.360,-2.600,0.076,-0.074,0.998,-0.016,-0.002,-0.006,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391226.810,0.389,0.072,-0.006,0.918,3827,785,1253,3366,791,1897,859,959,65,0.000,59,1,2.439,0.031,0.300,1.900,-1.500,0.075,-0.086,1.000,-0.028,0.014,0.020,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391231.810,0.389,0.072,-0.006,0.918,3820,775,1252,3352,781,1896,859,941,65,0.000,59,1,2.422,0.050,0.420,1.300,-2.000,0.076,-0.074,0.997,0.020,-0.046,-0.006,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391236.810,0.389,0.072,-0.006,0.918,3803,781,1253,3371,767,1896,859,925,65,0.000,59,1,2.340,0.021,0.240,1.780,-1.500,0.072,-0.079,1.001,0.016,0.014,0.020,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391241.810,0.389,0.072,-0.006,0.918,3816,775,1251,3358,752,1892,862,893,65,0.000,59,1,2.068,0.016,0.000,1.540,-1.380,0.077,-0.082,0.995,0.016,0.000,-0.016,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391246.810,0.389,0.072,-0.006,0.918,3809,772,1255,3359,783,1891,867,856,65,0.000,59,1,2.358,0.016,0.420,1.600,-1.680,0.073,-0.082,1.002,-0.008,0.014,0.028,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,110,110,0,391251.810,0.389,0.072,-0.006,0.918,3800,756,1249,3357,791,1888,860,851,65,0.000,59,1,2.112,0.008,0.120,1.540,-1.440,0.075,-0.074,0.997,-0.008,0.000,-0.018,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,391256.810,0.389,0.072,-0.006,0.918,3797,749,1257,3343,776,1888,858,837,65,0.000,59,1,1.962,0.022,0.420,1.540,-1.140,0.073,-0.081,1.001,0.000,0.022,0.024,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,391261.810,0.389,0.072,-0.006,0.918,3799,749,1257,3368,743,1891,861,861,65,0.000,59,1,1.780,0.008,0.300,1.540,-0.840,0.074,-0.080,0.996,0.000,0.008,-0.018,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,391266.811,0.389,0.072,-0.006,0.918,3819,741,1245,3352,741,1879,857,867,65,0.000,59,1,1.858,0.022,0.420,1.300,-1.260,0.071,-0.088,1.000,-0.004,0.022,0.014,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,391271.810,0.389,0.072,-0.006,0.918,3797,743,1247,3345,740,1879,861,837,65,0.000,59,1,1.768,0.028,0.660,1.420,-0.820,0.069,-0.079,0.998,-0.004,0.028,-0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,391276.810,0.389,0.072,-0.006,0.918,3802,740,1259,3354,741,1889,868,831,65,0.000,59,1,1.878,0.046,0.480,1.180,-1.380,0.070,-0.070,0.997,0.036,0.028,-0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,142,142,0,391281.810,0.389,0.072,-0.006,0.919,3807,733,1259,3366,739,1893,869,843,65,0.000,59,1,2.979,0.046,0.840,1.420,-2.480,0.071,-0.082,0.999,0.036,0.028,-0.008,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,142,142,0,391286.810,0.389,0.072,-0.006,0.919,3813,729,1291,3359,741,1883,865,857,65,0.000,59,1,2.951,0.031,0.840,1.360,-2.480,0.074,-0.084,1.000,0.008,0.030,0.004,0.000,0.000,0.131,0.175,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
