condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,50,50,0,47384.434,0.989,0.084,0.064,-0.100,2443,776,901,2551,559,2284,0,1969,29,0.000,3,1,0.685,0.032,-0.680,0.080,-0.020,0.115,-0.111,0.988,0.032,0.002,0.006,0.000,0.000,0.000,0.000,1,NULL,NULL,1059.000,0,0,0,7,255,0,250,0,0
baseline,50,50,0,47389.432,0.989,0.084,0.064,-0.100,2443,776,893,2552,557,2279,0,1969,29,0.000,3,1,0.398,0.033,-0.200,0.200,0.280,0.111,-0.109,0.983,0.032,0.006,-0.006,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,47394.434,0.989,0.084,0.064,-0.100,2449,775,895,2549,555,2277,0,1977,29,0.000,3,1,0.519,0.015,0.420,0.260,0.160,0.107,-0.112,0.985,0.014,0.006,-0.036,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,47399.433,0.989,0.084,0.063,-0.100,2442,779,896,2544,559,2284,0,1967,29,0.000,3,1,0.560,0.027,0.060,0.200,-0.520,0.105,-0.117,0.991,-0.018,-0.020,-0.036,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,47404.435,0.989,0.084,0.063,-0.100,2456,781,896,2555,563,2283,0,1968,29,0.000,3,1,1.061,0.027,-0.740,0.020,-0.760,0.113,-0.114,0.995,-0.018,-0.020,0.022,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,47409.433,0.989,0.084,0.064,-0.100,2440,780,901,2555,561,2281,0,1971,29,0.000,3,1,1.042,0.028,-0.980,-0.100,0.340,0.123,-0.107,0.988,0.024,-0.014,0.022,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,47414.433,0.989,0.084,0.064,-0.100,2470,787,904,2550,563,2282,0,1966,29,0.000,3,1,1.214,0.065,-0.120,0.140,1.200,0.111,-0.103,0.980,0.024,0.060,-0.002,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,47419.432,0.989,0.084,0.063,-0.100,2456,778,901,2551,557,2282,0,1966,29,0.000,3,1,1.133,0.060,0.660,0.760,-0.520,0.093,-0.112,0.987,0.002,0.060,-0.032,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,47424.433,0.989,0.084,0.063,-0.100,2444,785,894,2563,558,2291,0,1967,29,0.000,3,1,1.247,0.048,-0.740,0.080,-1.000,0.122,-0.123,1.006,0.002,-0.048,-0.032,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,63,63,0,47429.433,0.989,0.084,0.064,-0.100,2443,797,913,2557,559,2285,0,1964,29,0.000,3,1,2.568,0.090,-1.660,-0.900,1.740,0.120,-0.099,0.985,0.076,-0.048,-0.032,0.000,0.000,0.000,0.000,1,NULL,NULL,,0,0,0,7,255,0,250,0,0
