condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,29716,29716,0,170914.399,0.927,-0.179,0.030,-0.329,4037,0,0,0,0,686,9,157,103,0.052,30,1,5.241,0.415,1.280,1.780,4.760,-0.089,-0.031,1.020,0.394,0.130,0.268,0.262,0.026,0.138,0.030,2,NULL,NULL,478.000,0,0,0,7,255,0,250,0,0
baseline,29716,29716,0,170919.399,0.927,-0.179,0.030,-0.329,4057,0,0,0,0,612,10,151,103,0.052,30,1,5.292,0.493,2.860,2.220,3.860,-0.096,-0.063,0.997,0.464,-0.166,-0.116,0.270,0.032,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29716,29716,0,170924.399,0.927,-0.179,0.030,-0.330,4052,0,0,0,0,637,13,144,103,0.052,30,1,6.671,0.648,5.980,2.100,2.080,-0.119,-0.052,0.998,0.464,-0.452,-0.292,0.276,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29716,29716,0,170929.399,0.927,-0.179,0.030,-0.329,4049,0,0,0,0,618,10,153,103,0.052,30,1,7.565,0.566,7.320,1.900,-0.180,-0.104,-0.026,1.016,0.340,-0.452,-0.292,0.280,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29716,29716,0,170934.400,0.927,-0.179,0.030,-0.329,4071,0,0,0,0,611,19,151,103,0.052,30,1,6.905,0.367,6.700,1.600,-0.480,-0.093,-0.003,1.027,0.308,-0.200,-0.126,0.280,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29716,29716,0,170939.399,0.927,-0.179,0.030,-0.329,4065,0,0,0,0,621,12,155,103,0.052,30,1,5.780,0.311,5.600,1.420,-0.180,-0.084,-0.010,1.035,0.308,0.040,-0.032,0.282,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29734,29734,0,170944.399,0.927,-0.179,0.030,-0.329,4051,0,0,0,0,643,11,154,103,0.052,30,1,4.152,0.366,3.600,1.540,1.380,-0.071,-0.039,1.042,0.364,0.040,0.034,0.284,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29734,29734,0,170949.399,0.926,-0.179,0.030,-0.330,4061,0,0,0,0,713,16,157,103,0.052,30,1,4.827,0.374,1.760,1.240,4.320,-0.095,-0.026,1.015,0.364,-0.088,0.034,0.286,0.034,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29735,29735,0,170954.399,0.926,-0.179,0.030,-0.330,4052,0,0,0,0,775,11,152,103,0.052,30,1,5.066,0.386,4.200,0.920,2.680,-0.119,-0.011,1.008,0.354,-0.154,-0.144,0.288,0.036,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,29735,29735,0,170959.399,0.926,-0.179,0.029,-0.330,4047,0,0,0,0,768,11,155,103,0.052,30,1,6.745,0.174,6.700,0.560,0.540,-0.112,0.002,1.025,0.080,-0.154,-0.144,0.292,0.036,0.138,0.030,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
