condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,54,54,0,54,93473.359,0.995,0.064,-0.005,0.078,2615,1086,2219,2585,2329,2378,744,2492,32,0.000,4,0,9.066,0.193,4.438,-7.500,-2.500,-0.008,-0.152,1.004,-0.023,0.125,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,1072.000,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93478.361,0.995,0.064,-0.005,0.078,2599,1084,2227,2557,2379,2387,775,2507,32,0.000,4,0,9.514,0.194,5.188,-7.688,-2.125,-0.012,-0.141,1.008,-0.035,0.125,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93483.360,0.995,0.063,-0.005,0.078,2579,1083,2239,2535,2349,2385,785,2519,32,0.000,4,0,9.240,0.254,4.750,-7.500,-2.563,-0.020,-0.133,1.023,-0.074,0.195,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93488.359,0.995,0.063,-0.004,0.078,2549,1081,2247,2513,2361,2387,792,2523,32,0.000,4,0,8.842,0.407,2.750,-7.250,-4.250,-0.020,-0.133,1.023,-0.117,0.285,0.266,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93493.360,0.995,0.063,-0.004,0.078,2531,1081,2267,2479,2376,2385,808,2527,32,0.000,4,0,9.308,0.407,2.438,-7.625,-4.750,-0.012,-0.148,1.008,-0.117,0.285,0.266,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93498.360,0.995,0.063,-0.004,0.078,2501,1081,2267,2455,2387,2389,823,2539,32,0.000,4,0,9.921,0.203,3.875,-7.875,-4.625,-0.004,-0.152,1.000,-0.074,0.121,0.145,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93503.359,0.995,0.063,-0.003,0.079,2477,1071,2272,2419,2392,2389,847,2541,32,0.000,4,0,9.675,0.185,4.313,-7.438,-4.438,-0.004,-0.145,1.008,-0.043,0.121,0.133,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93508.360,0.995,0.063,-0.003,0.079,2452,1063,2287,2387,2395,2391,865,2535,32,0.000,4,0,8.985,0.172,1.813,-7.063,-5.250,0.004,-0.145,1.012,-0.031,0.105,0.133,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93513.359,0.995,0.063,-0.003,0.079,2419,1053,2293,2350,2412,2394,879,2549,32,0.000,4,0,9.693,0.176,2.563,-7.938,-4.938,0.004,-0.145,1.000,0.023,0.113,0.133,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,54,54,0,54,93518.361,0.995,0.063,-0.002,0.079,2385,1046,2311,2316,2413,2392,895,2555,32,0.000,4,0,9.696,0.129,3.813,-7.250,-5.188,-0.008,-0.160,0.992,0.023,0.105,0.070,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93523.360,0.995,0.062,-0.002,0.079,2347,1035,2323,2282,2428,2391,915,2567,32,0.000,4,0,9.283,0.110,2.125,-6.813,-5.938,-0.004,-0.176,0.984,-0.105,-0.031,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93528.359,0.995,0.062,-0.002,0.080,2299,1022,2335,2250,2439,2390,931,2570,32,0.000,4,0,11.307,0.112,4.125,-7.750,-7.125,0.008,-0.141,0.988,-0.105,-0.031,-0.023,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93533.360,0.995,0.062,-0.001,0.080,2264,1015,2344,2203,2451,2393,950,2577,32,0.000,4,0,12.172,0.124,6.625,-7.063,-7.375,0.004,-0.141,0.996,0.012,0.121,-0.023,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93538.360,0.995,0.062,-0.001,0.080,2223,1006,2355,2173,2458,2392,978,2581,32,0.000,4,0,9.995,0.132,2.813,-6.688,-6.875,0.012,-0.141,1.016,0.039,0.125,0.020,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93543.361,0.995,0.062,-0.001,0.081,2187,1002,2365,2139,2460,2387,993,2584,32,0.000,4,0,11.333,0.172,4.500,-7.750,-6.938,0.004,-0.129,1.008,0.012,0.133,0.109,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,93548.360,0.995,0.062,-0.000,0.081,2141,994,2378,2078,2473,2387,1006,2589,32,0.000,4,0,10.189,0.177,1.875,-6.188,-7.875,0.012,-0.160,0.977,0.043,0.133,0.109,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93553.359,0.995,0.061,0.000,0.081,2099,987,2389,2017,2475,2385,1020,2543,32,0.000,4,0,11.761,0.022,5.938,-8.000,-6.250,-0.012,-0.152,0.992,-0.004,0.016,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93558.360,0.995,0.061,0.000,0.082,2039,975,2404,1941,2485,2380,1042,2599,32,0.000,4,0,13.453,0.111,5.438,-6.313,-10.563,0.008,-0.168,0.984,-0.031,-0.098,-0.043,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93563.359,0.995,0.061,0.001,0.082,1989,967,2411,1838,2491,2379,1052,2599,32,0.000,4,0,12.033,0.036,6.000,-7.375,-7.375,0.020,-0.129,0.992,-0.031,0.016,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93568.361,0.995,0.061,0.001,0.082,1935,953,2421,1751,2503,2377,1065,2603,32,0.000,4,0,13.062,0.058,7.063,-6.563,-8.813,0.008,-0.156,1.004,-0.027,-0.051,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93573.359,0.995,0.060,0.001,0.082,1873,947,2428,1681,2508,2376,1085,2607,32,0.000,4,0,11.064,0.166,4.563,-6.938,-7.313,0.008,-0.133,1.000,-0.020,0.160,0.039,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93578.361,0.995,0.060,0.002,0.083,1823,931,2441,1623,2515,2372,1102,2613,32,0.000,4,0,13.516,0.067,6.063,-6.188,-10.375,0.016,-0.156,0.984,-0.020,-0.051,0.039,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93583.360,0.995,0.060,0.002,0.083,1769,924,2453,1549,2520,2365,1111,2613,32,0.000,4,0,12.045,0.111,6.438,-6.375,-7.938,0.020,-0.137,0.992,0.031,0.102,-0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,93588.359,0.995,0.060,0.002,0.084,1687,919,2457,1479,2525,2359,1125,2615,32,0.000,4,0,12.690,0.106,6.250,-5.938,-9.313,0.020,-0.156,1.000,0.039,-0.094,-0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
