condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,22,22,0,22,452793.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.438,0.039,-0.438,0.000,0.000,0.000,-0.031,0.996,0.004,-0.035,-0.016,0.000,0.000,1.042,1.166,0,NULL,NULL,1072.000,2,0,3,7,255,1072,300,0,0
pre_stim,22,22,0,22,452798.361,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.198,0.039,0.188,0.063,0.000,0.000,-0.016,1.008,0.004,-0.035,-0.016,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452803.359,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.258,0.065,0.250,0.000,0.063,0.000,-0.035,0.992,-0.023,-0.043,-0.043,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452808.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.569,0.060,-0.563,0.063,-0.063,-0.004,-0.027,1.008,-0.004,0.023,0.055,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452813.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.637,0.039,0.625,0.000,0.125,0.000,-0.020,0.996,-0.004,0.023,-0.031,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452818.361,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.265,0.026,-0.250,0.063,-0.063,-0.004,-0.035,1.000,-0.004,0.023,0.012,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452823.359,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.140,0.046,-0.125,0.000,0.063,0.000,-0.023,1.000,0.016,0.043,0.000,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,52,52,0,52,452828.361,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.325,0.042,0.313,0.063,-0.063,-0.004,-0.023,1.004,-0.008,0.039,0.012,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452833.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.088,0.040,-0.063,-0.063,0.000,0.004,-0.035,1.000,-0.008,0.039,0.000,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452838.359,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.140,0.043,-0.125,0.063,0.000,-0.004,-0.023,1.004,-0.008,0.039,0.016,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452843.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.313,0.009,0.313,0.000,0.000,0.000,-0.027,0.996,0.008,0.000,-0.004,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452848.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.188,0.017,-0.188,0.000,0.000,0.000,-0.031,1.004,0.008,0.000,0.016,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452853.359,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.063,0.028,-0.063,0.000,0.000,0.000,-0.023,0.996,0.008,0.000,-0.027,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452858.360,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.325,0.017,0.313,0.063,0.063,0.000,-0.027,1.000,0.000,-0.012,0.012,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
pre_stim,77,77,0,77,452863.359,-0.963,0.001,-0.001,-0.270,0,0,0,0,0,0,0,0,42,0.929,130,0,0.250,0.017,-0.250,0.000,0.000,0.000,-0.031,1.000,0.000,-0.012,-0.012,0.000,0.000,1.042,1.166,0,NULL,NULL,,2,0,3,7,255,1072,300,0,0
