condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,52,52,0,52,11022.307,0.682,0.047,0.058,0.728,0,0,2811,0,3005,1063,2170,3060,38,0.656,1,6,0,82.081,2.064,-11.375,-72.188,37.375,-0.230,0.055,1.141,0.078,1.398,1.516,0.006,0.042,0.968,1.037,3,NULL,NULL,1167.000,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11027.308,0.683,0.049,0.060,0.727,0,0,2823,0,3016,1001,2164,3047,38,0.656,1,6,0,83.750,2.208,-5.563,-77.375,31.563,-0.246,0.082,1.160,0.191,1.594,1.516,0.006,0.048,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11032.309,0.683,0.051,0.063,0.726,0,0,2803,0,3015,923,2167,3028,38,0.656,1,6,0,87.195,2.516,3.375,-82.250,28.750,-0.254,0.129,1.223,0.465,1.793,1.703,0.010,0.052,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11037.309,0.684,0.053,0.066,0.725,0,0,2806,0,3013,872,2167,3021,38,0.656,1,6,0,93.120,3.130,10.125,-88.750,26.313,-0.273,0.168,1.301,0.883,1.926,2.305,0.014,0.058,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11042.307,0.684,0.056,0.069,0.724,0,0,2792,0,3005,766,2167,3001,38,0.656,1,6,0,101.099,3.932,11.250,-96.563,27.750,-0.277,0.164,1.383,1.125,2.156,3.090,0.022,0.064,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11047.309,0.685,0.059,0.072,0.723,0,0,2783,0,3003,651,2167,2984,38,0.656,1,6,0,109.998,4.660,4.500,-106.063,28.813,-0.285,0.188,1.434,1.242,2.258,3.883,0.028,0.070,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11052.307,0.685,0.062,0.075,0.722,0,0,2761,0,3004,583,2165,2975,38,0.656,1,6,0,115.806,5.158,-12.250,-112.438,24.875,-0.301,0.203,1.430,1.340,2.465,4.328,0.036,0.076,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,52,52,0,52,11057.309,0.686,0.066,0.078,0.721,0,0,2744,0,3003,519,2159,2948,38,0.656,1,6,0,121.271,5.319,-22.938,-117.125,21.500,-0.285,0.219,1.387,1.508,2.699,4.328,0.044,0.082,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11062.307,0.686,0.071,0.081,0.720,0,0,2719,0,3012,415,2159,2905,38,0.656,1,6,0,130.510,4.979,-27.625,-124.875,26.000,-0.270,0.203,1.367,1.586,2.699,3.871,0.050,0.090,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11067.309,0.686,0.076,0.084,0.718,0,0,2709,0,2995,359,2151,2871,38,0.656,1,6,0,139.450,4.787,-28.250,-134.000,26.313,-0.320,0.152,1.367,1.586,2.699,3.621,0.058,0.096,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11072.307,0.686,0.081,0.088,0.717,0,0,2653,0,2972,286,2121,2805,38,0.656,1,6,0,145.479,5.085,-18.750,-142.500,22.500,-0.375,0.129,1.379,1.152,3.379,3.621,0.068,0.106,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11077.309,0.686,0.086,0.092,0.716,0,0,2635,0,2991,245,2120,2785,38,0.656,1,6,0,156.663,5.602,-15.063,-154.250,22.875,-0.367,0.168,1.430,1.152,4.109,3.629,0.078,0.114,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11082.308,0.686,0.091,0.097,0.715,0,0,2580,0,2975,189,2091,2719,38,0.656,1,6,0,165.469,5.957,-11.063,-164.375,15.438,-0.422,0.145,1.508,1.121,4.203,4.070,0.088,0.126,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,78,78,0,78,11087.309,0.686,0.097,0.102,0.714,0,0,2523,0,2957,167,2072,2655,38,0.656,1,6,0,174.001,6.924,-14.188,-173.188,9.000,-0.379,0.168,1.594,1.344,4.863,4.742,0.100,0.136,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,11092.307,0.685,0.103,0.107,0.713,0,0,2447,0,2943,165,2031,2581,38,0.656,1,6,0,187.477,7.486,-17.688,-186.313,11.063,-0.316,0.293,1.645,1.355,4.863,5.527,0.112,0.148,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,11097.309,0.684,0.110,0.112,0.712,0,0,2357,0,2917,155,2010,2481,38,0.656,1,6,0,200.054,8.138,-28.563,-197.625,12.250,-0.316,0.355,1.699,2.578,4.816,6.031,0.124,0.160,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,11102.307,0.684,0.118,0.117,0.710,0,0,2237,0,2875,103,1971,2385,38,0.656,1,6,0,209.310,8.698,-35.125,-205.625,17.188,-0.313,0.488,1.750,3.219,4.816,6.488,0.136,0.174,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,11107.309,0.683,0.126,0.122,0.709,0,0,2106,0,2809,75,1925,2256,38,0.656,1,6,0,219.925,9.723,-41.563,-215.063,19.688,-0.406,0.527,1.859,4.559,5.094,6.914,0.150,0.186,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,119,119,0,119,11112.307,0.682,0.134,0.127,0.707,0,0,1947,0,2775,41,1895,2125,38,0.656,1,6,0,232.084,11.275,-51.688,-226.000,10.750,-0.402,0.746,1.957,5.047,6.453,7.746,0.164,0.202,0.968,1.037,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
