condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,29,29,0,29,4906829.454,0.956,0.031,-0.066,-0.284,1053,525,3015,1928,2924,2393,2619,2855,27,0.897,1,3278,1,29.018,0.121,-12.313,-17.188,-19.875,-0.164,-0.066,1.000,-0.043,-0.113,0.035,0.042,0.030,1.098,1.171,2,NULL,NULL,1125.000,2,0,2,7,255,1125,150,0,0
pre_stim,29,29,0,29,4906834.455,0.956,0.031,-0.065,-0.284,915,498,3022,1789,2933,2387,2649,2867,27,0.897,1,3278,1,27.624,0.236,-10.000,-19.063,-17.313,-0.152,-0.027,1.020,-0.051,0.230,0.137,0.042,0.030,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,29,29,0,29,4906839.453,0.956,0.031,-0.064,-0.283,756,457,3038,1627,2943,2377,2670,2869,27,0.897,1,3278,1,27.552,0.172,-7.063,-20.500,-17.000,-0.176,-0.043,1.016,-0.160,-0.063,0.258,0.042,0.030,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,29,29,0,29,4906844.455,0.957,0.031,-0.063,-0.283,588,415,3052,1433,2953,2361,2687,2873,27,0.897,1,3278,1,28.091,0.364,-4.563,-23.063,-15.375,-0.176,-0.012,1.039,-0.281,0.230,0.281,0.042,0.030,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,29,29,0,29,4906849.454,0.957,0.031,-0.062,-0.282,409,391,3067,1289,2965,2349,2710,2878,27,0.897,1,3278,1,31.280,0.528,-3.063,-24.063,-19.750,-0.191,0.000,1.051,-0.469,0.242,0.488,0.040,0.030,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,29,29,0,29,4906854.455,0.957,0.031,-0.061,-0.281,266,329,3083,1139,2973,2331,2728,2887,27,0.897,1,3278,1,32.495,0.690,-4.250,-26.375,-18.500,-0.184,0.027,1.074,-0.645,0.246,0.613,0.040,0.030,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,60,60,0,60,4906859.453,0.958,0.031,-0.060,-0.280,157,302,3095,959,2988,2300,2744,2890,27,0.897,1,3278,1,39.725,0.838,-6.438,-27.750,-27.688,-0.164,0.039,1.098,-0.645,0.535,0.809,0.038,0.032,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,60,60,0,60,4906864.455,0.958,0.030,-0.059,-0.279,73,229,3101,755,2995,2278,2763,2894,27,0.897,1,3278,1,38.650,1.004,-5.938,-30.250,-23.313,-0.125,0.051,1.098,-0.645,0.770,0.961,0.038,0.032,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,60,60,0,60,4906869.454,0.958,0.030,-0.057,-0.279,41,182,3111,544,3001,2249,2780,2899,27,0.897,1,3278,1,38.511,1.100,-8.875,-32.625,-18.438,-0.086,0.043,1.082,-0.422,1.016,0.961,0.036,0.032,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
pre_stim,60,60,0,60,4906874.455,0.959,0.030,-0.055,-0.278,11,153,3114,344,3008,2221,2797,2902,27,0.897,1,3278,1,41.260,1.231,-10.750,-33.250,-21.938,-0.113,0.066,1.113,-0.422,1.156,0.961,0.036,0.032,1.098,1.171,2,NULL,NULL,,2,0,2,7,255,1125,150,0,0
