condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,41,41,0,41,36811.456,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.188,0.071,0.188,0.000,0.000,0.000,-0.043,1.000,-0.008,0.070,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,36816.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.258,0.074,-0.063,0.000,0.250,0.004,-0.039,1.000,-0.004,-0.074,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,36821.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.442,0.074,-0.438,-0.063,0.000,0.000,-0.031,1.000,0.004,-0.074,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,36826.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.265,0.006,-0.250,-0.063,-0.063,0.000,-0.020,1.004,0.004,-0.004,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,36831.456,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.500,0.090,0.500,0.000,0.000,0.000,-0.020,1.004,-0.008,0.090,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,36836.458,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.140,0.090,0.125,0.000,0.063,0.004,-0.047,0.996,-0.008,0.090,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,36841.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.750,0.043,-0.750,0.000,0.000,0.000,-0.035,1.000,0.000,-0.043,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,36846.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.198,0.043,0.188,0.063,0.000,0.000,-0.016,1.004,0.004,-0.043,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,36851.457,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.313,0.043,0.313,0.000,0.000,0.000,-0.039,1.000,0.004,-0.043,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,36856.458,1.000,0.001,0.000,-0.002,0,0,0,0,0,0,0,0,92,0.000,0,4,0,0.690,0.067,-0.688,-0.063,0.000,0.000,-0.039,1.004,0.004,-0.066,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
