condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,16,16,0,16,169031.458,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.492,0.028,0.125,0.438,-0.188,0.012,-0.035,1.004,0.027,0.008,0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,2,0,1,7,255,1010,300,0,0
pre_stim,16,16,0,16,169036.456,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.234,0.039,0.125,0.188,-0.063,0.012,-0.039,0.996,0.027,-0.027,0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,16,16,0,16,169041.456,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.250,0.028,0.250,0.000,0.000,0.008,-0.039,0.996,0.004,-0.027,-0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,16,16,0,16,169046.457,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.234,0.025,0.125,0.063,-0.188,0.004,-0.035,1.004,-0.016,-0.020,-0.047,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,37,37,0,37,169051.456,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.385,0.020,-0.125,0.313,-0.188,0.008,-0.031,1.004,-0.016,0.012,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,37,37,0,37,169056.457,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.319,0.020,-0.250,0.063,-0.188,0.012,-0.035,1.000,0.016,0.012,0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,37,37,0,37,169061.456,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.265,0.024,-0.188,-0.188,0.000,0.012,-0.031,1.000,0.023,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,37,37,0,37,169066.458,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.400,0.024,0.188,-0.250,0.250,0.004,-0.035,1.004,0.023,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,59,59,0,59,169071.457,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.492,0.016,-0.438,-0.188,-0.125,0.004,-0.039,0.996,-0.016,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
pre_stim,59,59,0,59,169076.458,0.939,0.005,0.003,0.345,0,0,0,0,0,0,0,0,0,0.000,0,5,0,0.871,0.016,-0.750,-0.063,-0.438,0.008,-0.031,1.000,-0.016,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,2,0,1,7,255,1010,300,0,0
