condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,43,43,0,43,118432.375,-0.034,-0.022,-0.043,-0.998,3,0,0,133,0,0,0,0,26,0.000,1,22,0,164.582,4.740,-73.313,137.125,53.938,-0.285,-0.406,1.086,2.336,4.125,0.535,0.000,0.000,0.083,0.057,0,NULL,NULL,1169.000,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118437.375,-0.037,-0.016,-0.039,-0.998,0,0,0,104,0,0,0,0,26,0.000,1,22,0,165.689,4.528,-74.750,138.188,52.625,-0.285,-0.418,1.129,1.867,4.125,1.027,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118442.375,-0.039,-0.010,-0.036,-0.999,0,0,0,93,0,0,0,0,26,0.000,1,22,0,164.063,4.445,-73.688,136.125,54.375,-0.250,-0.398,1.164,1.656,4.125,1.496,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118447.375,-0.041,-0.004,-0.033,-0.999,0,0,0,95,0,0,0,0,26,0.000,1,22,0,161.949,4.082,-73.500,134.125,53.250,-0.234,-0.414,1.172,1.160,3.914,1.863,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118452.375,-0.044,0.002,-0.030,-0.999,0,0,0,79,0,0,0,0,26,0.000,1,22,0,161.311,3.963,-73.813,132.313,55.375,-0.203,-0.375,1.215,0.828,3.875,1.949,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118457.375,-0.046,0.007,-0.027,-0.999,0,0,0,75,0,0,0,0,26,0.000,1,22,0,158.898,3.655,-74.438,128.813,55.813,-0.172,-0.406,1.160,0.367,3.637,1.949,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118462.374,-0.049,0.013,-0.023,-0.998,0,0,0,59,0,0,0,0,26,0.000,1,22,0,159.513,3.434,-78.625,126.375,57.375,-0.160,-0.340,1.238,-0.035,3.434,2.336,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118467.376,-0.052,0.018,-0.019,-0.998,0,0,0,61,0,0,0,0,26,0.000,1,22,0,158.096,3.292,-78.563,123.500,59.750,-0.133,-0.391,1.195,-0.348,3.273,2.156,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118472.374,-0.054,0.023,-0.016,-0.998,0,0,0,59,0,0,0,0,26,0.000,1,22,0,159.083,2.951,-83.188,119.813,63.500,-0.094,-0.320,1.238,-0.746,2.855,2.496,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,118477.376,-0.057,0.029,-0.012,-0.998,0,0,0,51,0,0,0,0,26,0.000,1,22,0,160.396,2.999,-86.625,118.313,65.000,-0.078,-0.367,1.227,-1.215,2.742,2.379,0.000,0.000,0.083,0.057,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
