condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,34,34,0,34,88966.453,0.049,-0.023,-0.043,0.998,3199,766,477,3145,47,2143,1207,719,51,0.995,1,19,1,13.416,0.342,-10.313,-1.563,-8.438,-0.066,-0.043,1.051,-0.109,-0.324,0.246,0.014,0.012,1.152,1.209,2,NULL,NULL,1158.000,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,88971.454,0.048,-0.022,-0.044,0.998,3195,809,511,3143,72,2157,1196,722,51,0.995,1,19,1,17.173,0.782,-13.125,-3.125,-10.625,-0.086,-0.012,1.070,0.223,-0.750,0.422,0.014,0.012,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,88976.453,0.048,-0.022,-0.044,0.998,3191,853,555,3135,85,2171,1182,735,51,0.995,1,19,1,20.849,1.140,-16.063,-4.688,-12.438,-0.086,-0.012,1.070,0.414,-1.063,0.602,0.014,0.012,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,88981.454,0.047,-0.022,-0.045,0.998,3159,872,603,3129,91,2191,1173,748,51,0.995,1,19,1,23.200,1.142,-17.875,-6.313,-13.375,-0.086,-0.031,1.055,0.418,-1.063,0.602,0.016,0.012,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,88986.453,0.047,-0.021,-0.046,0.998,3175,909,666,3123,143,2207,1157,766,51,0.995,1,19,1,24.766,0.980,-18.500,-7.563,-14.625,-0.051,-0.066,1.027,0.418,-0.887,0.461,0.018,0.012,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,34,34,0,34,88991.454,0.046,-0.021,-0.046,0.998,3166,938,726,3116,175,2227,1158,791,51,0.995,1,19,1,25.727,0.561,-18.563,-8.438,-15.688,-0.004,-0.117,1.000,0.082,-0.555,0.234,0.018,0.012,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,35,35,0,35,88996.453,0.045,-0.020,-0.047,0.998,3155,988,779,3104,231,2247,1157,829,51,0.995,1,19,1,27.072,0.126,-19.875,-8.938,-16.063,-0.039,-0.180,0.980,-0.102,-0.074,-0.016,0.020,0.014,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,35,35,0,35,89001.454,0.045,-0.020,-0.048,0.998,3145,1031,837,3097,254,2263,1157,859,51,0.995,1,19,1,24.466,0.581,-16.750,-7.875,-16.000,-0.039,-0.191,0.934,-0.113,0.570,-0.098,0.022,0.014,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,89006.453,0.044,-0.020,-0.049,0.998,3131,1067,877,3089,297,2277,1169,889,51,0.995,1,19,1,19.900,0.731,-10.000,-4.875,-16.500,0.008,-0.215,0.945,-0.113,0.723,-0.414,0.024,0.016,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,89011.454,0.043,-0.019,-0.049,0.998,3119,1077,935,3067,383,2291,1177,933,51,0.995,1,19,1,17.035,0.813,-5.875,-5.000,-15.188,-0.043,-0.207,0.965,-0.113,0.805,-0.414,0.024,0.016,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,89016.453,0.043,-0.019,-0.049,0.998,3111,1077,981,3055,444,2299,1193,972,51,0.995,1,19,1,15.580,0.809,-5.500,-5.500,-13.500,-0.039,-0.191,0.996,-0.086,0.805,-0.199,0.026,0.018,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,36,36,0,36,89021.454,0.042,-0.019,-0.050,0.998,3096,1070,1031,3042,495,2310,1207,999,51,0.995,1,19,1,14.812,0.612,-4.563,-5.438,-13.000,0.000,-0.156,0.973,-0.086,0.605,-0.199,0.026,0.018,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,66,66,0,66,89026.453,0.042,-0.018,-0.050,0.998,3083,1065,1075,3025,537,2315,1211,1033,51,0.995,1,19,1,14.494,0.353,-2.938,-4.750,-13.375,-0.023,-0.160,0.996,-0.191,0.297,0.035,0.028,0.020,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,66,66,0,66,89031.454,0.041,-0.018,-0.050,0.998,3061,1055,1113,3011,559,2321,1215,1048,51,0.995,1,19,1,14.184,0.482,-2.563,-3.750,-13.438,0.008,-0.148,0.980,-0.410,0.254,-0.145,0.028,0.020,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89036.453,0.041,-0.018,-0.050,0.998,3051,1049,1149,2991,594,2324,1212,1075,51,0.995,1,19,1,12.657,0.578,-1.375,-3.125,-12.188,0.020,-0.164,0.988,-0.496,0.297,-0.070,0.028,0.022,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89041.454,0.040,-0.018,-0.050,0.998,3037,1034,1181,2983,619,2327,1213,1100,51,0.995,1,19,1,11.110,0.584,-1.625,-2.563,-10.688,0.004,-0.176,0.965,-0.496,0.309,-0.145,0.030,0.022,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89046.453,0.040,-0.018,-0.050,0.998,3027,1012,1205,2970,654,2328,1226,1125,51,0.995,1,19,1,9.438,0.580,-1.000,-2.438,-9.063,0.004,-0.164,0.977,-0.465,0.348,-0.184,0.030,0.024,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89051.454,0.039,-0.017,-0.050,0.998,3015,1004,1235,2959,672,2331,1228,1137,51,0.995,1,19,1,8.417,0.580,-0.250,-1.938,-8.188,0.008,-0.164,0.973,-0.465,0.348,-0.199,0.032,0.026,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89056.453,0.039,-0.017,-0.050,0.998,3005,989,1253,2943,687,2331,1235,1157,51,0.995,1,19,1,6.628,0.526,0.000,-1.813,-6.375,-0.004,-0.133,0.984,-0.426,0.309,-0.184,0.034,0.026,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89061.454,0.039,-0.017,-0.050,0.998,2991,959,1267,2937,701,2333,1237,1177,51,0.995,1,19,1,6.328,0.515,1.313,-1.250,-6.063,0.012,-0.148,0.973,-0.488,0.164,-0.199,0.036,0.028,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89066.453,0.039,-0.017,-0.050,0.998,2985,951,1275,2932,733,2335,1239,1184,51,0.995,1,19,1,4.234,0.416,0.813,-1.125,-4.000,0.000,-0.156,0.992,-0.383,0.164,-0.145,0.038,0.030,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89071.454,0.038,-0.017,-0.050,0.998,2975,943,1290,2922,746,2335,1242,1203,51,0.995,1,19,1,3.603,0.438,0.188,-1.063,-3.438,0.004,-0.148,0.980,-0.406,0.164,-0.156,0.038,0.030,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89076.453,0.038,-0.017,-0.050,0.998,2966,941,1301,2914,759,2340,1245,1212,51,0.995,1,19,1,2.682,0.413,-0.375,-1.188,-2.375,-0.016,-0.113,1.004,-0.383,0.156,-0.031,0.040,0.030,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,104,104,0,104,89081.454,0.038,-0.017,-0.050,0.998,2957,938,1311,2905,787,2345,1247,1233,51,0.995,1,19,1,3.669,0.265,-1.375,-1.188,-3.188,-0.020,-0.109,1.008,-0.191,-0.184,0.051,0.042,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89086.453,0.038,-0.013,-0.052,0.998,2941,947,1321,2897,798,2345,1251,1244,51,0.995,1,19,1,4.671,0.275,-3.125,-1.375,-3.188,-0.012,-0.086,1.020,-0.172,-0.215,0.082,0.042,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89091.454,0.038,-0.013,-0.053,0.998,2935,971,1341,2889,819,2357,1253,1271,51,0.995,1,19,1,6.017,0.360,-4.563,-1.500,-3.625,-0.031,-0.105,1.012,-0.164,-0.320,0.105,0.044,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89096.453,0.038,-0.013,-0.053,0.998,2920,979,1375,2877,831,2363,1255,1295,51,0.995,1,19,1,7.920,0.321,-6.250,-2.125,-4.375,-0.027,-0.109,1.008,-0.027,-0.320,0.105,0.044,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89101.454,0.037,-0.013,-0.053,0.998,2907,985,1402,2871,867,2377,1270,1309,51,0.995,1,19,1,9.903,0.321,-8.250,-2.500,-4.875,-0.027,-0.102,1.004,0.012,-0.320,0.086,0.044,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89106.453,0.037,-0.013,-0.054,0.998,2897,989,1427,2861,884,2389,1278,1336,51,0.995,1,19,1,10.584,0.266,-7.438,-2.438,-7.125,-0.043,-0.125,0.980,0.012,-0.266,0.039,0.044,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,126,126,0,126,89111.454,0.037,-0.013,-0.054,0.998,2888,1013,1442,2855,896,2399,1287,1365,51,0.995,1,19,1,14.189,0.071,-11.563,-3.375,-7.500,-0.023,-0.160,0.996,0.012,-0.070,0.016,0.044,0.032,1.152,1.209,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
