condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,38,38,0,38,352131.455,0.974,0.008,-0.022,0.224,3033,792,970,3055,958,2535,885,1583,9,0.000,0,149,1,1.381,0.175,-0.875,1.000,0.375,-0.082,-0.070,0.996,-0.172,0.035,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,1158.000,2,0,2,7,255,1158,150,0,0
pre_stim,38,38,0,38,352136.453,0.974,0.008,-0.022,0.224,3049,780,955,3051,955,2531,886,1564,9,0.000,0,149,1,1.406,0.175,1.000,0.813,-0.563,-0.035,-0.078,1.000,-0.172,0.035,0.008,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,38,38,0,38,352141.454,0.974,0.008,-0.022,0.224,3049,764,935,3052,948,2521,875,1556,9,0.000,0,149,1,0.859,0.042,0.688,0.500,0.125,-0.055,-0.043,1.000,-0.023,0.035,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,38,38,0,38,352146.453,0.974,0.008,-0.022,0.224,3048,742,919,3038,937,2514,875,1551,9,0.000,0,149,1,2.170,0.069,1.813,0.813,-0.875,-0.043,-0.063,1.008,-0.020,-0.066,0.020,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352151.453,0.974,0.008,-0.022,0.224,3049,733,908,3049,923,2515,867,1543,9,0.000,0,149,1,1.486,0.060,0.875,0.750,-0.938,-0.047,-0.051,0.996,-0.012,0.059,0.012,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352156.454,0.974,0.008,-0.022,0.224,3043,726,905,3035,917,2490,869,1520,9,0.000,0,149,1,2.162,0.059,1.688,0.750,-1.125,-0.051,-0.035,1.020,-0.008,0.059,0.109,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352161.454,0.974,0.008,-0.022,0.224,3043,721,895,3033,903,2484,861,1517,9,0.000,0,149,1,1.738,0.078,0.063,0.875,-1.500,-0.035,-0.059,0.988,0.051,0.059,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352166.453,0.974,0.008,-0.022,0.224,3049,712,873,3041,890,2487,856,1499,9,0.000,0,149,1,1.809,0.168,1.125,0.938,-1.063,-0.047,-0.039,1.008,0.051,0.160,0.082,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352171.454,0.974,0.008,-0.022,0.224,3036,700,867,3043,878,2473,858,1499,9,0.000,0,149,1,1.386,0.079,-0.625,0.875,-0.875,-0.035,-0.074,0.984,0.043,-0.066,-0.105,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352176.454,0.974,0.008,-0.022,0.224,3032,694,858,3033,873,2464,849,1487,9,0.000,0,149,1,1.338,0.107,0.813,0.938,-0.500,-0.055,-0.047,1.000,0.016,0.105,0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352181.453,0.974,0.008,-0.022,0.224,3031,687,848,3029,864,2464,844,1489,9,0.000,0,149,1,1.766,0.145,-1.438,0.813,-0.625,-0.031,-0.066,0.996,0.016,-0.145,-0.035,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,56,56,0,56,352186.454,0.974,0.008,-0.022,0.224,3034,684,851,3029,857,2467,836,1479,9,0.000,0,149,1,0.897,0.111,0.188,0.875,0.063,-0.055,-0.047,0.996,-0.035,0.105,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,83,83,0,83,352191.453,0.974,0.008,-0.022,0.225,3037,671,841,3030,853,2461,828,1483,9,0.000,0,149,1,1.455,0.105,-1.125,0.813,-0.438,-0.035,-0.063,1.004,0.055,-0.090,-0.004,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,83,83,0,83,352196.454,0.974,0.008,-0.023,0.224,3043,664,843,3032,851,2461,823,1471,9,0.000,0,149,1,0.970,0.133,-0.375,0.813,0.375,-0.051,-0.039,1.000,0.012,0.133,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,83,83,0,83,352201.453,0.974,0.008,-0.023,0.224,3036,659,831,3032,843,2451,811,1479,9,0.000,0,149,1,1.320,0.091,-1.125,0.688,0.063,-0.043,-0.074,0.996,0.012,-0.090,0.000,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
pre_stim,83,83,0,83,352206.454,0.974,0.008,-0.023,0.224,3030,653,829,3032,839,2457,810,1466,9,0.000,0,149,1,1.055,0.075,-0.500,0.625,0.688,-0.043,-0.047,0.996,0.012,0.074,-0.023,0.000,0.000,0.000,0.000,2,NULL,NULL,,2,0,2,7,255,1158,150,0,0
