condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,33,33,0,33,3754115.398,-0.055,-0.015,0.019,0.998,3171,491,2145,2949,2431,2397,2072,2582,34,0.066,1,2242,1,5.782,0.153,5.688,-0.563,0.875,-0.129,-0.023,0.996,-0.008,-0.152,0.000,0.000,0.000,0.950,0.217,2,NULL,NULL,1339.000,2,0,3,7,255,1339,250,0,0
pre_stim,33,33,0,33,3754120.425,-0.055,-0.015,0.020,0.998,3166,495,2156,2943,2447,2407,2089,2584,34,0.066,1,2242,1,5.454,0.126,5.375,-0.438,0.813,-0.125,-0.023,0.984,-0.016,-0.125,0.000,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,34,34,0,34,3754125.410,-0.055,-0.015,0.020,0.998,3167,499,2168,2949,2467,2414,2105,2589,34,0.066,1,2242,1,4.973,0.126,4.938,-0.188,0.563,-0.133,-0.027,0.996,0.012,-0.125,0.000,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,34,34,0,34,3754130.420,-0.055,-0.015,0.020,0.998,3166,501,2153,2949,2461,2407,2104,2592,34,0.066,1,2242,1,5.502,0.122,5.500,-0.125,0.063,-0.121,-0.035,0.992,-0.016,-0.121,-0.016,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,57,57,0,57,3754135.398,-0.055,-0.015,0.020,0.998,3163,505,2184,2943,2472,2408,2109,2599,34,0.066,1,2242,1,6.264,0.047,6.250,0.375,0.188,-0.121,-0.039,1.000,-0.043,-0.020,0.035,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,57,57,0,57,3754140.430,-0.055,-0.015,0.021,0.998,3161,506,2147,2943,2473,2420,2123,2601,34,0.066,1,2242,1,6.258,0.046,6.250,0.313,-0.063,-0.145,-0.039,0.992,-0.043,0.016,-0.004,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,58,58,0,58,3754145.429,-0.055,-0.015,0.021,0.998,3163,517,2201,2949,2484,2423,2131,2607,34,0.066,1,2242,1,6.289,0.028,6.250,0.313,0.625,-0.129,-0.043,0.992,0.020,0.020,-0.004,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,58,58,0,58,3754150.388,-0.055,-0.015,0.021,0.998,3160,524,2212,2949,2483,2421,2137,2611,34,0.066,1,2242,1,5.850,0.028,5.563,1.250,1.313,-0.129,-0.031,1.004,0.020,0.020,-0.004,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,59,59,0,59,3754155.406,-0.055,-0.015,0.022,0.998,3160,536,2223,2952,2493,2422,2147,2619,34,0.066,1,2242,1,8.277,0.037,8.250,0.438,0.500,-0.141,-0.016,0.969,0.020,-0.031,-0.012,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,59,59,0,59,3754160.424,-0.055,-0.015,0.022,0.998,3159,541,2234,2951,2505,2425,2149,2621,34,0.066,1,2242,1,4.716,0.037,4.688,0.125,0.500,-0.125,-0.031,0.988,0.020,-0.031,-0.047,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,60,60,0,60,3754165.403,-0.055,-0.015,0.022,0.998,3159,555,2261,2951,2516,2439,2165,2627,34,0.066,1,2242,1,5.528,0.061,5.500,0.250,0.500,-0.133,-0.027,1.004,0.039,-0.047,-0.047,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,60,60,0,60,3754170.423,-0.055,-0.015,0.022,0.998,3158,559,2263,2952,2508,2427,2165,2631,34,0.066,1,2242,1,5.821,0.061,5.813,0.250,0.188,-0.129,-0.027,0.988,0.039,-0.047,-0.047,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,61,61,0,61,3754175.407,-0.055,-0.015,0.023,0.998,3143,563,2270,2933,2523,2427,2169,2632,34,0.066,1,2242,1,5.130,0.079,5.125,-0.125,0.188,-0.137,-0.023,0.992,0.043,-0.066,-0.020,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
pre_stim,61,61,0,61,3754180.427,-0.055,-0.015,0.023,0.998,3153,571,2265,2949,2529,2437,2187,2643,34,0.066,1,2242,1,4.222,0.112,4.188,-0.313,0.438,-0.141,-0.027,0.992,0.090,-0.066,-0.020,0.000,0.000,0.950,0.217,2,NULL,NULL,,2,0,3,7,255,1339,250,0,0
