condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,48,48,0,48,303379.379,-0.054,-0.049,-0.063,-0.995,0,0,2555,413,2791,2073,1863,2565,44,0.000,1,91,0,17.681,0.566,-1.313,-17.563,-1.563,0.094,0.172,1.012,0.566,0.000,0.270,1.318,1.152,0.915,0.695,3,NULL,NULL,1118.000,0,0,0,7,255,0,250,0,0
baseline,48,48,0,48,303384.380,-0.053,-0.050,-0.063,-0.995,0,0,2553,352,2791,2063,1865,2568,44,0.000,1,91,0,18.398,0.338,-2.313,-18.250,-0.250,0.113,0.184,1.004,0.289,-0.176,0.246,1.320,1.154,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,48,303389.379,-0.053,-0.051,-0.063,-0.995,0,0,2553,327,2803,2045,1863,2567,44,0.000,1,91,0,20.342,0.338,-4.813,-19.750,-0.750,0.070,0.137,1.121,0.289,-0.176,0.270,1.322,1.154,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,48,48,0,48,303394.380,-0.053,-0.051,-0.063,-0.995,0,0,2552,299,2797,2023,1852,2571,44,0.000,1,91,0,20.715,0.680,0.813,-20.688,-0.688,0.023,0.133,1.055,0.602,0.316,0.563,1.324,1.156,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303399.379,-0.053,-0.052,-0.063,-0.995,0,0,2548,267,2792,1999,1853,2567,44,0.000,1,91,0,22.245,0.680,-1.375,-22.188,-0.813,0.086,0.156,1.000,0.602,0.316,0.563,1.326,1.156,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303404.380,-0.053,-0.053,-0.063,-0.995,0,0,2551,223,2795,1959,1846,2569,44,0.000,1,91,0,23.266,0.416,-3.500,-23.000,0.188,0.133,0.145,1.047,0.406,0.090,0.563,1.326,1.156,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303409.379,-0.053,-0.054,-0.063,-0.995,0,0,2549,220,2792,1933,1849,2571,44,0.000,1,91,0,23.821,0.416,-1.813,-23.750,-0.313,0.074,0.129,1.035,0.406,0.090,0.422,1.326,1.154,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303414.380,-0.053,-0.055,-0.063,-0.995,0,0,2539,187,2797,1899,1845,2575,44,0.000,1,91,0,24.786,0.432,-1.188,-24.750,-0.625,0.090,0.141,1.004,0.418,0.109,0.422,1.326,1.154,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303419.379,-0.053,-0.057,-0.062,-0.995,0,0,2531,165,2785,1869,1832,2550,44,0.000,1,91,0,25.203,0.497,-3.188,-25.000,0.188,0.113,0.129,1.047,0.418,0.270,0.422,1.324,1.152,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303424.380,-0.053,-0.058,-0.062,-0.995,0,0,2536,116,2793,1832,1845,2557,44,0.000,1,91,0,25.624,0.360,-1.188,-25.563,-1.313,0.113,0.102,1.008,0.238,0.270,0.160,1.322,1.148,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303429.379,-0.052,-0.059,-0.062,-0.995,0,0,2533,111,2795,1799,1839,2569,44,0.000,1,91,0,26.578,0.360,-0.875,-26.563,0.188,0.117,0.160,1.051,0.238,0.270,0.574,1.318,1.144,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,49,49,0,49,303434.380,-0.052,-0.060,-0.062,-0.995,0,0,2533,96,2797,1767,1841,2553,44,0.000,1,91,0,26.264,0.529,-0.500,-26.250,-0.688,0.098,0.086,1.016,0.273,0.453,0.191,1.314,1.138,0.915,0.695,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
