condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,6760104.379,-0.130,-0.068,-0.055,-0.988,1007,0,667,1395,0,282,233,1182,44,0.000,0,3205,0,0.198,0.021,0.000,-0.188,-0.063,0.160,0.109,0.988,-0.020,-0.008,-0.012,0.000,0.000,0.000,0.000,3,NULL,NULL,1118.000,2,0,3,7,255,,150,0,0
pre_stim,0,0,0,0,6760109.380,-0.130,-0.068,-0.055,-0.988,1011,0,667,1389,0,279,232,1181,44,0.000,0,3205,0,0.676,0.021,-0.563,-0.375,0.000,0.133,0.113,0.992,-0.020,0.008,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,0,0,0,0,6760114.380,-0.130,-0.068,-0.055,-0.988,1005,0,669,1392,0,283,231,1187,44,0.000,0,3205,0,0.468,0.025,0.375,0.250,-0.125,0.141,0.098,0.992,-0.023,0.008,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,0,0,0,0,6760119.379,-0.130,-0.068,-0.055,-0.988,1005,0,671,1391,0,280,231,1181,44,0.000,0,3205,0,1.108,0.025,0.750,0.438,0.688,0.191,0.102,0.988,-0.023,0.008,0.039,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,0,0,0,0,6760124.380,-0.130,-0.068,-0.055,-0.988,1004,0,670,1396,0,282,233,1182,44,0.000,0,3205,0,0.455,0.031,0.000,-0.438,0.125,0.113,0.148,0.969,-0.023,-0.020,0.020,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,0,0,0,0,6760129.380,-0.130,-0.067,-0.055,-0.988,1004,0,670,1395,0,283,231,1187,44,0.000,0,3205,0,2.696,0.379,-0.250,-1.125,-2.438,0.086,0.121,0.984,0.379,-0.020,-0.090,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,7,7,0,7,6760134.380,-0.130,-0.068,-0.055,-0.988,1003,0,669,1383,0,282,233,1181,44,0.000,0,3205,0,1.042,0.381,-0.188,0.625,0.813,0.266,0.031,1.023,0.379,0.035,-0.090,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,7,7,0,7,6760139.380,-0.130,-0.067,-0.055,-0.988,1003,0,669,1391,0,282,236,1181,44,0.000,0,3205,0,4.399,0.408,1.688,1.563,3.750,0.109,0.164,0.949,0.406,0.035,-0.090,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,15,15,0,15,6760144.379,-0.130,-0.067,-0.056,-0.988,1003,0,676,1389,0,285,237,1182,44,0.000,0,3205,0,6.857,0.473,-1.125,-3.000,-6.063,0.008,0.168,0.977,0.406,-0.242,-0.219,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,15,15,0,15,6760149.380,-0.130,-0.068,-0.055,-0.988,999,0,671,1391,0,283,235,1187,44,0.000,0,3205,0,2.618,0.473,-0.813,1.188,2.188,0.371,-0.039,1.043,0.406,-0.242,-0.219,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,22,22,0,22,6760154.379,-0.130,-0.067,-0.056,-0.988,1003,0,676,1387,0,281,234,1187,44,0.000,0,3205,0,6.732,1.423,3.813,2.125,5.125,-0.020,0.250,0.914,1.402,-0.242,-0.219,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,22,22,0,22,6760159.380,-0.130,-0.068,-0.055,-0.988,997,0,675,1389,0,283,235,1183,44,0.000,0,3205,0,13.058,0.567,-4.938,-4.875,-11.063,0.137,0.059,1.039,-0.016,0.566,0.453,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,40,40,0,40,6760164.379,-0.130,-0.068,-0.055,-0.988,997,0,679,1387,0,281,231,1189,44,0.000,0,3205,0,14.497,0.046,4.750,5.313,12.625,0.336,0.051,0.965,-0.016,0.043,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,40,40,0,40,6760169.380,-0.130,-0.068,-0.055,-0.988,1001,0,677,1391,0,285,239,1187,44,0.000,0,3205,0,11.356,0.046,-2.563,-4.313,-10.188,-0.168,0.242,0.984,-0.016,0.043,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,68,68,0,68,6760174.379,-0.130,-0.068,-0.055,-0.988,997,0,678,1395,0,284,237,1181,44,0.000,0,3205,0,6.282,1.969,0.875,2.375,5.750,0.504,-0.059,1.008,-1.969,0.043,-0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
pre_stim,68,68,0,68,6760179.380,-0.130,-0.068,-0.055,-0.988,999,0,679,1389,0,281,236,1181,44,0.000,0,3205,0,2.036,3.288,1.063,-0.875,-1.500,-0.203,0.277,0.961,3.250,-0.496,-0.332,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,3,7,255,1118,150,0,0
