condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,3,3,0,3,358525.457,0.500,-0.140,0.143,-0.843,3096,1349,1703,3099,1957,2196,1126,2011,46,1.017,0,97,1,8.261,0.471,-6.375,5.250,-0.188,0.363,-0.184,0.906,0.465,0.078,-0.172,0.000,0.000,0.000,0.000,2,NULL,NULL,1178.000,0,0,0,7,255,0,250,0,0
baseline,3,3,0,3,358530.458,0.500,-0.140,0.143,-0.843,3101,1355,1711,3097,1952,2189,1123,2011,46,1.017,0,97,1,7.659,0.531,-6.000,4.750,-0.313,0.363,-0.184,0.910,0.520,0.109,-0.152,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,358535.458,0.500,-0.139,0.144,-0.843,3094,1363,1715,3093,1963,2183,1122,2005,46,1.017,0,97,1,7.025,0.535,-5.438,4.250,-1.313,0.363,-0.184,0.910,0.520,0.129,-0.125,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,358540.458,0.500,-0.139,0.144,-0.843,3096,1369,1727,3099,1965,2186,1117,2005,46,1.017,0,97,1,5.452,0.529,-4.063,3.313,-1.500,0.379,-0.184,0.922,0.512,0.133,-0.094,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,358545.458,0.500,-0.139,0.144,-0.843,3096,1389,1741,3099,1968,2183,1121,1997,46,1.017,0,97,1,4.582,0.480,-3.563,2.625,-1.188,0.379,-0.164,0.926,0.461,0.133,0.059,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,38,38,0,38,358550.458,0.500,-0.139,0.144,-0.843,3097,1383,1758,3097,1965,2181,1123,1999,46,1.017,0,97,1,3.920,0.342,-2.625,2.813,-0.750,0.383,-0.164,0.914,0.293,0.176,0.059,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,39,358555.459,0.499,-0.136,0.147,-0.843,3100,1395,1776,3099,1967,2184,1123,1997,46,1.017,0,97,1,5.272,0.327,-3.500,3.938,-0.188,0.375,-0.176,0.906,0.293,0.145,-0.031,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,39,39,0,39,358560.458,0.500,-0.136,0.147,-0.843,3099,1400,1789,3096,1966,2171,1127,1989,46,1.017,0,97,1,5.732,0.330,-4.188,3.688,-1.313,0.367,-0.172,0.906,0.297,0.145,-0.105,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,358565.457,0.500,-0.136,0.147,-0.843,3099,1407,1799,3099,1973,2172,1132,1979,46,1.017,0,97,1,4.323,0.308,-3.250,1.750,-2.250,0.387,-0.164,0.938,0.297,0.082,-0.105,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,358570.458,0.500,-0.136,0.147,-0.843,3101,1421,1815,3111,1975,2173,1133,1981,46,1.017,0,97,1,1.897,0.190,-1.250,1.250,-0.688,0.395,-0.156,0.941,0.172,0.082,0.203,0.000,0.000,0.000,0.000,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
