condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,0,0,0,0,61068.375,0.961,-0.183,0.204,-0.031,0,0,0,0,0,0,0,0,38,0.000,1,22,0,262.196,2.208,-134.313,225.000,-9.063,0.426,0.297,1.664,-1.336,-1.758,7.098,2.244,2.486,0.841,1.082,0,NULL,NULL,1042.000,0,0,0,7,255,0,250,0,0
baseline,0,0,0,0,61073.375,0.964,-0.177,0.194,-0.031,0,0,0,0,0,0,0,0,38,0.000,1,22,0,258.493,2.012,-133.000,221.563,-6.313,0.473,0.281,1.664,-0.992,-1.750,7.102,2.252,2.496,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,61078.373,0.967,-0.171,0.185,-0.031,0,0,0,0,0,0,0,0,38,0.000,1,22,0,256.880,1.680,-135.000,218.438,-6.875,0.492,0.277,1.668,-0.230,-1.664,7.242,2.260,2.506,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,61083.376,0.970,-0.165,0.177,-0.031,0,0,0,0,0,0,0,0,38,0.000,1,22,0,255.233,1.513,-140.375,213.125,-4.063,0.469,0.270,1.699,0.293,-1.484,7.348,2.270,2.514,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,61088.376,0.972,-0.158,0.168,-0.031,0,0,0,0,0,0,0,0,38,0.000,1,22,0,251.923,1.429,-142.313,207.875,0.563,0.523,0.254,1.746,0.293,-1.398,7.559,2.276,2.524,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,61093.375,0.975,-0.152,0.160,-0.032,0,0,0,0,0,0,0,0,38,0.000,1,22,0,250.206,1.745,-144.500,204.250,2.125,0.574,0.234,1.801,1.043,-1.398,8.094,2.284,2.532,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,61098.373,0.977,-0.145,0.152,-0.032,0,0,0,0,0,0,0,0,38,0.000,1,22,0,244.821,2.213,-146.625,196.000,4.750,0.613,0.227,1.852,1.719,-1.395,8.691,2.290,2.540,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,61103.375,0.979,-0.139,0.144,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,236.723,2.698,-140.938,190.188,1.813,0.672,0.172,1.859,2.305,-1.402,9.227,2.294,2.546,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,61108.373,0.981,-0.132,0.137,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,230.661,3.436,-144.313,179.938,-0.875,0.660,0.230,1.891,3.176,-1.313,9.266,2.298,2.550,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,59,59,0,59,61113.375,0.983,-0.126,0.130,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,221.790,3.356,-140.938,171.250,1.000,0.727,0.184,1.746,3.262,-0.789,9.266,2.300,2.552,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,61118.375,0.985,-0.119,0.123,-0.034,0,0,0,0,0,0,0,0,38,0.000,1,22,0,224.541,4.476,-153.438,163.938,0.438,0.762,0.309,1.852,4.422,-0.695,9.422,2.300,2.554,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,61123.375,0.986,-0.112,0.117,-0.034,0,0,0,0,0,0,0,0,38,0.000,1,22,0,218.903,4.735,-153.563,156.000,1.125,0.832,0.191,1.770,4.734,-0.051,8.500,2.298,2.554,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,61128.373,0.988,-0.105,0.110,-0.034,0,0,0,0,0,0,0,0,38,0.000,1,22,0,220.465,5.877,-158.563,153.063,-5.875,0.859,0.297,1.875,5.844,0.629,9.422,2.296,2.552,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,60,60,0,60,61133.375,0.989,-0.098,0.104,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,216.841,6.147,-156.375,150.000,-8.188,0.863,0.180,1.793,6.137,0.348,8.598,2.290,2.546,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,73,73,0,73,61138.373,0.990,-0.091,0.098,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,216.320,6.704,-155.438,150.000,-11.563,0.871,0.309,1.957,6.609,1.121,9.594,2.282,2.540,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,73,73,0,73,61143.375,0.992,-0.085,0.092,-0.033,0,0,0,0,0,0,0,0,38,0.000,1,22,0,206.958,6.690,-143.250,149.000,-10.500,0.895,0.156,1.836,6.664,0.594,8.816,2.272,2.532,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,82,82,0,82,61148.373,0.993,-0.079,0.085,-0.032,0,0,0,0,0,0,0,0,38,0.000,1,22,0,205.404,7.524,-140.813,148.813,-14.750,0.906,0.320,1.883,7.332,1.688,9.285,2.258,2.520,0.841,1.082,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
