condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,5,5,0,5,3768053.375,-0.224,-0.269,-0.172,-0.921,1581,0,0,1779,140,724,401,279,40,0.000,0,2334,0,2.094,0.417,1.063,-0.438,-1.750,0.457,0.195,0.859,0.359,-0.211,-0.129,0.000,0.000,0.000,0.000,3,NULL,NULL,1042.000,2,0,2,7,255,1042,200,0,0
pre_stim,21,21,0,21,3768058.375,-0.224,-0.269,-0.172,-0.921,1572,0,0,1769,139,723,395,281,40,0.000,0,2334,0,1.743,0.613,-1.313,0.563,1.000,0.492,0.043,0.887,-0.441,0.426,0.105,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,21,21,0,21,3768063.375,-0.224,-0.269,-0.172,-0.921,1587,0,0,1790,141,725,403,280,40,0.000,0,2334,0,1.985,0.717,1.750,-0.750,-0.563,0.465,0.207,0.852,0.418,-0.582,-0.121,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,21,21,0,21,3768068.375,-0.224,-0.269,-0.172,-0.921,1582,0,0,1769,141,724,396,279,40,0.000,0,2334,0,1.586,0.801,-1.375,0.750,0.250,0.492,0.039,0.891,-0.441,0.668,0.105,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,51,51,0,51,3768073.375,-0.224,-0.269,-0.172,-0.921,1581,0,0,1783,139,723,403,279,40,0.000,0,2334,0,1.230,0.818,0.813,-0.813,-0.438,0.457,0.207,0.852,0.418,-0.703,-0.121,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,51,51,0,51,3768078.375,-0.224,-0.269,-0.172,-0.921,1593,0,0,1783,139,724,403,270,40,0.000,0,2334,0,1.528,0.797,0.438,0.938,1.125,0.504,0.039,0.887,-0.441,0.664,0.133,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,51,51,0,51,3768083.375,-0.224,-0.269,-0.172,-0.921,1575,0,0,1783,141,725,403,281,40,0.000,0,2334,0,2.632,0.706,-1.188,-1.000,-2.125,0.441,0.195,0.859,0.461,-0.535,-0.141,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,51,51,0,51,3768088.375,-0.224,-0.269,-0.172,-0.921,1577,0,0,1783,139,725,402,279,40,0.000,0,2334,0,3.712,0.634,1.875,1.125,3.000,0.520,0.070,0.879,-0.535,0.340,0.145,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,52,52,0,52,3768093.375,-0.224,-0.269,-0.172,-0.921,1577,0,0,1781,140,724,402,279,40,0.000,0,2334,0,3.630,0.292,-1.500,-0.875,-3.188,0.449,0.141,0.867,0.289,-0.043,-0.156,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
pre_stim,52,52,0,52,3768098.375,-0.224,-0.269,-0.172,-0.921,1577,0,0,1785,139,725,396,277,40,0.000,0,2334,0,2.708,0.043,0.875,0.563,2.500,0.484,0.137,0.871,0.004,-0.043,0.063,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,2,7,255,1042,200,0,0
