condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,3,3,0,3,95472.393,0.993,-0.121,-0.010,-0.008,0,1643,2347,2571,2235,1932,2131,2135,52,0.000,1,24,1,0.280,0.031,0.250,0.125,0.000,-0.016,0.258,0.973,-0.023,-0.020,0.008,0.000,0.000,0.793,0.888,2,NULL,NULL,1168.000,0,0,0,7,255,0,250,0,0
baseline,3,3,0,3,95477.393,0.993,-0.121,-0.010,-0.008,0,1639,2344,2571,2231,1927,2123,2134,52,0.000,1,24,1,0.400,0.025,0.250,0.188,-0.250,-0.020,0.258,0.969,-0.016,-0.020,0.008,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,95482.394,0.993,-0.121,-0.010,-0.008,0,1637,2345,2569,2233,1928,2127,2135,52,0.000,1,24,1,0.342,0.022,0.313,0.125,-0.063,-0.023,0.262,0.969,-0.016,-0.016,0.008,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,95487.393,0.993,-0.121,-0.010,-0.008,0,1631,2341,2577,2224,1916,2133,2127,52,0.000,1,24,1,0.508,0.016,0.438,-0.063,0.250,-0.016,0.262,0.965,-0.016,0.000,0.004,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,95492.393,0.993,-0.121,-0.010,-0.008,0,1629,2333,2566,2223,1917,2124,2131,52,0.000,1,24,1,0.508,0.030,0.438,-0.250,-0.063,-0.012,0.262,0.965,0.012,0.027,-0.020,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,41,41,0,41,95497.393,0.993,-0.121,-0.010,-0.008,0,1625,2332,2571,2227,1913,2129,2127,52,0.000,1,24,1,0.538,0.036,0.188,-0.250,-0.438,-0.016,0.262,0.965,0.023,0.027,-0.020,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,95502.393,0.993,-0.121,-0.010,-0.008,0,1628,2329,2577,2216,1914,2122,2124,52,0.000,1,24,1,0.370,0.033,-0.313,0.063,-0.188,-0.023,0.254,0.973,0.023,0.023,-0.020,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,95507.393,0.993,-0.121,-0.010,-0.008,0,1623,2327,2567,2215,1913,2117,2125,52,0.000,1,24,1,0.841,0.045,0.000,0.563,0.625,-0.023,0.262,0.977,-0.043,-0.012,0.027,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,95512.394,0.993,-0.121,-0.010,-0.008,0,1621,2322,2573,2212,1912,2118,2118,52,0.000,1,24,1,1.281,0.045,1.000,0.500,0.625,-0.016,0.277,0.965,-0.043,-0.012,0.027,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,95517.393,0.993,-0.121,-0.010,-0.008,0,1603,2309,2547,2207,1909,2120,2105,52,0.000,1,24,1,1.120,0.120,0.875,-0.125,-0.688,-0.012,0.270,0.961,0.027,0.117,0.016,0.000,0.000,0.793,0.888,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
