condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,19,19,0,19,4443482.393,0.854,-0.041,-0.144,0.498,0,0,0,2171,0,783,0,0,5,0.734,1,2737,0,272.779,30.131,-55.000,-175.875,-201.125,-1.258,-2.355,0.809,-30.000,-2.809,-42.992,2.474,2.496,1.096,1.120,0,NULL,NULL,1168.000,2,0,1,7,255,1168,250,0,0
pre_stim,19,19,0,19,4443487.394,0.849,-0.042,-0.137,0.508,0,0,0,2317,0,867,0,0,5,0.734,1,2737,0,317.816,24.420,140.875,-133.000,-251.938,-4.109,-0.418,3.918,-24.258,-2.809,2.566,2.450,2.472,1.096,1.120,0,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,20,20,0,20,4443492.393,0.853,-0.057,-0.124,0.504,0,0,0,2463,0,980,0,0,5,0.734,1,2737,0,470.914,28.326,424.250,-77.938,188.938,-3.859,1.035,1.656,-15.008,24.023,15.961,2.422,2.446,1.096,1.120,0,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,20,20,0,20,4443497.394,0.862,-0.070,-0.112,0.490,0,0,0,2606,0,1052,0,10,5,0.734,1,2737,0,563.625,24.856,357.063,-91.563,426.375,-0.559,-0.020,-1.570,-6.379,24.023,15.961,2.390,2.412,1.096,1.120,0,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,28,28,0,28,4443502.393,0.866,-0.070,-0.106,0.483,0,0,0,2749,0,1081,0,183,34,0.734,1,2738,0,235.458,9.343,42.938,-91.438,212.688,1.348,-0.211,-1.012,-4.457,8.211,-22.750,2.354,2.376,1.096,1.120,1,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,28,28,0,28,4443507.394,0.867,-0.065,-0.102,0.483,0,0,0,2876,0,1111,0,320,34,0.734,1,2738,0,165.396,4.278,-65.938,-151.375,9.688,0.652,0.949,0.492,4.039,-1.410,-22.750,2.312,2.336,1.096,1.120,1,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,58,58,0,58,4443512.393,0.867,-0.062,-0.097,0.484,0,0,0,2981,0,1137,0,459,34,0.734,1,2738,0,142.196,11.761,8.188,-139.500,-26.313,-0.762,2.059,0.285,11.676,-1.410,-6.254,2.264,2.288,1.096,1.120,1,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,58,58,0,58,4443517.394,0.870,-0.059,-0.091,0.481,0,0,0,3065,0,1207,0,628,34,0.734,1,2738,0,171.327,19.915,-9.625,-142.625,94.438,-1.055,1.793,-0.301,11.676,16.133,-6.254,2.212,2.236,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,59,59,0,59,4443522.393,0.874,-0.051,-0.087,0.475,0,0,0,3128,0,1275,0,845,34,0.734,1,2738,0,251.068,18.637,-125.250,-156.250,151.438,-0.344,0.594,0.676,9.332,16.133,-4.617,2.158,2.182,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,59,59,0,59,4443527.394,0.878,-0.045,-0.082,0.470,0,0,0,3160,0,1361,0,1047,34,0.734,1,2738,0,239.093,10.277,-86.125,-172.000,142.000,0.082,0.895,1.691,9.113,4.750,-2.426,2.094,2.118,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,59,59,0,59,4443532.393,0.881,-0.042,-0.075,0.466,0,0,0,3195,0,1454,0,1261,34,0.734,1,2738,0,224.776,9.227,2.063,-182.375,131.375,0.469,0.977,1.613,9.113,1.441,5.293,2.026,2.050,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,59,59,0,59,4443537.394,0.883,-0.039,-0.067,0.462,0,0,0,3227,0,1606,0,1417,34,0.734,1,2738,0,215.641,11.082,18.875,-184.438,110.125,0.898,0.664,1.219,11.055,-0.781,5.293,1.954,1.980,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,81,81,0,81,4443542.393,0.885,-0.036,-0.060,0.460,0,0,0,3229,0,1699,0,1525,34,0.734,1,2738,0,193.812,12.696,3.250,-181.250,68.563,1.305,0.734,1.223,11.633,-5.086,0.887,1.872,1.898,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,81,81,0,81,4443547.394,0.885,-0.033,-0.053,0.461,0,0,0,3229,0,1791,0,1609,34,0.734,1,2738,0,165.306,13.667,18.063,-163.125,-19.750,1.188,0.520,1.102,11.266,-7.738,0.582,1.786,1.810,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,81,81,0,81,4443552.394,0.884,-0.030,-0.047,0.465,0,0,0,3229,0,1915,0,1681,34,0.734,1,2738,0,174.122,13.667,13.938,-148.063,-90.563,0.609,0.488,0.844,11.266,-7.738,-0.324,1.692,1.716,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
pre_stim,81,81,0,81,4443557.394,0.882,-0.027,-0.043,0.469,0,0,0,3224,20,2031,0,1788,34,0.734,1,2738,0,170.168,8.168,-11.750,-133.000,-105.500,0.105,0.465,0.918,7.586,-3.027,-0.777,1.584,1.608,1.096,1.120,2,NULL,NULL,,2,0,1,7,255,1168,250,0,0
