condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,42,42,0,42,302287.421,-0.853,-0.105,-0.064,-0.507,2619,1629,3590,1710,1228,2910,2195,3029,47,0.744,1,44,1,31.782,0.416,-3.875,-24.188,-20.250,0.203,-0.121,0.934,-0.410,-0.070,-0.066,0.130,0.046,0.822,1.005,2,NULL,NULL,1106.000,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,302292.422,-0.853,-0.106,-0.065,-0.507,2541,1619,3611,1579,1267,2895,2217,3044,47,0.744,1,44,1,33.484,0.477,-10.500,-23.250,-21.688,0.250,-0.156,1.027,-0.441,-0.180,-0.066,0.128,0.048,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,302297.421,-0.852,-0.106,-0.065,-0.508,2471,1619,3612,1439,1303,2907,2279,3055,47,0.744,1,44,1,38.826,0.366,-2.250,-21.688,-32.125,0.258,-0.105,1.078,-0.313,-0.191,0.617,0.126,0.050,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,42,42,0,42,302302.422,-0.851,-0.107,-0.066,-0.510,2377,1604,3616,1307,1378,2895,2309,3076,47,0.744,1,44,1,41.955,0.478,-2.750,-25.438,-33.250,0.195,-0.121,1.094,-0.438,-0.191,1.102,0.126,0.054,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,302307.421,-0.850,-0.107,-0.068,-0.511,2301,1597,3628,1164,1447,2901,2331,3087,47,0.744,1,44,1,41.625,0.360,4.438,-26.625,-31.688,0.188,-0.086,1.039,-0.164,0.320,1.102,0.122,0.056,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,302312.422,-0.850,-0.107,-0.069,-0.512,2179,1587,3640,1051,1493,2901,2358,3099,47,0.744,1,44,1,37.659,0.542,5.188,-25.063,-27.625,0.191,-0.137,1.020,-0.438,0.320,0.527,0.120,0.060,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,302317.421,-0.849,-0.108,-0.070,-0.512,2067,1588,3632,924,1557,2884,2390,3101,47,0.744,1,44,1,35.071,0.457,2.188,-27.375,-21.813,0.219,-0.129,1.020,-0.434,0.145,0.477,0.116,0.064,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,43,43,0,43,302322.422,-0.849,-0.108,-0.071,-0.513,1947,1565,3632,787,1591,2871,2419,3104,47,0.744,1,44,1,35.449,0.434,-0.688,-26.750,-23.250,0.246,-0.125,1.070,-0.434,-0.023,0.477,0.114,0.068,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,302327.421,-0.848,-0.109,-0.072,-0.514,1805,1549,3643,629,1655,2857,2440,3131,47,0.744,1,44,1,38.807,0.439,4.500,-31.563,-22.125,0.238,-0.156,1.102,-0.434,-0.070,1.008,0.112,0.072,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,46,46,0,46,302332.422,-0.847,-0.109,-0.073,-0.515,1640,1523,3657,463,1687,2848,2467,3125,47,0.744,1,44,1,41.741,0.275,5.375,-31.375,-27.000,0.258,-0.117,1.137,-0.266,-0.070,1.320,0.108,0.076,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,302337.422,-0.847,-0.109,-0.075,-0.515,1489,1481,3647,302,1719,2833,2472,3133,47,0.744,1,44,1,49.127,0.502,10.688,-38.188,-29.000,0.223,-0.125,1.145,-0.496,0.074,1.645,0.106,0.082,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,302342.422,-0.846,-0.110,-0.077,-0.516,1335,1447,3661,215,1761,2803,2477,3141,47,0.744,1,44,1,48.691,0.492,13.250,-39.938,-24.500,0.219,-0.102,1.090,-0.332,0.363,1.645,0.102,0.088,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,70,70,0,70,302347.421,-0.845,-0.110,-0.079,-0.517,1168,1402,3677,145,1805,2795,2521,3129,47,0.744,1,44,1,46.827,0.615,12.563,-39.063,-22.563,0.219,-0.129,1.121,-0.496,0.363,1.426,0.100,0.094,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,70,70,0,70,302352.422,-0.845,-0.110,-0.081,-0.517,1015,1361,3659,71,1846,2766,2533,3144,47,0.744,1,44,1,50.308,0.513,10.938,-45.563,-18.313,0.254,-0.090,1.164,-0.332,0.391,1.426,0.096,0.100,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,302357.421,-0.844,-0.111,-0.083,-0.518,873,1325,3669,21,1885,2735,2557,3149,47,0.744,1,44,1,52.084,0.724,17.250,-44.750,-20.313,0.223,-0.133,1.141,-0.602,0.402,1.621,0.092,0.108,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,302362.422,-0.844,-0.111,-0.085,-0.518,617,1293,3671,0,1914,2711,2579,3129,47,0.744,1,44,1,54.876,0.491,16.500,-48.313,-20.125,0.234,-0.078,1.191,-0.230,0.434,1.879,0.088,0.116,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,84,84,0,84,302367.421,-0.843,-0.111,-0.087,-0.519,537,1259,3685,0,1941,2681,2589,3132,47,0.744,1,44,1,62.087,1.028,23.375,-53.813,-20.313,0.195,-0.184,1.230,-0.715,0.738,2.090,0.086,0.126,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,84,84,0,84,302372.422,-0.843,-0.111,-0.090,-0.519,440,1231,3694,0,1949,2630,2592,3145,47,0.744,1,44,1,64.155,0.842,28.250,-54.063,-19.875,0.211,-0.070,1.238,-0.391,0.746,2.410,0.084,0.138,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,100,100,0,100,302377.421,-0.842,-0.111,-0.093,-0.519,381,1179,3687,0,2005,2607,2643,3133,47,0.744,1,44,0,72.942,1.711,33.688,-62.250,-17.625,0.188,-0.156,1.266,-1.313,1.098,2.457,0.084,0.148,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,100,100,0,100,302382.422,-0.842,-0.112,-0.096,-0.519,309,1146,3693,0,2031,2572,2654,3127,47,0.744,1,44,0,70.254,1.165,30.313,-61.500,-15.313,0.242,-0.063,1.250,-0.391,1.098,2.605,0.086,0.162,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,302387.422,-0.841,-0.112,-0.099,-0.520,293,1095,3689,0,2055,2519,2675,3104,47,0.744,1,44,0,75.310,1.459,29.188,-66.500,-19.938,0.258,-0.133,1.344,-1.012,1.051,2.684,0.090,0.178,0.822,1.005,2,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,302392.422,-0.840,-0.112,-0.102,-0.520,207,1077,3707,0,2077,2475,2685,3111,47,0.744,1,44,0,81.625,1.251,31.500,-71.438,-23.813,0.262,-0.090,1.363,-0.680,1.051,3.590,0.100,0.198,0.822,1.005,3,NULL,NULL,,0,0,0,7,255,0,250,0,0
