condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_speedValid,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_prevStrideVelRaw,R_prevStrideVelZUPT,R_prevStrideDispRaw,R_prevStrideDispZUPT,R_gaitPhase,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,0,4075947.422,0.997,0.063,0.010,-0.042,0,270,0,1792,0,425,0,0,13,0.000,1,2315,1,11.985,0.225,-1.063,9.625,7.063,0.012,-0.109,1.004,0.219,0.055,0.094,0.000,0.000,0.608,0.696,2,NULL,NULL,1106.000,2,0,2,7,255,1106,250,0,0
pre_stim,0,0,0,0,4075952.421,0.997,0.063,0.010,-0.042,0,263,0,1723,0,391,0,0,13,0.000,1,2315,1,14.731,0.225,-4.563,8.750,10.938,0.055,-0.035,0.980,0.219,0.055,0.094,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,0,0,0,0,4075957.422,0.997,0.063,0.009,-0.043,0,269,0,1695,0,294,0,0,13,0.000,1,2315,1,10.771,0.311,-7.000,7.688,2.813,0.047,-0.094,1.012,0.297,0.094,0.094,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,0,0,0,0,4075962.421,0.997,0.063,0.009,-0.043,0,251,0,1640,0,230,0,0,13,0.000,1,2315,1,16.617,0.311,-3.938,13.188,9.313,0.008,-0.168,1.027,0.297,0.094,0.160,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,11,11,0,11,4075967.422,0.997,0.064,0.008,-0.043,0,245,0,1534,0,187,0,0,13,0.000,1,2315,1,15.359,0.293,-9.063,9.313,8.188,0.043,-0.102,1.023,0.289,0.047,0.250,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,11,11,0,11,4075972.422,0.997,0.064,0.008,-0.043,0,240,0,1419,0,145,0,0,13,0.000,1,2315,1,11.901,0.617,-5.250,10.250,3.000,-0.012,-0.191,1.047,0.004,-0.617,0.352,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,44,44,0,44,4075977.422,0.997,0.064,0.007,-0.044,0,237,0,1261,0,107,0,0,13,0.000,1,2315,1,20.363,0.221,-5.375,12.063,15.500,0.016,-0.129,1.035,0.051,-0.215,0.395,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,44,44,0,44,4075982.421,0.997,0.065,0.007,-0.044,0,230,0,1112,0,95,0,0,13,0.000,1,2315,1,15.935,0.301,-7.750,9.688,10.000,0.063,-0.141,1.012,0.051,-0.297,0.395,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,45,45,0,45,4075987.422,0.997,0.065,0.006,-0.045,0,230,0,969,0,87,0,0,13,0.000,1,2315,1,21.085,0.548,-4.750,13.625,15.375,0.051,-0.160,1.059,0.461,-0.297,0.395,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,45,45,0,45,4075992.421,0.997,0.065,0.006,-0.046,0,222,0,841,0,72,0,0,13,0.000,1,2315,1,19.628,0.646,-6.563,13.750,12.375,0.008,-0.176,1.020,0.461,-0.453,0.289,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,65,65,0,65,4075997.422,0.997,0.066,0.005,-0.046,0,221,0,668,0,61,0,0,13,0.000,1,2315,1,24.988,0.456,-3.375,16.313,18.625,0.000,-0.098,1.090,0.047,-0.453,0.660,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,65,65,0,65,4076002.421,0.997,0.066,0.004,-0.048,0,218,0,549,0,60,0,0,13,0.000,1,2315,1,37.423,0.584,-2.188,21.125,30.813,0.074,-0.176,1.020,0.047,-0.582,0.289,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076007.422,0.997,0.066,0.003,-0.049,0,215,0,425,0,61,0,0,13,0.000,1,2315,1,30.047,0.746,-6.750,21.500,19.875,0.063,-0.152,1.000,0.621,-0.414,0.289,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076012.421,0.997,0.067,0.002,-0.050,0,207,0,337,0,48,0,0,13,0.000,1,2315,1,44.238,0.952,-15.125,26.000,32.438,0.074,-0.223,1.156,0.754,-0.582,0.289,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076017.422,0.996,0.067,0.001,-0.051,0,203,0,280,0,43,0,0,13,0.000,1,2315,1,35.829,1.079,13.063,26.563,20.188,0.047,-0.254,1.145,0.621,-0.883,1.582,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076022.422,0.996,0.066,0.000,-0.053,0,203,0,189,0,39,0,0,13,0.000,1,2315,1,51.600,1.200,6.875,26.063,44.000,0.195,-0.043,1.035,0.813,-0.883,1.582,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076027.422,0.996,0.066,-0.001,-0.054,0,200,0,151,0,41,0,0,13,0.000,1,2315,0,40.417,1.997,0.688,25.000,31.750,0.348,-0.219,1.039,1.879,-0.676,0.523,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,67,67,0,67,4076032.421,0.996,0.067,-0.002,-0.055,0,190,0,107,0,40,0,0,13,0.000,1,2315,0,38.803,3.641,-14.563,24.250,26.563,0.355,-0.348,1.438,3.578,-0.676,0.523,0.000,0.000,0.608,0.696,2,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,79,79,0,79,4076037.422,0.996,0.066,-0.003,-0.056,0,187,0,59,0,28,0,0,13,0.000,1,2315,0,39.960,3.862,25.375,21.000,22.625,0.289,-0.434,1.488,3.578,-1.453,4.539,0.000,0.000,0.608,0.696,4,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,79,79,0,79,4076042.421,0.996,0.064,-0.004,-0.057,0,192,0,33,0,35,0,0,13,0.000,1,2315,0,64.352,3.592,52.125,18.750,32.750,0.277,-0.199,1.117,3.285,-1.453,4.539,0.000,0.000,0.608,0.696,4,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,88,88,0,88,4076047.422,0.996,0.062,-0.004,-0.059,0,191,0,35,0,35,0,0,13,0.000,1,2315,0,59.124,3.324,40.063,13.938,41.188,0.371,-0.152,1.102,3.285,-0.504,1.219,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,88,88,0,88,4076052.420,0.996,0.061,-0.004,-0.060,0,200,0,43,0,37,0,0,13,0.000,1,2315,0,45.967,3.062,40.188,5.250,21.688,0.285,-0.195,1.199,3.027,-0.457,1.219,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,102,102,0,102,4076057.422,0.996,0.059,-0.004,-0.061,0,190,0,41,0,29,0,0,13,0.000,1,2315,0,52.226,3.027,41.438,-6.750,31.063,0.246,-0.121,1.137,3.027,0.016,1.348,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,102,102,0,102,4076062.420,0.996,0.057,-0.004,-0.063,0,199,0,45,0,31,0,0,13,0.000,1,2315,0,52.758,3.049,39.188,-14.688,32.125,0.324,-0.164,0.965,3.027,-0.359,1.348,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,110,110,0,110,4076067.422,0.996,0.056,-0.003,-0.064,0,196,0,63,0,33,0,0,13,0.000,1,2315,0,44.895,3.031,30.313,-19.438,26.813,0.301,-0.102,0.750,3.031,-0.012,-0.320,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,110,110,0,110,4076072.421,0.996,0.055,-0.002,-0.065,0,189,0,59,0,33,0,0,13,0.000,1,2315,0,39.489,3.034,10.000,-22.063,31.188,0.242,-0.109,0.793,3.031,-0.121,-2.008,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,118,118,0,118,4076077.421,0.996,0.055,-0.001,-0.067,0,197,0,75,0,33,0,0,13,0.000,1,2315,0,38.582,2.472,2.250,-24.000,30.125,0.180,-0.133,1.031,2.469,-0.121,-2.008,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,118,118,0,118,4076082.421,0.996,0.055,0.001,-0.068,0,192,0,82,0,30,0,0,13,0.000,1,2315,0,48.527,2.148,7.688,-25.000,40.875,0.203,-0.188,1.063,2.137,-0.219,0.340,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,148,148,0,148,4076087.422,0.996,0.054,0.002,-0.070,0,187,0,78,0,38,0,0,13,0.000,1,2315,0,49.562,2.242,7.313,-24.750,42.313,0.219,-0.238,1.070,2.137,-0.680,0.691,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,148,148,0,148,4076092.421,0.996,0.054,0.003,-0.072,0,192,0,84,0,27,0,0,13,0.000,1,2315,0,46.471,2.242,13.625,-24.500,37.063,0.102,-0.156,1.141,2.137,-0.680,0.809,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,149,149,0,149,4076097.422,0.996,0.053,0.004,-0.074,0,189,0,87,0,33,0,0,13,0.000,1,2315,0,62.100,1.183,22.000,-23.875,52.938,0.086,-0.148,1.051,1.070,-0.504,0.809,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,149,149,0,149,4076102.421,0.996,0.052,0.005,-0.077,0,190,0,92,0,28,0,0,13,0.000,1,2315,0,67.021,1.183,19.938,-24.313,59.188,0.176,-0.195,0.977,1.070,-0.504,0.563,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,149,149,0,149,4076107.421,0.996,0.051,0.006,-0.079,0,192,0,89,0,26,0,0,13,0.000,1,2315,0,60.325,1.226,19.688,-25.000,51.250,0.113,-0.141,0.973,1.117,-0.504,-0.133,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,149,149,0,149,4076112.421,0.995,0.050,0.007,-0.082,0,189,0,93,0,31,0,0,13,0.000,1,2315,0,67.971,1.213,19.313,-25.875,59.813,0.039,-0.098,0.922,1.117,-0.473,-0.188,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,163,163,0,163,4076117.421,0.995,0.050,0.008,-0.085,0,187,0,91,0,30,0,0,13,0.000,1,2315,0,75.260,1.029,13.688,-28.313,68.375,0.090,-0.145,0.883,0.914,-0.473,-0.750,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,163,163,0,163,4076122.421,0.995,0.049,0.010,-0.087,0,190,0,95,0,35,0,0,13,0.000,1,2315,0,70.276,0.688,9.125,-31.063,62.375,0.055,-0.121,0.867,0.500,-0.473,-1.098,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,170,170,0,170,4076127.421,0.995,0.049,0.011,-0.090,0,186,0,103,0,33,0,0,13,0.000,1,2315,0,71.683,0.688,5.438,-32.813,63.500,-0.066,-0.055,0.848,0.500,-0.473,-1.242,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,170,170,0,170,4076132.421,0.994,0.049,0.012,-0.094,0,184,0,99,0,28,0,0,13,0.000,1,2315,0,81.510,0.878,0.438,-33.625,74.250,-0.094,-0.086,0.848,-0.766,-0.430,-1.484,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,177,177,0,177,4076137.421,0.994,0.049,0.013,-0.097,0,185,0,98,0,35,0,0,13,0.000,1,2315,0,85.264,0.916,-1.813,-34.813,77.813,-0.082,-0.137,0.895,-0.809,-0.430,-1.484,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,177,177,0,177,4076142.421,0.994,0.049,0.015,-0.100,0,187,0,94,0,31,0,0,13,0.000,1,2315,0,84.979,1.253,-1.250,-36.063,76.938,-0.137,-0.113,0.898,-0.988,-0.770,-0.977,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,192,192,0,192,4076147.421,0.993,0.049,0.016,-0.104,0,181,0,103,0,33,0,0,13,0.000,1,2315,0,89.632,1.603,-1.375,-37.688,81.313,-0.195,-0.098,0.906,-1.406,-0.770,-0.969,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,192,192,0,192,4076152.421,0.993,0.049,0.017,-0.108,0,189,0,119,0,29,0,0,13,0.000,1,2315,0,96.612,2.166,1.438,-38.438,88.625,-0.195,-0.094,0.855,-2.027,-0.762,-0.969,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,200,200,0,200,4076157.421,0.992,0.049,0.018,-0.112,0,191,0,135,0,31,0,0,13,0.000,1,2315,0,101.267,2.159,-0.813,-38.125,93.813,-0.184,-0.074,0.762,-2.027,-0.742,-1.438,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,200,200,0,200,4076162.421,0.992,0.049,0.020,-0.116,0,184,0,149,0,39,0,0,13,0.000,1,2315,0,102.754,2.082,-7.313,-37.688,95.313,-0.188,-0.059,0.754,-1.988,-0.617,-2.359,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,210,210,0,210,4076167.422,0.991,0.049,0.022,-0.120,0,187,0,154,0,40,0,0,13,0.000,1,2315,0,105.510,2.058,-11.063,-36.500,98.375,-0.191,-0.063,0.797,-1.988,-0.531,-2.359,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,210,210,0,210,4076172.421,0.991,0.050,0.023,-0.125,0,184,0,153,0,37,0,0,13,0.000,1,2315,0,108.611,2.149,-12.625,-34.563,102.188,-0.195,-0.070,0.820,-2.082,-0.531,-2.035,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,246,246,0,246,4076177.422,0.990,0.050,0.024,-0.129,0,180,0,151,0,42,0,0,13,0.000,1,2315,0,110.746,2.174,-14.625,-33.625,104.500,-0.191,-0.078,0.848,-2.082,-0.625,-1.840,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,246,246,0,246,4076182.421,0.989,0.051,0.025,-0.134,0,186,0,153,0,45,0,0,13,0.000,1,2315,0,111.553,2.190,-13.875,-32.688,105.750,-0.176,-0.105,0.848,-2.078,-0.691,-1.559,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,247,247,0,247,4076187.421,0.989,0.052,0.026,-0.139,0,186,0,157,0,50,0,0,13,0.000,1,2315,0,112.754,2.076,-13.000,-31.438,107.500,-0.164,-0.109,0.832,-1.879,-0.883,-1.559,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,247,247,0,247,4076192.420,0.988,0.052,0.027,-0.143,0,183,0,156,0,47,0,0,13,0.000,1,2315,0,113.186,1.967,-12.375,-30.438,108.313,-0.145,-0.105,0.809,-1.758,-0.883,-1.660,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,247,247,0,247,4076197.422,0.987,0.053,0.028,-0.148,0,180,0,155,0,48,0,0,13,0.000,1,2315,0,112.454,1.831,-13.688,-29.813,107.563,-0.117,-0.125,0.813,-1.582,-0.922,-1.852,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,247,247,0,247,4076202.421,0.986,0.053,0.029,-0.153,0,183,0,157,0,48,0,0,13,0.000,1,2315,0,110.322,1.601,-13.875,-29.125,105.500,-0.090,-0.141,0.809,-1.266,-0.980,-1.852,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,248,248,0,248,4076207.421,0.986,0.054,0.030,-0.157,0,180,0,156,0,56,0,0,13,0.000,1,2315,0,106.555,1.420,-14.563,-28.313,101.688,-0.070,-0.145,0.789,-0.988,-1.020,-1.852,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,248,248,0,248,4076212.420,0.985,0.055,0.031,-0.161,0,180,0,158,0,53,0,0,13,0.000,1,2315,0,103.523,1.266,-15.063,-26.250,99.000,-0.051,-0.145,0.750,-0.750,-1.020,-2.016,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,260,260,0,260,4076217.421,0.984,0.056,0.032,-0.166,0,173,0,155,0,51,0,0,13,0.000,1,2315,0,99.624,1.130,-17.750,-23.938,95.063,-0.031,-0.152,0.734,-0.574,-0.973,-2.414,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,260,260,0,260,4076222.421,0.983,0.057,0.033,-0.169,0,179,0,157,0,56,0,0,13,0.000,1,2315,0,95.595,1.032,-20.125,-21.000,91.063,-0.016,-0.164,0.750,-0.344,-0.973,-2.414,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,267,267,0,267,4076227.421,0.983,0.058,0.034,-0.173,0,180,0,156,0,55,0,0,13,0.000,1,2315,0,90.991,1.064,-20.313,-17.875,86.875,0.000,-0.188,0.750,-0.188,-1.047,-2.375,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,267,267,0,267,4076232.421,0.982,0.059,0.035,-0.177,0,183,0,160,0,59,0,0,13,0.000,1,2315,0,85.767,1.176,-22.125,-15.313,81.438,0.031,-0.238,0.789,0.039,-1.176,-2.348,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,282,282,0,282,4076237.421,0.981,0.060,0.035,-0.180,0,181,0,155,0,56,0,0,13,0.000,1,2315,0,77.970,1.539,-19.938,-13.688,74.125,0.066,-0.262,0.832,0.434,-1.477,-1.871,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,282,282,0,282,4076242.421,0.981,0.061,0.036,-0.183,0,182,0,163,0,55,0,0,13,0.000,1,2315,0,68.250,1.734,-16.625,-12.188,65.063,0.094,-0.281,0.809,0.820,-1.527,-1.605,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,294,294,0,294,4076247.421,0.980,0.062,0.037,-0.185,0,180,0,171,0,55,0,0,13,0.000,1,2315,0,58.916,1.920,-15.688,-10.813,55.750,0.113,-0.277,0.754,1.164,-1.527,-1.605,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,294,294,0,294,4076252.420,0.980,0.063,0.037,-0.187,0,181,0,170,0,69,0,0,13,0.000,1,2315,0,51.340,2.021,-16.688,-9.125,47.688,0.133,-0.273,0.711,1.359,-1.496,-2.129,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,297,297,0,297,4076257.422,0.979,0.063,0.037,-0.189,0,198,0,135,0,123,0,0,13,0.000,1,2315,0,44.441,2.122,-19.500,-7.688,39.188,0.156,-0.281,0.703,1.547,-1.453,-2.527,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,297,297,0,297,4076262.421,0.979,0.065,0.038,-0.191,0,213,0,84,0,163,0,0,13,0.000,1,2315,0,58.043,2.280,-32.938,2.000,47.750,0.484,-0.129,1.016,1.801,-1.398,-2.527,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,313,313,0,313,4076267.420,0.978,0.066,0.035,-0.193,0,276,0,73,0,299,0,31,13,0.000,1,2315,0,92.391,4.182,-20.063,69.375,57.625,0.547,-0.988,2.691,3.941,-1.398,0.445,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
pre_stim,313,313,0,313,4076272.421,0.979,0.060,0.029,-0.192,0,302,0,172,0,349,0,55,13,0.000,1,2315,0,206.205,5.891,185.188,86.125,-28.438,-0.203,-0.707,2.043,3.941,-4.379,10.750,0.000,0.000,0.608,0.696,0,NULL,NULL,,2,0,2,7,255,1106,250,0,0
