condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,42,42,0,42,406852.446,-0.717,0.034,-0.049,0.695,0,0,0,0,691,0,0,759,46,1.134,1,VALID,31,0,321.826,1.710,148.750,284.375,-24.000,0.207,-0.258,1.922,1.301,-1.109,8.691,3.158,3.180,1.366,1.383,0,NULL,NULL,1027.000,0,0,0,7,255,0,250,0,0
baseline,47,47,0,47,406857.447,-0.718,0.030,-0.036,0.694,0,0,0,0,685,0,0,755,46,1.134,1,VALID,31,0,323.101,1.527,153.938,283.125,-23.188,0.266,-0.281,2.004,1.508,-0.238,9.238,3.194,3.216,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,51,51,0,51,406862.445,-0.719,0.027,-0.022,0.694,0,0,0,0,680,0,0,742,46,1.134,1,VALID,31,0,324.633,2.119,158.375,282.313,-24.563,0.328,-0.254,2.070,1.996,0.711,10.074,3.226,3.248,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,57,57,0,57,406867.446,-0.721,0.023,-0.008,0.693,0,0,0,0,668,0,0,733,46,1.134,1,VALID,31,0,326.325,2.652,160.375,282.688,-29.250,0.441,-0.211,2.168,1.996,1.746,10.684,3.260,3.282,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,61,61,0,61,406872.445,-0.722,0.020,0.005,0.692,0,0,0,0,659,0,0,721,46,1.134,1,VALID,31,0,326.593,3.886,162.375,281.938,-28.438,0.578,-0.234,2.273,2.031,3.313,11.602,3.290,3.314,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,406877.447,-0.722,0.017,0.019,0.691,0,0,0,0,651,0,0,729,46,1.134,1,VALID,31,0,324.175,5.739,162.813,279.063,-26.563,0.699,-0.273,2.371,2.566,5.133,12.563,3.322,3.344,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,72,72,0,72,406882.447,-0.723,0.013,0.032,0.690,0,0,0,0,635,0,0,731,46,1.134,1,VALID,31,0,321.394,7.608,162.875,275.438,-30.000,0.855,-0.277,2.422,3.395,6.809,13.316,3.352,3.376,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,406887.447,-0.724,0.010,0.046,0.689,0,0,0,0,629,0,0,731,46,1.134,1,VALID,31,0,318.746,9.712,165.250,271.375,-25.438,1.055,-0.305,2.531,3.863,8.910,13.566,3.382,3.404,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,406892.445,-0.724,0.008,0.059,0.687,0,0,0,0,619,0,0,727,46,1.134,1,VALID,31,0,313.244,12.333,162.875,266.938,-18.375,1.195,-0.344,2.563,4.680,11.410,14.074,3.410,3.434,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,86,86,0,86,406897.445,-0.724,0.005,0.072,0.686,0,0,0,0,613,0,0,736,46,1.134,1,VALID,31,0,308.688,14.350,158.625,264.000,-20.750,1.355,-0.281,2.578,5.367,13.309,14.074,3.438,3.462,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,92,92,0,92,406902.447,-0.724,0.002,0.085,0.685,0,0,0,0,613,0,0,733,46,1.134,1,VALID,31,0,304.150,16.404,152.500,262.813,-13.438,1.469,-0.313,2.578,5.535,15.441,13.715,3.466,3.490,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,96,96,0,96,406907.445,-0.723,-0.002,0.098,0.684,0,0,0,0,613,0,0,735,46,1.134,1,VALID,31,0,298.241,17.868,138.750,263.500,-16.250,1.559,-0.148,2.477,5.367,17.043,13.121,3.494,3.518,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,102,102,0,102,406912.446,-0.723,-0.006,0.110,0.682,0,0,0,0,614,0,0,739,46,1.134,1,VALID,31,0,293.709,18.999,125.125,265.563,-9.250,1.668,-0.105,2.492,4.707,18.406,11.734,3.520,3.546,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,406917.446,-0.722,-0.011,0.121,0.681,0,0,0,0,605,0,0,743,46,1.134,1,VALID,31,0,287.955,20.497,104.688,268.063,-10.063,1.797,-0.090,2.293,4.641,19.965,11.254,3.546,3.572,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,111,111,0,111,406922.445,-0.721,-0.016,0.132,0.680,0,0,0,0,614,0,0,745,46,1.134,1,VALID,31,0,283.850,21.835,93.500,268.000,-2.188,1.914,-0.223,2.160,4.641,21.336,8.629,3.570,3.596,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,116,116,0,116,406927.445,-0.719,-0.021,0.143,0.679,0,0,0,0,617,0,0,746,46,1.134,1,VALID,31,0,276.417,23.189,83.063,263.625,2.938,2.008,-0.219,1.855,5.469,22.535,6.414,3.592,3.618,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,122,122,0,122,406932.446,-0.718,-0.026,0.154,0.679,0,0,0,0,615,0,0,773,46,1.134,1,VALID,31,0,267.588,23.821,80.563,254.750,14.688,2.078,-0.320,1.625,5.777,23.109,2.770,3.614,3.640,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,127,127,0,127,406937.446,-0.716,-0.031,0.164,0.678,0,0,0,0,613,0,0,781,46,1.134,1,VALID,31,0,258.256,24.196,88.000,242.375,14.375,2.219,-0.363,1.215,5.996,23.441,-0.262,3.632,3.660,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,131,131,0,131,406942.445,-0.714,-0.034,0.174,0.678,0,0,0,0,620,0,0,787,46,1.134,1,VALID,31,0,253.733,24.623,106.375,228.438,29.688,2.410,-0.609,1.020,6.145,23.844,-5.059,3.650,3.678,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,137,137,0,137,406947.447,-0.711,-0.036,0.184,0.677,0,0,0,0,630,0,0,793,46,1.134,1,VALID,31,0,250.072,26.249,124.813,213.250,38.500,2.625,-0.660,0.688,7.914,25.027,-8.328,3.666,3.696,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,141,141,0,141,406952.445,-0.708,-0.037,0.195,0.677,0,0,0,0,632,0,0,807,46,1.134,1,VALID,31,0,259.809,26.953,157.875,197.500,59.750,2.672,-0.957,0.516,8.074,25.715,-12.656,3.680,3.710,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,147,147,0,147,406957.446,-0.705,-0.036,0.207,0.677,0,0,0,0,647,0,0,811,46,1.134,1,VALID,31,0,268.409,27.704,188.688,178.750,67.000,2.715,-1.090,0.414,10.309,25.715,-15.461,3.692,3.724,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,151,151,0,151,406962.445,-0.702,-0.033,0.218,0.677,0,0,0,0,650,0,0,816,46,1.134,1,VALID,31,0,281.612,28.040,220.813,158.688,73.250,2.754,-1.207,0.445,11.180,25.715,-17.316,3.702,3.734,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,157,157,0,157,406967.447,-0.699,-0.029,0.230,0.677,0,0,11,0,660,0,0,815,46,1.134,1,VALID,31,0,287.919,28.481,238.375,139.438,81.438,2.703,-1.371,0.578,12.137,25.766,-17.563,3.706,3.738,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,161,161,0,161,406972.445,-0.696,-0.024,0.241,0.676,0,0,28,0,671,0,0,815,46,1.134,1,VALID,31,0,288.994,29.238,253.500,118.813,71.688,2.645,-1.465,0.715,13.820,25.766,-17.563,3.702,3.736,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,167,167,0,167,406977.447,-0.693,-0.019,0.252,0.675,0,0,43,0,683,0,0,813,46,1.134,1,VALID,31,0,286.054,29.747,260.500,96.438,68.313,2.566,-1.602,1.031,14.867,25.766,-16.938,3.692,3.726,1.366,1.383,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
