condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,7,7,0,7,2183532.446,-0.735,0.027,-0.031,0.677,0,0,3436,0,3429,1611,2766,3187,49,0.788,1,VALID,1101,0,73.731,3.717,30.250,-67.063,-4.875,0.020,-0.211,1.621,1.434,-3.430,1.441,0.038,0.016,1.481,1.451,3,NULL,NULL,1027.000,2,0,3,7,255,1027,300,0,0
pre_stim,12,12,0,12,2183537.447,-0.734,0.029,-0.033,0.678,0,0,3447,0,3447,1420,2783,3183,49,0.788,1,VALID,1101,0,83.610,1.910,-10.938,-78.688,26.063,0.066,0.246,1.484,1.434,-1.262,4.633,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,17,17,0,17,2183542.446,-0.733,0.031,-0.036,0.679,0,0,3447,0,3468,1271,2805,3164,49,0.788,1,VALID,1101,0,86.022,2.091,-4.625,-81.313,27.688,-0.137,0.098,1.469,-1.668,-1.262,4.633,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,22,22,0,22,2183547.447,-0.732,0.033,-0.039,0.680,0,0,3423,0,3475,1077,2833,3163,49,0.788,1,VALID,1101,0,97.646,3.104,-20.125,-92.188,25.125,-0.219,-0.113,1.445,-1.668,-2.617,4.340,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,27,27,0,27,2183552.446,-0.731,0.035,-0.043,0.680,0,0,3428,0,3450,909,2841,3155,49,0.788,1,VALID,1101,0,100.340,2.629,-20.188,-97.875,9.000,-0.066,-0.035,1.195,-0.246,-2.617,4.105,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,32,32,0,32,2183557.447,-0.730,0.038,-0.046,0.680,0,0,3416,0,3467,728,2844,3144,49,0.788,1,VALID,1101,0,107.536,2.059,-5.313,-106.000,17.313,-0.043,-0.098,1.332,0.289,-2.039,3.133,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,36,36,0,36,2183562.445,-0.729,0.041,-0.050,0.681,0,0,3417,0,3491,581,2857,3115,49,0.788,1,VALID,1101,0,115.955,2.059,6.375,-113.813,21.250,-0.168,-0.148,1.527,0.289,-2.039,3.133,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,42,42,0,42,2183567.446,-0.728,0.044,-0.054,0.682,0,0,3411,0,3493,420,2869,3093,49,0.788,1,VALID,1101,0,127.426,3.251,-12.250,-125.000,21.500,-0.133,0.152,1.527,0.289,-3.238,4.773,0.038,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,46,46,0,46,2183572.445,-0.727,0.048,-0.058,0.682,0,0,3401,0,3499,320,2898,3053,49,0.788,1,VALID,1101,0,136.736,3.562,-19.750,-134.125,17.813,-0.133,0.074,1.348,-1.484,-3.238,4.773,0.040,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
pre_stim,52,52,0,52,2183577.446,-0.727,0.051,-0.063,0.682,0,0,3387,0,3495,218,2895,3037,49,0.788,1,VALID,1101,0,141.446,3.513,-11.688,-140.625,9.750,-0.016,-0.012,1.309,-1.484,-3.184,3.008,0.040,0.014,1.481,1.451,3,NULL,NULL,,2,0,3,7,255,1027,300,0,0
