condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,57,57,0,57,74163.283,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.419,0.004,-0.250,-0.125,0.313,0.004,-0.012,1.004,0.000,-0.004,-0.016,0.000,0.000,0.000,0.000,0,NULL,NULL,1094.000,0,0,0,7,255,0,250,0,0
baseline,61,61,0,61,74168.282,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.385,0.012,-0.188,-0.125,0.313,0.004,-0.012,1.004,0.004,-0.012,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,67,67,0,67,74173.283,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.012,-0.188,-0.125,0.375,0.004,-0.012,1.000,0.004,-0.012,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,71,71,0,71,74178.282,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.359,0.006,-0.125,-0.125,0.313,0.004,-0.008,1.000,0.004,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,77,77,0,77,74183.285,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.410,0.008,-0.188,-0.188,0.313,0.004,-0.008,1.004,0.000,0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,81,81,0,81,74188.282,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.480,0.008,-0.313,-0.188,0.313,0.004,-0.008,1.004,0.000,0.008,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,87,87,0,87,74193.283,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.004,-0.188,-0.125,0.375,0.004,-0.012,1.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,91,91,0,91,74198.282,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.400,0.006,-0.125,-0.063,0.375,0.004,-0.012,1.000,0.004,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,97,97,0,97,74203.283,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.424,0.004,-0.188,-0.063,0.375,0.004,-0.008,1.000,0.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,101,101,0,101,74208.282,0.976,-0.001,0.006,-0.216,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.419,0.009,-0.250,-0.125,0.313,0.004,-0.008,1.004,-0.008,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,107,107,0,107,74213.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.504,0.009,-0.313,-0.125,0.375,0.004,-0.008,1.004,-0.008,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,112,112,0,112,74218.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.459,0.006,-0.188,-0.188,0.375,0.004,-0.012,1.000,-0.004,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,117,117,0,117,74223.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.415,0.004,-0.125,-0.125,0.375,0.004,-0.008,1.000,0.000,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,121,121,0,121,74228.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.410,0.004,-0.188,-0.188,0.313,0.004,-0.008,1.000,0.004,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,127,127,0,127,74233.286,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.455,0.000,-0.250,-0.063,0.375,0.004,-0.008,1.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,131,131,0,131,74238.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.008,-0.188,-0.125,0.375,0.004,-0.012,1.000,0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,137,137,0,137,74243.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.370,0.008,-0.063,-0.188,0.313,0.004,-0.012,1.000,0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,141,141,0,141,74248.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.008,-0.125,-0.188,0.375,0.004,-0.008,1.000,0.000,-0.008,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,147,147,0,147,74253.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.492,0.004,-0.313,-0.063,0.375,0.004,-0.008,1.004,0.000,0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,152,152,0,152,74258.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.504,0.004,-0.313,-0.125,0.375,0.004,-0.012,1.004,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,156,156,0,156,74263.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.342,0.011,-0.063,-0.125,0.313,0.004,-0.012,1.004,0.008,-0.008,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,162,162,0,162,74268.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.400,0.011,-0.063,-0.125,0.375,0.004,-0.008,1.000,0.008,-0.008,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,167,167,0,167,74273.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.442,0.014,-0.250,-0.188,0.313,0.004,-0.008,1.000,0.008,0.012,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,171,171,0,171,74278.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.504,0.012,-0.313,-0.125,0.375,0.004,-0.008,1.004,0.004,0.012,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,177,177,0,177,74283.285,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.009,-0.188,-0.125,0.375,0.004,-0.012,1.004,0.008,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,181,181,0,181,74288.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.342,0.004,-0.063,-0.125,0.313,0.004,-0.008,1.000,0.000,-0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,187,187,0,187,74293.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.438,0.004,-0.188,-0.125,0.375,0.004,-0.008,1.000,0.000,0.004,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,191,191,0,191,74298.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.504,0.004,-0.375,-0.125,0.313,0.004,-0.008,1.004,0.000,0.004,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,197,197,0,197,74303.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.459,0.004,-0.313,-0.125,0.313,0.004,-0.012,1.004,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,201,201,0,201,74308.282,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.359,0.012,-0.125,-0.125,0.313,0.004,-0.012,1.000,0.000,-0.012,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,207,207,0,207,74313.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.359,0.012,-0.125,-0.125,0.313,0.004,-0.008,1.000,-0.004,-0.012,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,212,212,0,212,74318.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.468,0.009,-0.250,-0.125,0.375,0.004,-0.008,1.000,-0.004,0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,217,217,0,217,74323.283,0.976,-0.001,0.006,-0.217,0,0,0,0,0,0,0,0,0,0.000,0,WARMING_UP,0,0,0.492,0.009,-0.313,-0.063,0.375,0.004,-0.012,1.004,-0.004,0.008,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
