condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_speedValid,L_speedInvalidReason,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitPhase,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
baseline,0,0,0,0,34843.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.125,0.000,-0.125,0.000,0.000,-0.008,-0.023,1.000,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,1010.000,0,0,0,7,255,0,250,0,0
baseline,5,5,0,5,34848.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.000,0.000,0.000,0.000,0.000,-0.008,-0.016,1.004,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,9,9,0,9,34853.461,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.319,0.000,0.313,0.063,0.000,-0.008,-0.031,1.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,15,15,0,15,34858.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.380,0.059,-0.375,0.000,-0.063,-0.008,-0.020,1.004,-0.004,0.059,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,20,20,0,20,34863.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.755,0.008,0.750,0.063,0.063,-0.008,-0.027,0.996,0.000,-0.008,-0.023,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,25,25,0,25,34868.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.753,0.008,-0.750,0.000,-0.063,-0.008,-0.031,1.004,0.000,-0.008,0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,30,30,0,30,34873.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.815,0.008,0.813,0.000,0.063,-0.008,-0.023,1.000,0.000,-0.008,-0.020,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,35,35,0,35,34878.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.815,0.047,-0.813,0.000,-0.063,-0.008,-0.035,1.004,0.000,-0.047,0.027,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,40,40,0,40,34883.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.504,0.031,0.500,0.000,0.063,-0.008,-0.016,0.996,-0.004,0.031,-0.020,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,45,45,0,45,34888.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.258,0.090,-0.250,0.000,-0.063,-0.008,-0.035,1.004,0.000,-0.090,0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,50,50,0,50,34893.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.000,0.086,0.000,0.000,0.000,-0.008,-0.016,0.996,-0.004,0.086,-0.031,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,55,55,0,55,34898.462,1.000,-0.003,-0.003,-0.009,0,0,0,0,0,0,0,0,0,0.000,0,INTERNAL_ERROR,0,0,0.140,0.047,0.125,0.063,0.000,-0.008,-0.031,1.004,-0.004,-0.047,0.035,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
