condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,17,17,0,30590.829,0.972,-0.157,-0.173,0.012,3127,0,0,1315,0,167,10,233,0,0.000,0,0,2.161,0.022,0.900,-1.900,-0.500,-0.277,0.119,0.985,0.018,-0.012,-0.106,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,0,0
pre_stim,17,17,0,30595.827,0.972,-0.157,-0.173,0.012,3133,0,0,1317,0,164,7,235,0,0.000,0,0,1.110,0.037,-0.860,0.660,0.240,-0.285,0.110,0.926,0.008,-0.036,-0.110,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,0,0
pre_stim,17,17,0,30600.829,0.972,-0.157,-0.173,0.012,3139,0,0,1307,0,160,7,233,0,0.000,0,0,1.285,0.087,-0.080,0.660,-1.100,-0.272,0.119,0.976,0.086,-0.012,0.172,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,4,0
pre_stim,17,17,0,30605.827,0.972,-0.157,-0.173,0.012,3127,0,0,1312,0,159,12,235,0,0.000,0,0,2.964,0.015,0.960,-1.660,2.260,-0.274,0.129,0.950,0.014,-0.004,-0.056,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,9,0
pre_stim,31,31,0,30610.829,0.972,-0.157,-0.173,0.012,3133,0,0,1315,0,168,8,241,0,0.000,0,0,4.227,0.015,-1.540,2.320,-3.180,-0.294,0.084,0.954,0.014,-0.004,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,14,0
pre_stim,31,31,0,30615.827,0.972,-0.157,-0.173,0.012,3120,0,0,1323,0,158,7,229,0,0.000,0,0,4.076,0.129,1.460,-2.760,2.620,-0.252,0.162,0.966,0.014,0.128,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,19,0
pre_stim,79,79,0,30620.829,0.972,-0.157,-0.173,0.012,3145,0,0,1312,0,168,14,241,0,0.000,0,0,3.718,0.355,-1.300,2.920,-1.900,-0.305,0.063,0.939,-0.166,-0.314,-0.010,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,24,0
pre_stim,79,79,0,30625.827,0.972,-0.157,-0.173,0.012,3145,0,0,1312,0,156,14,239,0,0.000,0,0,3.016,0.512,1.080,-2.640,0.980,-0.253,0.165,0.978,0.274,0.432,0.072,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,29,0
pre_stim,79,79,0,30630.829,0.972,-0.157,-0.173,0.012,3125,0,0,1333,0,159,7,231,0,0.000,0,0,2.218,0.445,-0.740,2.060,-0.360,-0.298,0.077,0.934,-0.256,-0.364,-0.144,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,34,0
pre_stim,79,79,0,30635.827,0.972,-0.157,-0.173,0.012,3127,0,0,1315,0,160,9,233,0,0.000,0,0,1.520,0.317,0.540,-1.420,0.060,-0.262,0.144,0.976,0.202,0.244,0.170,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,39,0
