condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,32,32,0,886160.828,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,71,17,0.000,305,0,4.456,0.536,-3.960,0.300,-2.020,0.103,0.367,0.926,0.066,0.532,-0.044,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,17,0
pre_stim,32,32,0,886165.827,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,77,17,0.000,305,0,4.137,0.756,3.420,-2.260,-0.560,0.066,0.206,0.980,-0.154,-0.740,-0.020,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,22,0
pre_stim,44,44,0,886170.828,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,73,17,0.000,305,0,2.358,0.734,-1.160,-1.520,1.380,0.102,0.369,0.949,0.130,0.722,-0.020,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,27,0
pre_stim,44,44,0,886175.827,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,73,17,0.000,305,0,5.585,0.565,1.480,-0.240,-5.380,0.068,0.239,0.961,-0.206,-0.526,-0.020,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,32,0
pre_stim,44,44,0,886180.828,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,74,17,0.000,305,0,6.836,0.115,0.180,-3.000,6.140,0.086,0.308,0.966,-0.034,0.110,0.148,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,37,0
pre_stim,44,44,0,886185.826,0.970,-0.242,0.012,-0.004,0,0,0,0,0,0,0,73,17,0.000,305,0,8.365,0.115,0.680,0.540,-8.320,0.086,0.314,0.969,-0.034,0.110,0.148,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,42,0
pre_stim,44,44,0,886190.828,0.970,-0.241,0.012,-0.004,0,0,0,0,0,0,0,71,17,0.000,305,0,4.821,0.115,-0.920,-2.680,3.900,0.067,0.240,0.947,-0.034,0.110,0.148,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,47,0
pre_stim,44,44,0,886195.826,0.970,-0.241,0.012,-0.004,0,0,0,0,0,0,0,73,17,0.000,305,0,2.727,0.166,1.600,-1.220,-1.840,0.101,0.345,0.986,-0.034,0.162,0.192,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,52,0
pre_stim,56,56,0,886200.828,0.970,-0.241,0.012,-0.004,0,0,0,0,0,0,0,71,17,0.000,305,0,4.501,0.241,-2.260,-0.500,-3.860,0.067,0.269,0.931,-0.188,-0.150,-0.230,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,57,0
pre_stim,56,56,0,886205.827,0.970,-0.241,0.012,-0.004,0,0,0,0,0,0,0,71,17,0.000,305,0,5.151,0.150,2.940,-2.940,3.040,0.092,0.284,0.985,-0.002,-0.150,0.264,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,62,0
pre_stim,56,56,0,886210.828,0.970,-0.241,0.012,-0.004,0,0,0,0,0,0,0,69,17,0.000,305,0,4.423,0.164,-1.460,-0.360,-4.160,0.083,0.310,0.955,-0.066,-0.150,0.048,0.000,0.000,0.010,0.000,1,NULL,NULL,2,0,2,7,255,1070,250,67,0
