condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,15,15,0,15,90420.821,1.000,0.022,0.011,-0.010,2597,684,1527,2791,1112,2131,63,1991,38,0.000,5,0,1.909,0.066,1.180,-1.500,-0.060,-0.131,0.007,1.001,-0.058,-0.010,0.030,0.000,0.000,0.000,0.000,3,NULL,NULL,1206.000,2,0,1,7,255,1206,300,0,0
pre_stim,15,15,0,15,90425.821,1.000,0.022,0.011,-0.010,2596,691,1529,2791,1112,2131,63,1992,38,0.000,5,0,2.021,0.039,-0.820,0.560,-1.760,-0.127,-0.028,0.995,-0.022,-0.010,0.030,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,51,51,0,51,90430.821,1.000,0.022,0.011,-0.010,2597,691,1529,2791,1113,2130,63,1991,38,0.000,5,0,1.290,0.120,-0.580,-0.900,-0.720,-0.115,-0.030,0.993,-0.022,-0.118,0.004,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,51,51,0,51,90435.821,1.000,0.022,0.011,-0.010,2591,687,1530,2787,1117,2131,63,1991,38,0.000,5,0,0.348,0.135,-0.340,-0.040,0.060,-0.122,-0.035,0.980,0.010,-0.132,-0.026,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,51,51,0,51,90440.821,1.000,0.022,0.011,-0.010,2591,691,1529,2787,1113,2131,63,1992,38,0.000,5,0,1.516,0.135,1.380,-0.600,0.180,-0.128,-0.002,0.996,0.010,-0.132,-0.026,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,51,51,0,51,90445.821,1.000,0.022,0.011,-0.010,2591,691,1531,2787,1115,2131,63,1990,38,0.000,5,0,0.622,0.033,0.280,-0.280,-0.480,-0.126,-0.014,1.001,-0.006,0.030,0.012,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,52,52,0,52,90450.821,1.000,0.022,0.011,-0.010,2591,691,1531,2787,1115,2129,63,1992,38,0.000,5,0,0.779,0.145,-0.100,-0.280,-0.720,-0.130,-0.004,1.001,-0.034,0.124,0.066,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,52,52,0,52,90455.821,1.000,0.022,0.011,-0.010,2588,693,1533,2787,1115,2131,67,1993,38,0.000,5,0,1.294,0.073,-0.880,-0.540,-0.780,-0.118,-0.031,0.991,-0.006,0.030,0.066,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90460.821,1.000,0.022,0.011,-0.010,2587,691,1533,2783,1115,2131,67,1991,38,0.000,5,0,0.251,0.066,0.020,-0.220,0.120,-0.130,-0.019,0.989,-0.046,-0.024,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90465.821,1.000,0.022,0.011,-0.010,2587,691,1543,2783,1116,2131,72,1992,38,0.000,5,0,1.243,0.052,0.760,-0.600,-0.780,-0.127,-0.015,0.995,-0.024,-0.024,-0.040,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90470.821,1.000,0.022,0.011,-0.010,2585,691,1545,2781,1116,2131,72,1993,38,0.000,5,0,0.803,0.028,0.220,-0.280,-0.720,-0.126,-0.018,0.998,-0.024,-0.012,0.008,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90475.821,1.000,0.022,0.011,-0.010,2585,691,1544,2780,1116,2131,71,1993,38,0.000,5,0,1.146,0.046,0.340,-0.340,-1.040,-0.130,-0.007,1.000,-0.024,0.016,0.036,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90480.821,1.000,0.022,0.011,-0.010,2583,691,1545,2779,1117,2129,72,1993,38,0.000,5,0,1.160,0.040,-0.160,-0.600,-0.980,-0.119,-0.022,0.994,-0.014,-0.012,0.036,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,62,62,0,62,90485.821,1.000,0.022,0.011,-0.010,2581,685,1547,2778,1119,2131,73,1993,38,0.000,5,0,0.412,0.036,-0.040,-0.280,-0.300,-0.125,-0.020,0.993,-0.012,-0.032,-0.012,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,78,78,0,78,90490.821,1.000,0.022,0.011,-0.010,2579,685,1545,2778,1117,2127,73,1993,38,0.000,5,0,1.333,0.036,0.580,-0.480,-1.100,-0.127,-0.014,0.994,-0.012,-0.032,-0.012,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,78,78,0,78,90495.821,1.000,0.022,0.011,-0.010,2577,683,1547,2776,1116,2127,73,1992,38,0.000,5,0,1.075,0.039,0.280,-0.480,-0.920,-0.117,-0.028,0.993,-0.012,-0.032,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,78,78,0,78,90500.821,1.000,0.022,0.011,-0.010,2577,681,1547,2775,1119,2129,73,1994,38,0.000,5,0,0.471,0.035,0.340,-0.220,-0.240,-0.122,-0.019,0.993,0.020,-0.022,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,78,78,0,78,90505.821,1.000,0.022,0.011,-0.010,2573,683,1545,2772,1118,2127,73,1993,38,0.000,5,0,0.842,0.035,0.520,-0.280,-0.600,-0.125,-0.010,0.995,0.020,-0.022,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,95,95,0,95,90510.821,1.000,0.022,0.011,-0.010,2573,681,1547,2774,1117,2125,72,1995,38,0.000,5,0,0.473,0.035,0.080,-0.400,-0.240,-0.120,-0.023,0.993,0.020,-0.022,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,95,95,0,95,90515.821,1.000,0.022,0.011,-0.010,2572,683,1547,2775,1121,2126,75,1993,38,0.000,5,0,0.369,0.027,0.160,-0.280,0.180,-0.126,-0.018,0.992,-0.008,-0.014,-0.022,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,112,112,0,112,90520.821,1.000,0.022,0.011,-0.010,2570,682,1551,2775,1123,2126,75,1995,38,0.000,5,0,1.012,0.037,0.580,-0.280,-0.780,-0.130,-0.004,0.996,-0.026,-0.014,-0.022,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,112,112,0,112,90525.821,1.000,0.022,0.011,-0.010,2571,683,1551,2773,1123,2126,75,1995,38,0.000,5,0,1.112,0.026,0.400,-0.480,-0.920,-0.121,-0.016,0.995,-0.026,0.004,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,112,112,0,112,90530.821,1.000,0.022,0.011,-0.010,2571,683,1551,2772,1123,2127,75,1995,38,0.000,5,0,0.354,0.030,-0.100,-0.340,0.000,-0.120,-0.021,0.995,0.030,0.004,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,112,112,0,112,90535.821,1.000,0.022,0.011,-0.010,2571,683,1553,2771,1123,2127,76,1997,38,0.000,5,0,0.373,0.030,0.020,-0.220,-0.300,-0.125,-0.014,0.995,0.030,0.004,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,143,143,0,143,90540.821,1.000,0.022,0.011,-0.010,2569,683,1551,2773,1123,2127,74,1996,38,0.000,5,0,0.774,0.033,0.340,-0.220,-0.660,-0.121,-0.019,0.993,0.026,-0.020,0.000,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,143,143,0,143,90545.821,1.000,0.022,0.011,-0.010,2571,683,1551,2771,1124,2129,75,1997,38,0.000,5,0,0.666,0.037,0.280,-0.340,0.500,-0.121,-0.023,0.993,0.026,-0.020,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,143,143,0,143,90550.821,1.000,0.022,0.011,-0.010,2569,683,1553,2772,1125,2127,75,1997,38,0.000,5,0,0.715,0.037,0.220,-0.280,0.620,-0.129,-0.011,0.997,0.026,-0.020,-0.018,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
pre_stim,143,143,0,143,90555.821,1.000,0.022,0.011,-0.010,2570,684,1553,2771,1127,2130,75,1992,38,0.000,5,0,1.032,0.064,0.280,-0.160,-0.980,-0.126,-0.007,0.997,-0.018,0.056,0.024,0.000,0.000,0.000,0.000,3,NULL,NULL,,2,0,1,7,255,1206,300,0,0
