condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,0,0,0,59207.093,0.831,-0.034,0.076,0.550,3264,0,1115,2933,2264,844,309,1766,52,0.707,21,1,18.232,0.039,16.940,-5.380,4.060,0.137,0.152,0.974,-0.038,0.008,-0.092,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,13,0
pre_stim,0,0,0,59212.091,0.831,-0.034,0.076,0.550,3257,0,1039,2925,2345,832,309,1769,52,0.707,21,1,16.419,0.329,14.860,-6.960,0.580,0.111,0.053,0.994,-0.328,-0.028,-0.056,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,18,0
pre_stim,47,47,0,59217.093,0.831,-0.033,0.076,0.550,3209,0,1002,2919,2959,857,317,1771,52,0.707,21,1,14.470,0.338,13.260,-3.720,4.440,0.109,0.056,1.021,-0.328,-0.080,-0.056,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,23,0
pre_stim,47,47,0,59222.092,0.831,-0.034,0.077,0.550,3179,0,1083,2855,3927,860,327,1786,52,0.707,21,1,19.568,0.338,18.040,-7.580,0.100,0.129,0.172,0.965,-0.328,-0.080,-0.056,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,28,0
pre_stim,47,47,0,59227.093,0.831,-0.033,0.078,0.550,3149,0,1109,2869,4095,862,310,1801,52,0.707,21,1,14.601,0.348,12.840,-6.160,3.220,0.089,0.023,1.027,-0.348,-0.014,0.202,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,33,0
pre_stim,47,47,0,59232.091,0.831,-0.034,0.078,0.550,3095,0,1159,2856,4095,844,296,1775,52,0.707,21,1,18.571,0.628,17.360,-5.200,4.060,0.141,0.148,0.973,0.628,-0.012,-0.102,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,38,0
pre_stim,47,47,0,59237.093,0.831,-0.033,0.079,0.550,3061,0,1093,2831,4095,837,309,1801,52,0.707,21,1,15.122,0.384,12.660,-8.240,-0.700,0.107,0.055,1.009,-0.384,-0.014,0.086,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,43,0
pre_stim,47,47,0,59242.091,0.831,-0.034,0.079,0.550,3013,0,1079,2811,4095,841,336,1785,52,0.707,21,1,16.661,0.284,15.460,-4.700,4.060,0.125,0.121,0.992,0.284,-0.012,0.034,0.000,0.000,0.931,1.001,2,NULL,NULL,2,0,3,7,255,1040,300,48,0
pre_stim,63,63,0,59247.093,0.831,-0.034,0.080,0.550,2957,0,1029,2791,4095,844,345,1792,52,0.790,21,0,15.381,0.133,12.300,-9.220,-0.520,0.110,0.083,0.996,-0.124,0.048,0.034,0.000,0.000,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,53,0
pre_stim,63,63,0,59252.091,0.831,-0.034,0.080,0.549,2937,0,1049,2744,4095,832,342,1789,52,0.790,21,0,15.159,0.080,13.200,-5.380,5.160,0.115,0.092,1.010,-0.064,0.048,0.034,0.000,0.000,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,58,0
pre_stim,63,63,0,59257.093,0.831,-0.034,0.081,0.549,2871,0,1071,2720,4095,840,347,1799,52,0.790,21,0,15.453,0.130,13.140,-8.060,1.080,0.126,0.074,1.003,-0.124,0.038,0.072,0.000,0.002,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,63,0
pre_stim,63,63,0,59262.091,0.831,-0.034,0.081,0.549,2787,0,1062,2683,4095,843,353,1773,52,0.790,21,0,15.576,0.126,14.120,-6.040,2.600,0.132,0.090,1.021,-0.064,-0.108,0.158,0.002,0.002,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,68,0
pre_stim,63,63,0,59267.093,0.831,-0.034,0.082,0.549,2735,0,1229,2675,4095,830,352,1773,52,0.790,21,0,17.719,0.208,15.520,-8.420,-1.480,0.124,0.073,1.006,-0.178,-0.108,0.100,0.002,0.004,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,73,0
pre_stim,63,63,0,59272.093,0.831,-0.035,0.083,0.549,2637,0,1207,2632,4095,825,351,1752,52,0.790,21,0,18.117,0.119,16.680,-7.020,0.840,0.109,0.111,1.009,-0.058,-0.104,0.168,0.002,0.004,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,78,0
pre_stim,79,79,0,59277.093,0.831,-0.035,0.083,0.549,2471,0,1167,2595,4085,810,357,1691,52,0.790,21,0,17.694,0.249,15.780,-7.940,1.020,0.132,0.056,0.997,-0.226,-0.104,0.100,0.002,0.006,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,83,0
pre_stim,79,79,0,59282.091,0.831,-0.035,0.084,0.549,2117,0,1104,2535,3403,680,309,1445,52,0.790,21,0,18.462,0.073,17.240,-6.600,0.280,0.135,0.108,0.989,0.036,-0.064,-0.004,0.002,0.008,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,88,0
pre_stim,99,99,0,59287.093,0.831,-0.035,0.085,0.549,2139,0,1173,2515,3599,723,328,1553,52,0.790,21,0,15.824,0.260,13.340,-8.420,-1.240,0.126,0.076,1.009,-0.242,-0.094,-0.004,0.002,0.008,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,93,0
pre_stim,99,99,0,59292.091,0.831,-0.035,0.085,0.549,2267,0,1320,2443,4095,820,371,1771,52,0.790,21,0,18.869,0.140,17.360,-7.140,-1.920,0.126,0.123,0.994,0.124,-0.064,0.056,0.002,0.010,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,98,0
pre_stim,99,99,0,59297.093,0.831,-0.036,0.086,0.549,2127,0,1335,2394,2975,808,367,1759,52,0.790,21,0,17.957,0.197,15.780,-8.480,-1.240,0.118,0.132,1.002,0.182,0.076,0.132,0.002,0.010,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,103,0
pre_stim,99,99,0,59302.091,0.831,-0.036,0.086,0.549,1945,0,1336,2339,2356,825,371,1767,52,0.790,21,0,18.950,0.197,17.000,-8.240,-1.480,0.135,0.073,0.991,0.182,0.076,0.056,0.002,0.012,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,108,0
pre_stim,112,112,0,59307.093,0.830,-0.036,0.087,0.549,1631,0,1225,2293,1894,717,330,1603,52,0.790,21,0,17.803,0.286,14.240,-9.700,-4.480,0.108,0.157,0.998,0.210,0.194,0.126,0.002,0.014,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,113,0
pre_stim,112,112,0,59312.091,0.830,-0.036,0.088,0.549,1660,0,1333,2183,1558,791,351,1751,52,0.790,21,0,17.298,0.086,14.560,-9.340,0.040,0.126,0.102,1.008,-0.084,0.018,0.126,0.002,0.014,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,118,0
pre_stim,128,128,0,59317.093,0.830,-0.036,0.088,0.549,1408,0,1331,2151,1315,789,346,1741,52,0.790,21,0,16.242,0.086,11.560,-10.800,-3.680,0.118,0.077,1.014,-0.084,0.018,0.154,0.002,0.016,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,123,0
pre_stim,128,128,0,59322.092,0.830,-0.036,0.089,0.549,1061,0,1231,2075,1102,704,339,1613,52,0.790,21,0,18.349,0.086,14.620,-10.560,-3.380,0.119,0.125,1.016,-0.084,0.018,0.164,0.002,0.018,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,128,0
pre_stim,144,144,0,59327.093,0.830,-0.037,0.090,0.549,891,0,1221,1981,953,711,339,1591,52,0.790,21,0,19.739,0.173,15.280,-12.400,-1.540,0.126,0.135,1.009,0.060,0.162,0.220,0.004,0.020,0.965,1.110,3,NULL,NULL,2,0,3,7,255,1040,300,133,0
pre_stim,144,144,0,59332.091,0.830,-0.037,0.091,0.549,0,0,0,1895,620,0,0,0,52,0.790,21,0,18.468,0.173,12.780,-12.880,-3.440,0.140,0.053,1.030,0.060,0.162,0.258,0.004,0.022,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,138,0
pre_stim,144,144,0,59337.093,0.830,-0.037,0.091,0.550,0,0,0,1806,436,0,0,0,52,0.790,21,0,20.056,0.330,12.360,-14.340,-6.620,0.143,0.084,1.039,-0.294,-0.150,0.306,0.004,0.024,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,143,0
pre_stim,144,144,0,59342.091,0.829,-0.037,0.092,0.550,0,0,0,1688,299,0,0,0,52,0.790,21,0,21.620,0.385,14.420,-14.460,-7.100,0.148,0.082,1.047,-0.328,-0.202,0.438,0.004,0.024,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,148,0
pre_stim,162,162,0,59347.093,0.829,-0.037,0.093,0.550,0,0,0,1568,203,0,0,0,52,0.790,21,0,23.753,0.385,14.620,-16.000,-9.720,0.160,0.043,1.050,-0.328,-0.202,0.500,0.004,0.026,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,153,0
pre_stim,162,162,0,59352.091,0.829,-0.036,0.094,0.551,496,0,1421,1457,403,767,405,1789,52,0.790,21,0,25.468,0.738,11.320,-17.580,-14.540,0.147,0.030,1.077,-0.646,-0.356,0.520,0.004,0.028,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,158,0
pre_stim,162,162,0,59357.093,0.828,-0.036,0.095,0.551,493,0,1419,1365,467,767,411,1792,52,0.790,21,0,28.100,0.738,11.080,-19.280,-17.180,0.134,0.095,1.104,-0.646,-0.356,0.726,0.004,0.028,0.965,1.110,4,NULL,NULL,2,0,3,7,255,1040,300,163,0
