condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,device_t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_prevStrideVelRaw,L_prevStrideVelZUPT,L_prevStrideDispRaw,L_prevStrideDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,25,25,0,25,455801.794,-0.972,-0.007,0.052,-0.230,2783,389,1357,2971,985,1801,939,1947,32,0.000,152,0,2.052,0.071,0.813,-0.188,-1.875,-0.167,-0.052,0.989,0.032,-0.062,-0.012,0.000,0.000,0.809,0.836,3,NULL,NULL,364.000,2,0,3,7,255,364,300,0,0
pre_stim,25,25,0,25,455806.793,-0.972,-0.007,0.052,-0.230,2784,384,1349,2983,990,1805,937,1947,32,0.000,152,0,0.875,0.111,0.000,0.000,0.875,-0.160,-0.061,0.980,0.036,-0.096,-0.042,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,25,25,0,25,455811.794,-0.972,-0.007,0.052,-0.230,2784,390,1341,2984,988,1804,937,1935,32,0.000,152,0,1.296,0.112,0.875,-0.188,0.938,-0.181,-0.054,0.981,0.036,-0.096,-0.044,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,25,25,0,25,455816.793,-0.972,-0.007,0.052,-0.230,2805,387,1325,2968,995,1811,936,1948,32,0.000,152,0,1.042,0.076,0.875,0.063,-0.563,-0.167,-0.037,0.998,0.036,-0.050,-0.044,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,44,44,0,44,455821.794,-0.972,-0.007,0.052,-0.230,2801,396,1316,2985,995,1815,940,1941,32,0.000,152,0,1.464,0.074,0.250,0.125,1.438,-0.169,-0.057,0.977,-0.032,-0.050,-0.044,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,44,44,0,44,455826.793,-0.972,-0.007,0.052,-0.230,2795,395,1319,2968,995,1813,939,1947,32,0.000,152,0,1.374,0.046,1.188,-0.063,0.688,-0.187,-0.055,0.985,-0.032,-0.032,0.010,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,44,44,0,44,455831.794,-0.972,-0.007,0.051,-0.230,2788,389,1326,2973,993,1813,935,1943,32,0.000,152,0,1.122,0.046,0.750,0.188,-0.813,-0.166,-0.038,0.997,-0.032,-0.032,0.010,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,44,44,0,44,455836.793,-0.972,-0.007,0.051,-0.230,2797,395,1278,2973,987,1803,938,1945,32,0.000,152,0,0.938,0.034,0.313,0.125,0.875,-0.167,-0.053,0.977,0.000,-0.032,0.010,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455841.794,-0.972,-0.007,0.051,-0.230,2790,391,1273,2979,989,1803,937,1940,32,0.000,152,0,1.389,0.094,1.313,0.125,0.438,-0.182,-0.061,0.985,0.000,-0.094,0.000,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455846.793,-0.972,-0.007,0.051,-0.230,2781,394,1289,2971,986,1806,933,1943,32,0.000,152,0,1.156,0.094,0.875,0.313,-0.688,-0.166,-0.044,0.994,0.000,-0.094,0.000,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455851.794,-0.972,-0.007,0.051,-0.230,2795,398,1275,2985,993,1813,927,1942,32,0.000,152,0,1.191,0.064,0.438,0.313,1.063,-0.167,-0.048,0.978,0.032,-0.056,0.000,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455856.794,-0.972,-0.007,0.052,-0.230,2792,393,1258,2967,983,1792,921,1943,32,0.000,152,0,1.526,0.069,1.125,0.250,1.000,-0.183,-0.056,0.982,0.032,-0.056,-0.024,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455861.794,-0.972,-0.007,0.052,-0.230,2805,391,1277,2987,987,1811,917,1943,32,0.000,152,0,1.188,0.063,0.938,0.375,-0.625,-0.170,-0.049,0.990,0.014,-0.056,-0.024,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455866.794,-0.972,-0.007,0.052,-0.230,2796,392,1304,2993,985,1804,915,1942,32,0.000,152,0,1.021,0.064,0.688,0.313,0.688,-0.166,-0.047,0.979,0.014,-0.058,-0.024,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455871.794,-0.972,-0.007,0.052,-0.230,2792,389,1265,2985,982,1807,917,1947,32,0.000,152,0,2.190,0.057,1.125,0.125,1.875,-0.184,-0.051,0.984,0.014,-0.054,-0.010,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455876.794,-0.972,-0.007,0.052,-0.230,2791,397,1257,2987,979,1815,917,1943,32,0.000,152,0,1.181,0.068,1.063,0.125,0.500,-0.184,-0.042,0.993,-0.066,-0.012,-0.010,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455881.794,-0.972,-0.007,0.051,-0.230,2805,392,1233,2989,981,1810,913,1935,32,0.000,152,0,0.904,0.086,0.875,0.125,-0.188,-0.169,-0.036,0.991,-0.066,0.050,0.022,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,81,81,0,81,455886.793,-0.972,-0.007,0.051,-0.230,2795,389,1244,2985,980,1805,907,1945,32,0.000,152,0,1.222,0.074,1.125,0.188,0.438,-0.169,-0.042,0.989,0.050,0.050,0.022,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,111,111,0,111,455891.794,-0.972,-0.006,0.051,-0.230,2795,393,1263,2971,975,1803,908,1934,32,0.000,152,0,1.092,0.055,0.938,0.250,0.500,-0.176,-0.046,0.991,0.050,0.002,0.022,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
pre_stim,111,111,0,111,455896.793,-0.972,-0.006,0.051,-0.230,2795,384,1263,2993,975,1807,905,1939,32,0.000,152,0,0.755,0.017,0.688,0.250,0.188,-0.174,-0.042,0.989,0.010,0.002,0.014,0.000,0.000,0.809,0.836,3,NULL,NULL,,2,0,3,7,255,364,300,0,0
